TID,Name,FootSound_L,FootSound_R,FootSound_Up,FootSound_Down,FootEffect_L,FootEffect_R,FootEffect_Up,FootEffect_Down,Desc
3027,volcano_Ground_C,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3028,dream_ground,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3029,Purple_Cave_Rock,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3030,Devaran_Ground_C,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3031,Devaran_Rock_A,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3032,LandofWarriors_ground_A,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3033,LandofWarriors_LavaStone_03_BA,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3034,LandofWarriors_rock_A,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3035,LandofWarriors_rock_B,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3036,LandofWarriors_rock_C,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3037,lebenhast_ground,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3038,lebenhast_ground01,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3039,RainbowPlain_Rock_A,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3040,RainbowPlain_Rock_B,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3041,viper_Rock_B,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_03.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3042,viper_Rock_C,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3043,Burninghedge_brick_A,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3044,Burninghedge_brick_B,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3045,RainbowPlain_Rock_F,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3046,RainbowPlain_Rock_G,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
3047,NewHero_rock_a,Foot_Rock_03.ogg,Foot_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Rock_02.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
4001,Loengreen_river_a,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,"江,河床"
4002,frozenbowl_Blood_A,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_C,,FX_Ground_C,血之河床
5001,frozenbowl_ground_A,Foot_Snow_01.ogg,Foot_Snow_02.ogg,PC_Jump_00.ogg,PC_Land_Snow_01.ogg,FX_snow_a,FX_snow_a,,FX_snow_a,雪原
5002,frozenbowl_ground_B,Foot_Snow_03.ogg,Foot_Snow_04.ogg,PC_Jump_00.ogg,PC_Land_Snow_02.ogg,FX_snow_a,FX_snow_a,,FX_snow_a,
5003,frozenbowl_ground_C,Foot_Snow_01.ogg,Foot_Snow_02.ogg,PC_Jump_00.ogg,PC_Land_Snow_03.ogg,FX_snow_a,FX_snow_a,,FX_snow_a,
5004,frozenbowl_ground_D,Foot_Snow_03.ogg,Foot_Snow_04.ogg,PC_Jump_00.ogg,PC_Land_Snow_04.ogg,FX_snow_a,FX_snow_a,,FX_snow_a,
5005,frozenbowl_groundC,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
5006,frozenbowl_groundD,Foot_Rock_01.ogg,Foot_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Rock_01.ogg,FX_Ground_B,FX_Ground_B,,FX_Ground_B,
5007,frozenbowl_snowgrass_A,Foot_Snow_03.ogg,Foot_Snow_04.ogg,PC_Jump_00.ogg,PC_Land_Snow_04.ogg,FX_snow_a,FX_snow_a,,FX_snow_a,积雪草
5101,frozenbowl_ice_A,Foot_Snow_Ice_01.ogg,Foot_Snow_Ice_02.ogg,PC_Jump_00.ogg,PC_Land_Snow_Ice_01.ogg,FX_ice_a,FX_ice_a,,FX_ice_a,雪原冰之地
5201,frozenbowl_rock_A,Foot_Snow_Rock_01.ogg,Foot_Snow_Rock_02.ogg,PC_Jump_00.ogg,PC_Land_Snow_Rock_01.ogg,FX_icerock_a,FX_icerock_a,,FX_icerock_a,雪原石眼之地
5202,frozenbowl_rock_B,Foot_Snow_Rock_03.ogg,Foot_Snow_Rock_04.ogg,PC_Jump_00.ogg,PC_Land_Snow_Rock_02.ogg,FX_icerock_a,FX_icerock_a,,FX_icerock_a,
6001,Aimhigh_volcano01,Foot_Lava_01.ogg,Foot_Lava_02.ogg,PC_Jump_00.ogg,PC_Land_Lava_01.ogg,FX_volcano01,FX_volcano01,,FX_volcano01,熔岩之地
6002,Aimhigh_volcano02,Foot_Lava_03.ogg,Foot_Lava_04.ogg,PC_Jump_00.ogg,PC_Land_Lava_02.ogg,FX_volcano01,FX_volcano01,,FX_volcano01,
6003,LandofWarriors_LavaStone_01_BA,Foot_Lava_01.ogg,Foot_Lava_02.ogg,PC_Jump_00.ogg,PC_Land_Lava_01.ogg,FX_volcano01,FX_volcano01,,FX_volcano01,
6004,LandofWarriors_LavaStone_02_BA,Foot_Lava_03.ogg,Foot_Lava_04.ogg,PC_Jump_00.ogg,PC_Land_Lava_02.ogg,FX_volcano01,FX_volcano01,,FX_volcano01,
6005,LandofWarriors_LavaStone_04_BA,Foot_Lava_01.ogg,Foot_Lava_02.ogg,PC_Jump_00.ogg,PC_Land_Lava_01.ogg,FX_volcano01,FX_volcano01,,FX_volcano01,
6006,LandofWarriors_LavaStone_05_BA,Foot_Lava_03.ogg,Foot_Lava_04.ogg,PC_Jump_00.ogg,PC_Land_Lava_02.ogg,FX_volcano01,FX_volcano01,,FX_volcano01,
6007,Burninghedge_Ground_D,Foot_Lava_03.ogg,Foot_Lava_04.ogg,PC_Jump_00.ogg,PC_Land_Lava_02.ogg,FX_volcano01,FX_volcano01,,FX_volcano01,烧焦的土地
7001,waterfront_Ground_A,Foot_Sand_01.ogg,Foot_Sand_02.ogg,PC_Jump_00.ogg,PC_Land_Sand_01.ogg,FX_sand_a,FX_sand_a,,FX_sand_a,砂子场
7002,waterfront_Ground_B,Foot_Sand_03.ogg,Foot_Sand_04.ogg,PC_Jump_00.ogg,PC_Land_Sand_02.ogg,FX_sand_a,FX_sand_a,,FX_sand_a,
7003,waterfront_Ground_C,Foot_Sand_01.ogg,Foot_Sand_02.ogg,PC_Jump_00.ogg,PC_Land_Sand_03.ogg,FX_sand_a,FX_sand_a,,FX_sand_a,
7004,waterfront_Ground_D,Foot_Sand_03.ogg,Foot_Sand_04.ogg,PC_Jump_00.ogg,PC_Land_Sand_04.ogg,FX_sand_a,FX_sand_a,,FX_sand_a,
7005,Burninghedge_Sand_A,Foot_Sand_01.ogg,Foot_Sand_02.ogg,PC_Jump_00.ogg,PC_Land_Sand_03.ogg,FX_sand_a,FX_sand_a,,FX_sand_a,
100000,Water_Normal,PC_Land_Water_01.ogg,PC_Land_Water_03.ogg,PC_Land_Water_03.ogg,PC_Land_Water_01.ogg,FX_river_a,FX_river_a,FX_river_a,FX_river_a,江
