TID,Comment,AddBreakNumber,AddBreakRate,BreakItem01,BreakItemStack01,BreakRate01,BreakItem02,BreakItemStack02,BreakRate02,BreakItem03,BreakItemStack03,BreakRate03,FGambleGhelld,FGambleItem01,FGambleItemStack01,FGambleRate01,FGambleItem02,FGambleItemStack02,FGambleRate02,FGambleItem03,FGambleItemStack03,FGambleRate03,SGambleGhelld,SGambleItem01,SGambleItemStack01,SGambleRate01,SGambleItem02,SGambleItemStack02,SGambleRate02,SGambleItem03,SGambleItemStack03,SGambleRate03
4206,裤子_46~50_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
4207,裤子_51~55_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
4208,裤子_56~60_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
4301,裤子_01~10_稀有,2,500,40100,1,30,40600,1,3030,37000,1,10000,3,40100,1,250,40600,2,7000,40601,1,10000,6,40100,1,700,40605,6,9000,40606,4,10000
4302,裤子_11~20_稀有,2,500,40101,1,30,40600,1,3030,37000,1,10000,18,40101,1,250,40600,2,7000,40601,1,10000,36,40101,1,700,40605,6,9000,40606,4,10000
4303,裤子_21~30_稀有,2,500,40102,1,30,40601,1,3030,37000,1,10000,108,40102,1,250,40601,2,7000,40602,1,10000,216,40102,1,700,40606,6,9000,40607,4,10000
4304,裤子_31~40_稀有,2,500,40103,1,30,40602,1,3030,37000,1,10000,648,40103,1,250,40602,2,7000,40603,1,10000,1296,40103,1,700,40607,6,9000,40608,4,10000
4305,裤子_41~45_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
4306,裤子_46~50_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
4307,裤子_51~55_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
4308,裤子_56~60_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
4401,裤子_01~10_特别,2,1000,40100,1,100,40600,1,3100,37000,1,10000,3,40100,1,650,40600,2,6000,40601,2,10000,6,40100,1,1820,40605,8,8000,40606,6,10000
4402,裤子_11~20_特别,2,1000,40101,1,100,40600,1,3100,37000,1,10000,18,40101,1,650,40600,2,6000,40601,2,10000,36,40101,1,1820,40605,8,8000,40606,6,10000
4403,裤子_21~30_特别,2,1000,40102,1,100,40601,1,3100,37000,1,10000,108,40102,1,650,40601,2,6000,40602,2,10000,216,40102,1,1820,40606,8,8000,40607,6,10000
4404,裤子_31~40_特别,2,1000,40103,1,100,40602,1,3100,37000,1,10000,648,40103,1,650,40602,2,6000,40603,2,10000,1296,40103,1,1820,40607,8,9000,40301,1,10000
4405,裤子_41~45_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
4406,裤子_46~50_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
4407,裤子_51~55_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
4408,裤子_56~60_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
5101,鞋子_01~10_一般,0,0,40100,1,10,40600,1,3010,37000,1,10000,3,40100,1,50,40600,1,9000,37000,1,10000,6,40100,1,140,40600,2,10000,0,0,0
5102,鞋子_11~20_一般,0,0,40101,1,10,40600,1,3010,37000,1,10000,18,40101,1,50,40600,1,9000,37000,1,10000,36,40101,1,140,40600,2,10000,0,0,0
5103,鞋子_21~30_一般,0,0,40102,1,10,40601,1,3010,37000,1,10000,108,40102,1,50,40601,1,9000,37000,1,10000,216,40102,1,140,40601,2,10000,0,0,0
5104,鞋子_31~40_一般,0,0,40103,1,10,40602,1,3010,37000,1,10000,648,40103,1,50,40602,1,9000,37000,1,10000,1296,40103,1,140,40602,2,10000,0,0,0
5105,鞋子_41~45_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
5106,鞋子_46~50_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
5107,鞋子_51~55_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
5108,鞋子_56~60_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
5201,鞋子_01~10_高级,1,100,40100,1,20,40600,1,3020,37000,1,10000,3,40100,1,100,40600,1,9000,40601,1,10000,6,40100,1,280,40600,4,9000,40605,2,10000
5202,鞋子_11~20_高级,1,100,40101,1,20,40600,1,3020,37000,1,10000,18,40101,1,100,40600,1,9000,40601,1,10000,36,40101,1,280,40600,4,9000,40605,2,10000
5203,鞋子_21~30_高级,1,100,40102,1,20,40601,1,3020,37000,1,10000,108,40102,1,100,40601,1,9000,40602,1,10000,216,40102,1,280,40601,4,9000,40606,2,10000
5204,鞋子_31~40_高级,1,100,40103,1,20,40602,1,3020,37000,1,10000,648,40103,1,100,40602,1,9000,40603,1,10000,1296,40103,1,280,40602,4,9000,40607,2,10000
5205,鞋子_41~45_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
5206,鞋子_46~50_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
5207,鞋子_51~55_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
5208,鞋子_56~60_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
5301,鞋子_01~10_稀有,2,500,40100,1,30,40600,1,3030,37000,1,10000,3,40100,1,250,40600,2,7000,40601,1,10000,6,40100,1,700,40605,6,9000,40606,4,10000
5302,鞋子_11~20_稀有,2,500,40101,1,30,40600,1,3030,37000,1,10000,18,40101,1,250,40600,2,7000,40601,1,10000,36,40101,1,700,40605,6,9000,40606,4,10000
5303,鞋子_21~30_稀有,2,500,40102,1,30,40601,1,3030,37000,1,10000,108,40102,1,250,40601,2,7000,40602,1,10000,216,40102,1,700,40606,6,9000,40607,4,10000
5304,鞋子_31~40_稀有,2,500,40103,1,30,40602,1,3030,37000,1,10000,648,40103,1,250,40602,2,7000,40603,1,10000,1296,40103,1,700,40607,6,9000,40608,4,10000
5305,鞋子_41~45_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
5306,鞋子_46~50_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
5307,鞋子_51~55_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
5308,鞋子_56~60_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
5401,鞋子_01~10_特别,2,1000,40100,1,100,40600,1,3100,37000,1,10000,3,40100,1,650,40600,2,6000,40601,2,10000,6,40100,1,1820,40605,8,8000,40606,6,10000
5402,鞋子_11~20_特别,2,1000,40101,1,100,40600,1,3100,37000,1,10000,18,40101,1,650,40600,2,6000,40601,2,10000,36,40101,1,1820,40605,8,8000,40606,6,10000
5403,鞋子_21~30_特别,2,1000,40102,1,100,40601,1,3100,37000,1,10000,108,40102,1,650,40601,2,6000,40602,2,10000,216,40102,1,1820,40606,8,8000,40607,6,10000
5404,鞋子_31~40_特别,2,1000,40103,1,100,40602,1,3100,37000,1,10000,648,40103,1,650,40602,2,6000,40603,2,10000,1296,40103,1,1820,40607,8,9000,40301,1,10000
5405,鞋子_41~45_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
5406,鞋子_46~50_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
5407,鞋子_51~55_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
5408,鞋子_56~60_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
6101,披风_01~10_一般,0,0,40100,1,10,40600,1,3010,37000,1,10000,3,40100,1,50,40600,1,9000,37000,1,10000,6,40100,1,140,40600,2,10000,0,0,0
6102,披风_11~20_一般,0,0,40101,1,10,40600,1,3010,37000,1,10000,18,40101,1,50,40600,1,9000,37000,1,10000,36,40101,1,140,40600,2,10000,0,0,0
6103,披风_21~30_一般,0,0,40102,1,10,40601,1,3010,37000,1,10000,108,40102,1,50,40601,1,9000,37000,1,10000,216,40102,1,140,40601,2,10000,0,0,0
6104,披风_31~40_一般,0,0,40103,1,10,40602,1,3010,37000,1,10000,648,40103,1,50,40602,1,9000,37000,1,10000,1296,40103,1,140,40602,2,10000,0,0,0
6105,披风_41~45_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
6106,披风_46~50_一般,0,0,40104,1,10,40603,1,3010,37000,1,10000,3888,40104,1,50,40603,1,9000,37000,1,10000,7776,40104,1,140,40603,2,10000,0,0,0
6107,披风_51~55_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
6108,披风_56~60_一般,0,0,40105,1,10,40604,1,3010,37000,1,10000,23328,40105,1,50,40604,1,9000,37000,1,10000,46656,40105,1,140,40604,2,10000,0,0,0
6201,披风_01~10_高级,1,100,40100,1,20,40600,1,3020,37000,1,10000,3,40100,1,100,40600,1,9000,40601,1,10000,6,40100,1,280,40600,4,9000,40605,2,10000
6202,披风_11~20_高级,1,100,40101,1,20,40600,1,3020,37000,1,10000,18,40101,1,100,40600,1,9000,40601,1,10000,36,40101,1,280,40600,4,9000,40605,2,10000
6203,披风_21~30_高级,1,100,40102,1,20,40601,1,3020,37000,1,10000,108,40102,1,100,40601,1,9000,40602,1,10000,216,40102,1,280,40601,4,9000,40606,2,10000
6204,披风_31~40_高级,1,100,40103,1,20,40602,1,3020,37000,1,10000,648,40103,1,100,40602,1,9000,40603,1,10000,1296,40103,1,280,40602,4,9000,40607,2,10000
6205,披风_41~45_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
6206,披风_46~50_高级,1,100,40104,1,20,40603,1,3020,37000,1,10000,3888,40104,1,100,40603,1,9000,40604,1,10000,7776,40104,1,280,40603,4,9000,40608,2,10000
6207,披风_51~55_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
6208,披风_56~60_高级,1,100,40105,1,20,40604,1,3020,37000,1,10000,23328,40105,1,100,40604,1,9000,40608,1,10000,46656,40105,1,280,40604,4,9000,40609,2,10000
6301,披风_01~10_稀有,2,500,40100,1,30,40600,1,3030,37000,1,10000,3,40100,1,250,40600,2,7000,40601,1,10000,6,40100,1,700,40605,6,9000,40606,4,10000
6302,披风_11~20_稀有,2,500,40101,1,30,40600,1,3030,37000,1,10000,18,40101,1,250,40600,2,7000,40601,1,10000,36,40101,1,700,40605,6,9000,40606,4,10000
6303,披风_21~30_稀有,2,500,40102,1,30,40601,1,3030,37000,1,10000,108,40102,1,250,40601,2,7000,40602,1,10000,216,40102,1,700,40606,6,9000,40607,4,10000
6304,披风_31~40_稀有,2,500,40103,1,30,40602,1,3030,37000,1,10000,648,40103,1,250,40602,2,7000,40603,1,10000,1296,40103,1,700,40607,6,9000,40608,4,10000
6305,披风_41~45_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
6306,披风_46~50_稀有,2,500,40104,1,30,40603,1,3030,37000,1,10000,3888,40104,1,250,40603,2,7000,40604,1,10000,7776,40104,1,700,40608,6,9000,40301,1,10000
6307,披风_51~55_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
6308,披风_56~60_稀有,2,500,40105,1,30,40604,1,3030,37000,1,10000,23328,40105,1,250,40604,2,7000,40608,1,10000,46656,40105,1,700,40609,6,9000,40301,1,10000
6401,披风_01~10_特别,2,1000,40100,1,100,40600,1,3100,37000,1,10000,3,40100,1,650,40600,2,6000,40601,2,10000,6,40100,1,1820,40605,8,8000,40606,6,10000
6402,披风_11~20_特别,2,1000,40101,1,100,40600,1,3100,37000,1,10000,18,40101,1,650,40600,2,6000,40601,2,10000,36,40101,1,1820,40605,8,8000,40606,6,10000
6403,披风_21~30_特别,2,1000,40102,1,100,40601,1,3100,37000,1,10000,108,40102,1,650,40601,2,6000,40602,2,10000,216,40102,1,1820,40606,8,8000,40607,6,10000
6404,披风_31~40_特别,2,1000,40103,1,100,40602,1,3100,37000,1,10000,648,40103,1,650,40602,2,6000,40603,2,10000,1296,40103,1,1820,40607,8,9000,40301,1,10000
6405,披风_41~45_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
6406,披风_46~50_特别,2,1000,40104,1,100,40603,1,3100,37000,1,10000,3888,40104,1,650,40603,2,6000,40604,2,10000,7776,40104,1,1820,40610,4,9000,40302,1,10000
6407,披风_51~55_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
6408,披风_56~60_特别,2,1000,40105,1,100,40604,1,3100,37000,1,10000,23328,40105,1,650,40604,2,6000,40608,2,10000,46656,40105,1,1820,40610,4,9000,40302,1,10000
7101,盾牌_01~10_一般,0,0,40000,1,10,40600,1,3010,37000,1,10000,3,40000,1,50,40600,1,9000,37000,1,10000,6,40000,1,140,40600,2,10000,0,0,0
7102,盾牌_11~20_一般,0,0,40001,1,10,40600,1,3010,37000,1,10000,18,40001,1,50,40600,1,9000,37000,1,10000,36,40001,1,140,40600,2,10000,0,0,0
7103,盾牌_21~30_一般,0,0,40002,1,10,40601,1,3010,37000,1,10000,108,40002,1,50,40601,1,9000,37000,1,10000,216,40002,1,140,40601,2,10000,0,0,0
7104,盾牌_31~40_一般,0,0,40003,1,10,40602,1,3010,37000,1,10000,648,40003,1,50,40602,1,9000,37000,1,10000,1296,40003,1,140,40602,2,10000,0,0,0
7105,盾牌_41~45_一般,0,0,40004,1,10,40603,1,3010,37000,1,10000,3888,40004,1,50,40603,1,9000,37000,1,10000,7776,40004,1,140,40603,2,10000,0,0,0
7106,盾牌_46~50_一般,0,0,40004,1,10,40603,1,3010,37000,1,10000,3888,40004,1,50,40603,1,9000,37000,1,10000,7776,40004,1,140,40603,2,10000,0,0,0
7107,盾牌_51~55_一般,0,0,40005,1,10,40604,1,3010,37000,1,10000,23328,40005,1,50,40604,1,9000,37000,1,10000,46656,40005,1,140,40604,2,10000,0,0,0
7108,盾牌_56~60_一般,0,0,40005,1,10,40604,1,3010,37000,1,10000,23328,40005,1,50,40604,1,9000,37000,1,10000,46656,40005,1,140,40604,2,10000,0,0,0
7201,盾牌_01~10_高级,1,100,40000,1,20,40600,1,3020,37000,1,10000,3,40000,1,100,40600,1,9000,40601,1,10000,6,40000,1,280,40600,4,9000,40605,2,10000
7202,盾牌_11~20_高级,1,100,40001,1,20,40600,1,3020,37000,1,10000,18,40001,1,100,40600,1,9000,40601,1,10000,36,40001,1,280,40600,4,9000,40605,2,10000
7203,盾牌_21~30_高级,1,100,40002,1,20,40601,1,3020,37000,1,10000,108,40002,1,100,40601,1,9000,40602,1,10000,216,40002,1,280,40601,4,9000,40606,2,10000
7204,盾牌_31~40_高级,1,100,40003,1,20,40602,1,3020,37000,1,10000,648,40003,1,100,40602,1,9000,40603,1,10000,1296,40003,1,280,40602,4,9000,40607,2,10000
7205,盾牌_41~45_高级,1,100,40004,1,20,40603,1,3020,37000,1,10000,3888,40004,1,100,40603,1,9000,40604,1,10000,7776,40004,1,280,40603,4,9000,40608,2,10000
7206,盾牌_46~50_高级,1,100,40004,1,20,40603,1,3020,37000,1,10000,3888,40004,1,100,40603,1,9000,40604,1,10000,7776,40004,1,280,40603,4,9000,40608,2,10000
7207,盾牌_51~55_高级,1,100,40005,1,20,40604,1,3020,37000,1,10000,23328,40005,1,100,40604,1,9000,40608,1,10000,46656,40005,1,280,40604,4,9000,40609,2,10000
7208,盾牌_56~60_高级,1,100,40005,1,20,40604,1,3020,37000,1,10000,23328,40005,1,100,40604,1,9000,40608,1,10000,46656,40005,1,280,40604,4,9000,40609,2,10000
7301,盾牌_01~10_稀有,2,500,40000,1,30,40600,1,3030,37000,1,10000,3,40000,1,250,40600,2,7000,40601,1,10000,6,40000,1,700,40605,6,9000,40606,4,10000
7302,盾牌_11~20_稀有,2,500,40001,1,30,40600,1,3030,37000,1,10000,18,40001,1,250,40600,2,7000,40601,1,10000,36,40001,1,700,40605,6,9000,40606,4,10000
7303,盾牌_21~30_稀有,2,500,40002,1,30,40601,1,3030,37000,1,10000,108,40002,1,250,40601,2,7000,40602,1,10000,216,40002,1,700,40606,6,9000,40607,4,10000
7304,盾牌_31~40_稀有,2,500,40003,1,30,40602,1,3030,37000,1,10000,648,40003,1,250,40602,2,7000,40603,1,10000,1296,40003,1,700,40607,6,9000,40608,4,10000
7305,盾牌_41~45_稀有,2,500,40004,1,30,40603,1,3030,37000,1,10000,3888,40004,1,250,40603,2,7000,40604,1,10000,7776,40004,1,700,40608,6,9000,40301,1,10000
7306,盾牌_46~50_稀有,2,500,40004,1,30,40603,1,3030,37000,1,10000,3888,40004,1,250,40603,2,7000,40604,1,10000,7776,40004,1,700,40608,6,9000,40301,1,10000
7307,盾牌_51~55_稀有,2,500,40005,1,30,40604,1,3030,37000,1,10000,23328,40005,1,250,40604,2,7000,40608,1,10000,46656,40005,1,700,40609,6,9000,40301,1,10000
7308,盾牌_56~60_稀有,2,500,40005,1,30,40604,1,3030,37000,1,10000,23328,40005,1,250,40604,2,7000,40608,1,10000,46656,40005,1,700,40609,6,9000,40301,1,10000
7401,盾牌_01~10_特别,2,1000,40000,1,100,40600,1,3100,37000,1,10000,3,40000,1,650,40600,2,6000,40601,2,10000,6,40000,1,1820,40605,8,8000,40606,6,10000
7402,盾牌_11~20_特别,2,1000,40001,1,100,40600,1,3100,37000,1,10000,18,40001,1,650,40600,2,6000,40601,2,10000,36,40001,1,1820,40605,8,8000,40606,6,10000
7403,盾牌_21~30_特别,2,1000,40002,1,100,40601,1,3100,37000,1,10000,108,40002,1,650,40601,2,6000,40602,2,10000,216,40002,1,1820,40606,8,8000,40607,6,10000
7404,盾牌_31~40_特别,2,1000,40003,1,100,40602,1,3100,37000,1,10000,648,40003,1,650,40602,2,6000,40603,2,10000,1296,40003,1,1820,40607,8,9000,40301,1,10000
7405,盾牌_41~45_特别,2,1000,40004,1,100,40603,1,3100,37000,1,10000,3888,40004,1,650,40603,2,6000,40604,2,10000,7776,40004,1,1820,40610,4,9000,40302,1,10000
7406,盾牌_46~50_特别,2,1000,40004,1,100,40603,1,3100,37000,1,10000,3888,40004,1,650,40603,2,6000,40604,2,10000,7776,40004,1,1820,40610,4,9000,40302,1,10000
7407,盾牌_51~55_特别,2,1000,40005,1,100,40604,1,3100,37000,1,10000,23328,40005,1,650,40604,2,6000,40608,2,10000,46656,40005,1,1820,40610,4,9000,40302,1,10000
7408,盾牌_56~60_特别,2,1000,40005,1,100,40604,1,3100,37000,1,10000,23328,40005,1,650,40604,2,6000,40608,2,10000,46656,40005,1,1820,40610,4,9000,40302,1,10000
10101,项链_01~10_一般,0,0,40200,1,10,40600,1,3010,37000,1,10000,4,40200,1,50,40600,1,9000,37000,1,10000,8,40200,1,140,40600,2,10000,0,0,0
10102,项链_11~20_一般,0,0,40201,1,10,40600,1,3010,37000,1,10000,24,40201,1,50,40600,1,9000,37000,1,10000,48,40201,1,140,40600,2,10000,0,0,0
10103,项链_21~30_一般,0,0,40202,1,10,40601,1,3010,37000,1,10000,144,40202,1,50,40601,1,9000,37000,1,10000,288,40202,1,140,40601,2,10000,0,0,0
10104,项链_31~40_一般,0,0,40203,1,10,40602,1,3010,37000,1,10000,864,40203,1,50,40602,1,9000,37000,1,10000,1728,40203,1,140,40602,2,10000,0,0,0
10105,项链_41~45_一般,0,0,40204,1,10,40603,1,3010,37000,1,10000,5184,40204,1,50,40603,1,9000,37000,1,10000,10368,40204,1,140,40603,2,10000,0,0,0
10106,项链_46~50_一般,0,0,40204,1,10,40603,1,3010,37000,1,10000,5184,40204,1,50,40603,1,9000,37000,1,10000,10368,40204,1,140,40603,2,10000,0,0,0
10107,项链_51~55_一般,0,0,40205,1,10,40604,1,3010,37000,1,10000,31104,40205,1,50,40604,1,9000,37000,1,10000,62208,40205,1,140,40604,2,10000,0,0,0
10108,项链_56~60_一般,0,0,40205,1,10,40604,1,3010,37000,1,10000,31104,40205,1,50,40604,1,9000,37000,1,10000,62208,40205,1,140,40604,2,10000,0,0,0
10201,项链_01~10_高级,1,100,40200,1,20,40600,1,3020,37000,1,10000,4,40200,1,100,40600,1,9000,40601,1,10000,8,40200,1,280,40600,4,9000,40605,2,10000
10202,项链_11~20_高级,1,100,40201,1,20,40600,1,3020,37000,1,10000,24,40201,1,100,40600,1,9000,40601,1,10000,48,40201,1,280,40600,4,9000,40605,2,10000
10203,项链_21~30_高级,1,100,40202,1,20,40601,1,3020,37000,1,10000,144,40202,1,100,40601,1,9000,40602,1,10000,288,40202,1,280,40601,4,9000,40606,2,10000
10204,项链_31~40_高级,1,100,40203,1,20,40602,1,3020,37000,1,10000,864,40203,1,100,40602,1,9000,40603,1,10000,1728,40203,1,280,40602,4,9000,40607,2,10000
10205,项链_41~45_高级,1,100,40204,1,20,40603,1,3020,37000,1,10000,5184,40204,1,100,40603,1,9000,40604,1,10000,10368,40204,1,280,40603,4,9000,40608,2,10000
10206,项链_46~50_高级,1,100,40204,1,20,40603,1,3020,37000,1,10000,5184,40204,1,100,40603,1,9000,40604,1,10000,10368,40204,1,280,40603,4,9000,40608,2,10000
10207,项链_51~55_高级,1,100,40205,1,20,40604,1,3020,37000,1,10000,31104,40205,1,100,40604,1,9000,40608,1,10000,62208,40205,1,280,40604,4,9000,40609,2,10000
10208,项链_56~60_高级,1,100,40205,1,20,40604,1,3020,37000,1,10000,31104,40205,1,100,40604,1,9000,40608,1,10000,62208,40205,1,280,40604,4,9000,40609,2,10000
10301,项链_01~10_稀有,2,500,40200,1,30,40600,1,3030,37000,1,10000,4,40200,1,250,40600,2,7000,40601,1,10000,8,40200,1,700,40605,6,9000,40606,4,10000
10302,项链_11~20_稀有,2,500,40201,1,30,40600,1,3030,37000,1,10000,24,40201,1,250,40600,2,7000,40601,1,10000,48,40201,1,700,40605,6,9000,40606,4,10000
10303,项链_21~30_稀有,2,500,40202,1,30,40601,1,3030,37000,1,10000,144,40202,1,250,40601,2,7000,40602,1,10000,288,40202,1,700,40606,6,9000,40607,4,10000
10304,项链_31~40_稀有,2,500,40203,1,30,40602,1,3030,37000,1,10000,864,40203,1,250,40602,2,7000,40603,1,10000,1728,40203,1,700,40607,6,9000,40608,4,10000
10305,项链_41~45_稀有,2,500,40204,1,30,40603,1,3030,37000,1,10000,5184,40204,1,250,40603,2,7000,40604,1,10000,10368,40204,1,700,40608,6,9000,40301,1,10000
10306,项链_46~50_稀有,2,500,40204,1,30,40603,1,3030,37000,1,10000,5184,40204,1,250,40603,2,7000,40604,1,10000,10368,40204,1,700,40608,6,9000,40301,1,10000
10307,项链_51~55_稀有,2,500,40205,1,30,40604,1,3030,37000,1,10000,31104,40205,1,250,40604,2,7000,40608,1,10000,62208,40205,1,700,40609,6,9000,40301,1,10000
10308,项链_56~60_稀有,2,500,40205,1,30,40604,1,3030,37000,1,10000,31104,40205,1,250,40604,2,7000,40608,1,10000,62208,40205,1,700,40609,6,9000,40301,1,10000
10401,项链_01~10_特别,2,1000,40200,1,100,40600,1,3100,37000,1,10000,4,40200,1,650,40600,2,6000,40601,2,10000,8,40200,1,1820,40605,8,8000,40606,6,10000
10402,项链_11~20_特别,2,1000,40201,1,100,40600,1,3100,37000,1,10000,24,40201,1,650,40600,2,6000,40601,2,10000,48,40201,1,1820,40605,8,8000,40606,6,10000
10403,项链_21~30_特别,2,1000,40202,1,100,40601,1,3100,37000,1,10000,144,40202,1,650,40601,2,6000,40602,2,10000,288,40202,1,1820,40606,8,8000,40607,6,10000
10404,项链_31~40_特别,2,1000,40203,1,100,40602,1,3100,37000,1,10000,864,40203,1,650,40602,2,6000,40603,2,10000,1728,40203,1,1820,40607,8,9000,40301,1,10000
10405,项链_41~45_特别,2,1000,40204,1,100,40603,1,3100,37000,1,10000,5184,40204,1,650,40603,2,6000,40604,2,10000,10368,40204,1,1820,40610,4,9000,40302,1,10000
10406,项链_46~50_特别,2,1000,40204,1,100,40603,1,3100,37000,1,10000,5184,40204,1,650,40603,2,6000,40604,2,10000,10368,40204,1,1820,40610,4,9000,40302,1,10000
10407,项链_51~55_特别,2,1000,40205,1,100,40604,1,3100,37000,1,10000,31104,40205,1,650,40604,2,6000,40608,2,10000,62208,40205,1,1820,40610,4,9000,40302,1,10000
10408,项链_56~60_特别,2,1000,40205,1,100,40604,1,3100,37000,1,10000,31104,40205,1,650,40604,2,6000,40608,2,10000,62208,40205,1,1820,40610,4,9000,40302,1,10000
11101,戒指_01~10_一般,0,0,40200,1,10,40600,1,3010,37000,1,10000,4,40200,1,50,40600,1,9000,37000,1,10000,8,40200,1,140,40600,2,10000,0,0,0
