TID,Comment,GroupID,GroupRate,MinGhelld,MaxGhelld,AddDropNumber,AddDropRate,DropItem01,DropItemStack01,DropRate01,DropItem02,DropItemStack02,DropRate02,DropItem03,DropItemStack03,DropRate03,DropItem04,DropItemStack04,DropRate04,DropItem05,DropItemStack05,DropRate05,DropItem06,DropItemStack06,DropRate06,DropItem07,DropItemStack07,DropRate07,DropItem08,DropItemStack08,DropRate08,DropItem09,DropItemStack09,DropRate09,DropItem10,DropItemStack10,DropRate10,DropItem11,DropItemStack11,DropRate11,DropItem12,DropItemStack12,DropRate12,DropItem13,DropItemStack13,DropRate13,DropItem14,DropItemStack14,DropRate14,DropItem15,DropItemStack15,DropRate15
2488,(卸除)一般_手套_31,1031,492,166,298,1,475,2430701,1,3300,2433701,1,6666,2436701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,(卸除)一般_裤子_31,1031,739,166,298,1,712,2440701,1,3300,2443701,1,6666,2446701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,(卸除)一般_头盔_31,1031,985,166,298,1,950,2410701,1,3300,2413701,1,6666,2416701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,(卸除)一般_铠甲_31,1031,1232,166,298,1,1187,2420701,1,3300,2423701,1,6666,2426701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,(卸除)一般_武器_31,1031,1478,166,298,1,1425,1011201,1,2000,1041201,1,4000,1141201,1,6000,1051201,1,8000,1091201,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,(卸除)一般_盾牌_31,1031,1725,166,298,1,1662,1026204,1,9900,1026201,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,(卸除)一般_靴子_31,1031,1743,166,298,1,1680,2450714,1,3300,2453714,1,6600,2456714,1,9900,2450711,1,9933,2453711,1,9966,2456711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,(卸除)一般_手套_31,1031,1762,166,298,1,1697,2430714,1,3300,2433714,1,6600,2436714,1,9900,2430711,1,9933,2433711,1,9966,2436711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,(卸除)一般_裤子_31,1031,1780,166,298,1,1715,2440714,1,3300,2443714,1,6600,2446714,1,9900,2440711,1,9933,2443711,1,9966,2446711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,(卸除)一般_头盔_31,1031,1799,166,298,1,1732,2410714,1,3300,2413714,1,6600,2416714,1,9900,2410711,1,9933,2413711,1,9966,2416711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498,(卸除)一般_铠甲_31,1031,1818,166,298,1,1750,2420714,1,3300,2423714,1,6600,2426714,1,9900,2420711,1,9933,2423711,1,9966,2426711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,(卸除)一般_武器_31,1031,1836,166,298,1,1767,1011214,1,1000,1041214,1,2000,1141214,1,3000,1051214,1,4000,1011211,1,5000,1041211,1,6000,1141211,1,7000,1051211,1,8000,1091211,1,9000,1091214,1,10000,,,,,,,,,,,,,,,
2500,(卸除)一般_盾牌_31,1031,1855,166,298,1,1785,1026214,1,9900,1026211,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,(卸除)一般_靴子_31,1031,1860,166,298,1,1790,2450724,1,3300,2453724,1,6600,2456724,1,9900,2450721,1,9933,2453721,1,9966,2456721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,(卸除)一般_手套_31,1031,1864,166,298,1,1795,2430724,1,3300,2433724,1,6600,2436724,1,9900,2430721,1,9933,2433721,1,9966,2436721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,(卸除)一般_裤子_31,1031,1869,166,298,1,1800,2440724,1,3300,2443724,1,6600,2446724,1,9900,2440721,1,9933,2443721,1,9966,2446721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,(卸除)一般_头盔_31,1031,1873,166,298,1,1805,2410724,1,3300,2413724,1,6600,2416724,1,9900,2410721,1,9933,2413721,1,9966,2416721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,(卸除)一般_铠甲_31,1031,1878,166,298,1,1810,2420724,1,3300,2423724,1,6600,2426724,1,9900,2420721,1,9933,2423721,1,9966,2426721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,(卸除)一般_武器_31,1031,1883,166,298,1,1815,1011224,1,1000,1041224,1,2000,1141224,1,3000,1051224,1,4000,1011221,1,5000,1041221,1,6000,1141221,1,7000,1051221,1,8000,1091221,1,9000,1091224,1,10000,,,,,,,,,,,,,,,
2507,(卸除)一般_盾牌_31,1031,1887,166,298,1,1820,1026224,1,9900,1026221,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,(卸除)一般_靴子_32,1032,190,182,327,1,235,2450701,1,3300,2453701,1,6666,2456701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,(卸除)一般_手套_32,1032,381,182,327,1,470,2430701,1,3300,2433701,1,6666,2436701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,(卸除)一般_裤子_32,1032,571,182,327,1,705,2440701,1,3300,2443701,1,6666,2446701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,(卸除)一般_头盔_32,1032,762,182,327,1,940,2410701,1,3300,2413701,1,6666,2416701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,(卸除)一般_铠甲_32,1032,953,182,327,1,1175,2420701,1,3300,2423701,1,6666,2426701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,(卸除)一般_武器_32,1032,1143,182,327,1,1410,1011301,1,2000,1041301,1,4000,1141301,1,6000,1051301,1,8000,1091301,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,(卸除)一般_盾牌_32,1032,1334,182,327,1,1645,1026304,1,9900,1026301,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,(卸除)一般_靴子_32,1032,1348,182,327,1,1662,2450714,1,3300,2453714,1,6600,2456714,1,9900,2450711,1,9933,2453711,1,9966,2456711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,(卸除)一般_手套_32,1032,1362,182,327,1,1680,2430714,1,3300,2433714,1,6600,2436714,1,9900,2430711,1,9933,2433711,1,9966,2436711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,(卸除)一般_裤子_32,1032,1376,182,327,1,1697,2440714,1,3300,2443714,1,6600,2446714,1,9900,2440711,1,9933,2443711,1,9966,2446711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,(卸除)一般_头盔_32,1032,1390,182,327,1,1715,2410714,1,3300,2413714,1,6600,2416714,1,9900,2410711,1,9933,2413711,1,9966,2416711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,(卸除)一般_铠甲_32,1032,1404,182,327,1,1732,2420714,1,3300,2423714,1,6600,2426714,1,9900,2420711,1,9933,2423711,1,9966,2426711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,(卸除)一般_武器_32,1032,1418,182,327,1,1750,1011314,1,1000,1041314,1,2000,1141314,1,3000,1051314,1,4000,1011311,1,5000,1041311,1,6000,1141311,1,7000,1051311,1,8000,1091311,1,9000,1091314,1,10000,,,,,,,,,,,,,,,
2521,(卸除)一般_盾牌_32,1032,1432,182,327,1,1767,1026314,1,9900,1026311,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,(卸除)一般_靴子_32,1032,1435,182,327,1,1772,2450724,1,3300,2453724,1,6600,2456724,1,9900,2450721,1,9933,2453721,1,9966,2456721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,(卸除)一般_手套_32,1032,1438,182,327,1,1777,2430724,1,3300,2433724,1,6600,2436724,1,9900,2430721,1,9933,2433721,1,9966,2436721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,(卸除)一般_裤子_32,1032,1441,182,327,1,1782,2440724,1,3300,2443724,1,6600,2446724,1,9900,2440721,1,9933,2443721,1,9966,2446721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,(卸除)一般_头盔_32,1032,1444,182,327,1,1787,2410724,1,3300,2413724,1,6600,2416724,1,9900,2410721,1,9933,2413721,1,9966,2416721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,(卸除)一般_铠甲_32,1032,1447,182,327,1,1792,2420724,1,3300,2423724,1,6600,2426724,1,9900,2420721,1,9933,2423721,1,9966,2426721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,(卸除)一般_武器_32,1032,1450,182,327,1,1797,1011324,1,1000,1041324,1,2000,1141324,1,3000,1051324,1,4000,1011321,1,5000,1041321,1,6000,1141321,1,7000,1051321,1,8000,1091321,1,9000,1091324,1,10000,,,,,,,,,,,,,,,
2528,(卸除)一般_盾牌_32,1032,1453,182,327,1,1802,1026324,1,9900,1026321,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,戒指_33,1032,1602,198,357,1,1625,2080401,1,5000,2080402,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,戒指_33,1032,1613,198,357,1,1750,2080411,1,5000,2080412,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,戒指_33,1032,1616,198,357,1,1785,2080421,1,5000,2080422,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,项链_34,1032,1765,216,388,1,1605,2070401,1,5000,2070402,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,项链_34,1032,1776,216,388,1,1727,2070411,1,5000,2070412,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,项链_34,1032,1779,216,388,1,1762,2070421,1,5000,2070422,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,(卸除)一般_靴子_35,1035,240,234,420,1,225,2450701,1,3300,2453701,1,6666,2456701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,(卸除)一般_手套_35,1035,480,234,420,1,450,2430701,1,3300,2433701,1,6666,2436701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,(卸除)一般_裤子_35,1035,720,234,420,1,675,2440701,1,3300,2443701,1,6666,2446701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,(卸除)一般_头盔_35,1035,961,234,420,1,900,2410701,1,3300,2413701,1,6666,2416701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,(卸除)一般_铠甲_35,1035,1201,234,420,1,1125,2420701,1,3300,2423701,1,6666,2426701,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,(卸除)一般_武器_35,1035,1441,234,420,1,1350,1011401,1,2000,1041401,1,4000,1141401,1,6000,1051401,1,8000,1091401,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,(卸除)一般_盾牌_35,1035,1681,234,420,1,1575,1026404,1,9900,1026401,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,(卸除)一般_靴子_35,1035,1698,234,420,1,1590,2450714,1,3300,2453714,1,6600,2456714,1,9900,2450711,1,9933,2453711,1,9966,2456711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,(卸除)一般_手套_35,1035,1715,234,420,1,1605,2430714,1,3300,2433714,1,6600,2436714,1,9900,2430711,1,9933,2433711,1,9966,2436711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,(卸除)一般_裤子_35,1035,1732,234,420,1,1620,2440714,1,3300,2443714,1,6600,2446714,1,9900,2440711,1,9933,2443711,1,9966,2446711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,(卸除)一般_头盔_35,1035,1749,234,420,1,1635,2410714,1,3300,2413714,1,6600,2416714,1,9900,2410711,1,9933,2413711,1,9966,2416711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,(卸除)一般_铠甲_35,1035,1767,234,420,1,1650,2420714,1,3300,2423714,1,6600,2426714,1,9900,2420711,1,9933,2423711,1,9966,2426711,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,(卸除)一般_武器_35,1035,1784,234,420,1,1665,1011414,1,1000,1041414,1,2000,1141414,1,3000,1051414,1,4000,1011411,1,5000,1041411,1,6000,1141411,1,7000,1051411,1,8000,1091411,1,9000,1091414,1,10000,,,,,,,,,,,,,,,
2548,(卸除)一般_盾牌_35,1035,1801,234,420,1,1680,1026414,1,9900,1026411,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,(卸除)一般_靴子_35,1035,1805,234,420,1,1682,2450724,1,3300,2453724,1,6600,2456724,1,9900,2450721,1,9933,2453721,1,9966,2456721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,(卸除)一般_手套_35,1035,1810,234,420,1,1685,2430724,1,3300,2433724,1,6600,2436724,1,9900,2430721,1,9933,2433721,1,9966,2436721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,(卸除)一般_裤子_35,1035,1815,234,420,1,1687,2440724,1,3300,2443724,1,6600,2446724,1,9900,2440721,1,9933,2443721,1,9966,2446721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,(卸除)一般_头盔_35,1035,1819,234,420,1,1690,2410724,1,3300,2413724,1,6600,2416724,1,9900,2410721,1,9933,2413721,1,9966,2416721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,(卸除)一般_铠甲_35,1035,1824,234,420,1,1692,2420724,1,3300,2423724,1,6600,2426724,1,9900,2420721,1,9933,2423721,1,9966,2426721,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,(卸除)一般_武器_35,1035,1829,234,420,1,1695,1011424,1,1000,1041424,1,2000,1141424,1,3000,1051424,1,4000,1011421,1,5000,1041421,1,6000,1141421,1,7000,1051421,1,8000,1091421,1,9000,1091424,1,10000,,,,,,,,,,,,,,,
2555,(卸除)一般_盾牌_35,1035,1833,234,420,1,1697,1026424,1,9900,1026421,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,(卸除)一般_靴子_36,1036,238,252,454,1,215,2450801,1,3300,2453801,1,6666,2456801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,(卸除)一般_手套_36,1036,477,252,454,1,430,2430801,1,3300,2433801,1,6666,2436801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,(卸除)一般_裤子_36,1036,716,252,454,1,645,2440801,1,3300,2443801,1,6666,2446801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,(卸除)一般_头盔_36,1036,954,252,454,1,860,2410801,1,3300,2413801,1,6666,2416801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,(卸除)一般_铠甲_36,1036,1193,252,454,1,1075,2420801,1,3300,2423801,1,6666,2426801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,(卸除)一般_武器_36,1036,1432,252,454,1,1290,1011401,1,2000,1041401,1,4000,1141401,1,6000,1051401,1,8000,1091401,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,(卸除)一般_盾牌_36,1036,1670,252,454,1,1505,1026404,1,9900,1026401,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,(卸除)一般_靴子_36,1036,1687,252,454,1,1520,2450814,1,3300,2453814,1,6600,2456814,1,9900,2450811,1,9933,2453811,1,9966,2456811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,(卸除)一般_手套_36,1036,1705,252,454,1,1535,2430814,1,3300,2433814,1,6600,2436814,1,9900,2430811,1,9933,2433811,1,9966,2436811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2565,(卸除)一般_裤子_36,1036,1722,252,454,1,1550,2440814,1,3300,2443814,1,6600,2446814,1,9900,2440811,1,9933,2443811,1,9966,2446811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,(卸除)一般_头盔_36,1036,1739,252,454,1,1565,2410814,1,3300,2413814,1,6600,2416814,1,9900,2410811,1,9933,2413811,1,9966,2416811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,(卸除)一般_铠甲_36,1036,1756,252,454,1,1580,2420814,1,3300,2423814,1,6600,2426814,1,9900,2420811,1,9933,2423811,1,9966,2426811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,(卸除)一般_武器_36,1036,1773,252,454,1,1595,1011414,1,1000,1041414,1,2000,1141414,1,3000,1051414,1,4000,1011411,1,5000,1041411,1,6000,1141411,1,7000,1051411,1,8000,1091411,1,9000,1091414,1,10000,,,,,,,,,,,,,,,
2569,(卸除)一般_盾牌_36,1036,1790,252,454,1,1610,1026414,1,9900,1026411,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2570,(卸除)一般_靴子_36,1036,1794,252,454,1,1612,2450824,1,3300,2453824,1,6600,2456824,1,9900,2450821,1,9933,2453821,1,9966,2456821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,(卸除)一般_手套_36,1036,1799,252,454,1,1615,2430824,1,3300,2433824,1,6600,2436824,1,9900,2430821,1,9933,2433821,1,9966,2436821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,(卸除)一般_裤子_36,1036,1804,252,454,1,1617,2440824,1,3300,2443824,1,6600,2446824,1,9900,2440821,1,9933,2443821,1,9966,2446821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573,(卸除)一般_头盔_36,1036,1808,252,454,1,1620,2410824,1,3300,2413824,1,6600,2416824,1,9900,2410821,1,9933,2413821,1,9966,2416821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,(卸除)一般_铠甲_36,1036,1813,252,454,1,1622,2420824,1,3300,2423824,1,6600,2426824,1,9900,2420821,1,9933,2423821,1,9966,2426821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,(卸除)一般_武器_36,1036,1818,252,454,1,1625,1011424,1,1000,1041424,1,2000,1141424,1,3000,1051424,1,4000,1011421,1,5000,1041421,1,6000,1141421,1,7000,1051421,1,8000,1091421,1,9000,1091424,1,10000,,,,,,,,,,,,,,,
2576,(卸除)一般_盾牌_36,1036,1822,252,454,1,1627,1026424,1,9900,1026421,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,(卸除)一般_靴子_37,1037,182,272,489,1,212,2450801,1,3300,2453801,1,6666,2456801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578,(卸除)一般_手套_37,1037,365,272,489,1,425,2430801,1,3300,2433801,1,6666,2436801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2579,(卸除)一般_裤子_37,1037,548,272,489,1,637,2440801,1,3300,2443801,1,6666,2446801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2580,(卸除)一般_头盔_37,1037,731,272,489,1,850,2410801,1,3300,2413801,1,6666,2416801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,(卸除)一般_铠甲_37,1037,914,272,489,1,1062,2420801,1,3300,2423801,1,6666,2426801,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,(卸除)一般_武器_37,1037,1097,272,489,1,1275,1011501,1,2000,1041501,1,4000,1141501,1,6000,1051501,1,8000,1091501,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2583,(卸除)一般_盾牌_37,1037,1280,272,489,1,1487,1026504,1,9900,1026501,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2584,(卸除)一般_靴子_37,1037,1294,272,489,1,1502,2450814,1,3300,2453814,1,6600,2456814,1,9900,2450811,1,9933,2453811,1,9966,2456811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,(卸除)一般_手套_37,1037,1308,272,489,1,1517,2430814,1,3300,2433814,1,6600,2436814,1,9900,2430811,1,9933,2433811,1,9966,2436811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,(卸除)一般_裤子_37,1037,1322,272,489,1,1532,2440814,1,3300,2443814,1,6600,2446814,1,9900,2440811,1,9933,2443811,1,9966,2446811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2587,(卸除)一般_头盔_37,1037,1336,272,489,1,1547,2410814,1,3300,2413814,1,6600,2416814,1,9900,2410811,1,9933,2413811,1,9966,2416811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,(卸除)一般_铠甲_37,1037,1350,272,489,1,1562,2420814,1,3300,2423814,1,6600,2426814,1,9900,2420811,1,9933,2423811,1,9966,2426811,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2589,(卸除)一般_武器_37,1037,1364,272,489,1,1577,1011514,1,1000,1041514,1,2000,1141514,1,3000,1051514,1,4000,1011511,1,5000,1041511,1,6000,1141511,1,7000,1051511,1,8000,1091511,1,9000,1091514,1,10000,,,,,,,,,,,,,,,
2590,(卸除)一般_盾牌_37,1037,1377,272,489,1,1592,1026514,1,9900,1026511,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2591,(卸除)一般_靴子_37,1037,1381,272,489,1,1595,2450824,1,3300,2453824,1,6600,2456824,1,9900,2450821,1,9933,2453821,1,9966,2456821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,(卸除)一般_手套_37,1037,1384,272,489,1,1597,2430824,1,3300,2433824,1,6600,2436824,1,9900,2430821,1,9933,2433821,1,9966,2436821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2593,(卸除)一般_裤子_37,1037,1387,272,489,1,1600,2440824,1,3300,2443824,1,6600,2446824,1,9900,2440821,1,9933,2443821,1,9966,2446821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,(卸除)一般_头盔_37,1037,1390,272,489,1,1602,2410824,1,3300,2413824,1,6600,2416824,1,9900,2410821,1,9933,2413821,1,9966,2416821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2595,(卸除)一般_铠甲_37,1037,1393,272,489,1,1605,2420824,1,3300,2423824,1,6600,2426824,1,9900,2420821,1,9933,2423821,1,9966,2426821,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2596,(卸除)一般_武器_37,1037,1396,272,489,1,1607,1011524,1,1000,1041524,1,2000,1141524,1,3000,1051524,1,4000,1011521,1,5000,1041521,1,6000,1141521,1,7000,1051521,1,8000,1091521,1,9000,1091524,1,10000,,,,,,,,,,,,,,,
2597,(卸除)一般_盾牌_37,1037,1399,272,489,1,1610,1026524,1,9900,1026521,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2598,戒指_38,1037,1542,292,525,1,1475,2080501,1,5000,2080502,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,戒指_38,1037,1553,292,525,1,1587,2080511,1,5000,2080512,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,戒指_38,1037,1556,292,525,1,1617,2080521,1,5000,2080522,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,项链_39,1037,1698,312,562,1,1455,2070501,1,5000,2070502,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,项链_39,1037,1709,312,562,1,1565,2070511,1,5000,2070512,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,项链_39,1037,1712,312,562,1,1595,2070521,1,5000,2070522,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,(卸除)一般_靴子_40,1040,230,334,600,1,205,2450901,1,3300,2453901,1,6666,2456901,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,(卸除)一般_手套_40,1040,461,334,600,1,410,2430901,1,3300,2433901,1,6666,2436901,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,(卸除)一般_裤子_40,1040,692,334,600,1,615,2440901,1,3300,2443901,1,6666,2446901,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,(卸除)一般_头盔_40,1040,923,334,600,1,820,2410901,1,3300,2413901,1,6666,2416901,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,(卸除)一般_铠甲_40,1040,1154,334,600,1,1025,2420901,1,3300,2423901,1,6666,2426901,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2609,(卸除)一般_武器_40,1040,1385,334,600,1,1230,1011601,1,2000,1041601,1,4000,1141601,1,6000,1051601,1,8000,1091601,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,(卸除)一般_盾牌_40,1040,1616,334,600,1,1435,1026604,1,9900,1026601,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611,(卸除)一般_靴子_40,1040,1633,334,600,1,1450,2450914,1,3300,2453914,1,6600,2456914,1,9900,2450911,1,9933,2453911,1,9966,2456911,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,(卸除)一般_手套_40,1040,1650,334,600,1,1465,2430914,1,3300,2433914,1,6600,2436914,1,9900,2430911,1,9933,2433911,1,9966,2436911,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2613,(卸除)一般_裤子_40,1040,1667,334,600,1,1480,2440914,1,3300,2443914,1,6600,2446914,1,9900,2440911,1,9933,2443911,1,9966,2446911,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,(卸除)一般_头盔_40,1040,1684,334,600,1,1495,2410914,1,3300,2413914,1,6600,2416914,1,9900,2410911,1,9933,2413911,1,9966,2416911,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2615,(卸除)一般_铠甲_40,1040,1701,334,600,1,1510,2420914,1,3300,2423914,1,6600,2426914,1,9900,2420911,1,9933,2423911,1,9966,2426911,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616,(卸除)一般_武器_40,1040,1718,334,600,1,1525,1011614,1,1000,1041614,1,2000,1141614,1,3000,1051614,1,4000,1011611,1,5000,1041611,1,6000,1141611,1,7000,1051611,1,8000,1091611,1,9000,1091614,1,10000,,,,,,,,,,,,,,,
2617,(卸除)一般_盾牌_40,1040,1736,334,600,1,1540,1026614,1,9900,1026611,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
