TID,SkillGroup,SkillLevel,Comment,EngName,LocalName,LearnType,Type,Kind,Property,BuffPosition,BuffDelete,InputType,Target,MaxArea_01,MaxArea_02,VolumeArea,MinRange,MaxRange,AutoLearnSkillTID,ComboSkillGroup,ReqHP,ReqMP,NumericalClass,KindValue,SuccessRate,AddDamage,AgroValue, AffectType, AffectDuration, AffectCount,CoolTime,GlobalCoolTime,NextSkillTID,AddtionSkillTID,AddtionRate,ReqItemTID,ReqItemTIDCount,CastMoveAbility,CastingAniID,UpCastingAniID,CastingTime,CastingFailRate,CastingDelayTime,CastingDelayRate,Race,LimitWeapon,LimitMainWeapon,LimitWeaponLevel,OpenPoint,LimitCharLevel,LearnSkillPoint,PreConditionTID_01,PreConditionTID_02,SkillArea,NowGrade,MaxGrade,AniID,AniTime,UpAniID,UpAniTime,EnableMoving,EffectiveRange,AutoAttack,ActionEffectname,CameraID,SkillIconID,EngDesc,LocalDesc,AlarmMsg
24353,2435,3, ,SKT_Name_001461,魔弹速射 (3阶段),1,2,0,1,0,0,2,1,0,0,1,0,20,0,0,0,0,1,178,100,0,0,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,3,5,9150,1567,0,0,0,0,1,09_150_001,0,2031,SKT_Desc_001461,<TC '240:163:63' Text'5秒内魔法攻击力增加178'/>,
24354,2435,4, ,SKT_Name_001462,魔弹速射 (4阶段),1,2,0,1,0,0,2,1,0,0,1,0,20,0,0,0,0,1,224,100,0,0,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,4,5,9150,1567,0,0,0,0,1,09_150_001,0,2031,SKT_Desc_001462,<TC '240:163:63' Text'5秒内魔法攻击力增加224'/>,
24355,2435,5, ,SKT_Name_001463,魔弹速射 (5阶段),1,2,0,1,0,0,2,1,0,0,1,0,20,0,0,0,0,1,272,100,0,0,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,5,5,9150,1567,0,0,0,0,1,09_150_001,0,2031,SKT_Desc_001463,<TC '240:163:63' Text'5秒内魔法攻击力增加272'/>,
24361,2436,1, ,SKT_Name_001464,疾风弹丸 (1阶段),1,4,0,0,0,0,3,1,1,0,1,0,20,0,0,0,158,1,791,100,0,0,0,0,0,10000,200,0,0,0,0,0,0,9190,0,3000,0,0,0,3,9,0,0,90,0,1,0,0,2,1,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001464,<TC '240:163:63' Text'30分钟内交换持续奥弗.'/>/n<TC '240:163:63' Text'10m半径内队伍成员（莱德）的魔法攻击力'/>/n<TC '240:163:63' Text'增加2%.'/>,
24362,2436,2, ,SKT_Name_001465,疾风弹丸 (2阶段),1,4,0,0,0,0,3,1,1,0,1,0,20,0,0,0,240,1,792,100,0,0,0,0,0,10000,200,0,0,0,0,0,0,9190,0,3000,0,0,0,3,9,0,0,90,0,1,0,0,2,2,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001465,<TC '240:163:63' Text'30分钟内交换持续奥弗.'/>/n<TC '240:163:63' Text'10m半径内队伍成员（莱德）的魔法攻击力'/>/n<TC '240:163:63' Text'增加4%.'/>,
24363,2436,3, ,SKT_Name_001466,疾风弹丸 (3阶段),1,4,0,0,0,0,3,1,1,0,1,0,20,0,0,0,324,1,793,100,0,0,0,0,0,10000,200,0,0,0,0,0,0,9190,0,3000,0,0,0,3,9,0,0,90,0,1,0,0,2,3,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001466,<TC '240:163:63' Text'30分钟内交换持续奥弗.'/>/n<TC '240:163:63' Text'10m半径内队伍成员（莱德）的魔法攻击力'/>/n<TC '240:163:63' Text'增加6%.'/>,
24364,2436,4, ,SKT_Name_001467,疾风弹丸 (4阶段),1,4,0,0,0,0,3,1,1,0,1,0,20,0,0,0,410,1,794,100,0,0,0,0,0,10000,200,0,0,0,0,0,0,9190,0,3000,0,0,0,3,9,0,0,90,0,1,0,0,2,4,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001467,<TC '240:163:63' Text'30分钟内交换持续奥弗.'/>/n<TC '240:163:63' Text'10m半径内队伍成员（莱德）的魔法攻击力'/>/n<TC '240:163:63' Text'增加8%.'/>,
24365,2436,5, ,SKT_Name_001468,疾风弹丸 (5阶段),1,4,0,0,0,0,3,1,1,0,1,0,20,0,0,0,500,1,795,100,0,0,0,0,0,10000,200,0,0,0,0,0,0,9190,0,3000,0,0,0,3,9,0,0,90,0,1,0,0,2,5,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001468,<TC '240:163:63' Text'30分钟内交换持续奥弗.'/>/n<TC '240:163:63' Text'10m半径内队伍成员（莱德）的魔法攻击力'/>/n<TC '240:163:63' Text'增加10%.'/>,
24371,2437,1, ,SKT_Name_001469,疾风弹丸 (1阶段),1,2,0,8,0,0,1,129,10,0,20,0,20,0,0,0,0,0,2,100,0,0,1,3000,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,1,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001469,<TC '240:163:63' Text'攻击速度增加2%'/>,
24372,2437,2, ,SKT_Name_001470,疾风弹丸 (2阶段),1,2,0,8,0,0,1,129,10,0,20,0,20,0,0,0,0,0,4,100,0,0,1,3000,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,2,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001470,<TC '240:163:63' Text'攻击速度增加4%'/>,
24373,2437,3, ,SKT_Name_001471,疾风弹丸 (3阶段),1,2,0,8,0,0,1,129,10,0,20,0,20,0,0,0,0,0,6,100,0,0,1,3000,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,3,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001471,<TC '240:163:63' Text'攻击速度增加6%'/>,
24374,2437,4, ,SKT_Name_001472,疾风弹丸 (4阶段),1,2,0,8,0,0,1,129,10,0,20,0,20,0,0,0,0,0,8,100,0,0,1,3000,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,4,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001472,<TC '240:163:63' Text'攻击速度增加8%'/>,
24375,2437,5, ,SKT_Name_001473,疾风弹丸 (5阶段),1,2,0,8,0,0,1,129,10,0,20,0,20,0,0,0,0,0,10,100,0,0,1,3000,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,5,5,9170,1567,0,0,0,0,1,09_170_004,0,2034,SKT_Desc_001473,<TC '240:163:63' Text'攻击速度增加10%'/>,
24381,2438,1, ,SKT_Name_001474,强化身体 (1阶段),1,2,10,4,0,0,1,1,0,0,1,0,0,24391,803,0,158,1,0,100,0,0,1,15000,0,420000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,1,5,9194,20000,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001474,<TC '240:163:63' Text'立即抵抗全部有害效果和伤害但无法行动. 这个效果维持15秒.'/>,
24382,2438,2, ,SKT_Name_001475,强化身体 (2阶段),1,2,10,4,0,0,1,1,0,0,1,0,0,24392,803,0,240,1,0,100,0,0,1,15000,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,2,5,9194,20000,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001475,<TC '240:163:63' Text'立即抵抗全部有害效果和伤害但无法行动. 这个效果维持15秒.'/>,
24383,2438,3, ,SKT_Name_001476,强化身体 (3阶段),1,2,10,4,0,0,1,1,0,0,1,0,0,24393,803,0,324,1,0,100,0,0,1,15000,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,3,5,9194,20000,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001476,<TC '240:163:63' Text'立即抵抗全部有害效果和伤害但无法行动. 这个效果维持15秒.'/>,
24384,2438,4, ,SKT_Name_001477,强化身体 (4阶段),1,2,10,4,0,0,1,1,0,0,1,0,0,24394,803,0,410,1,0,100,0,0,1,15000,0,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,4,5,9194,20000,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001477,<TC '240:163:63' Text'立即抵抗全部有害效果和伤害但无法行动. 这个效果维持15秒.'/>,
24385,2438,5, ,SKT_Name_001478,强化身体 (5阶段),1,2,10,4,0,0,1,1,0,0,1,0,0,24395,803,0,500,1,0,100,0,0,1,15000,0,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,5,5,9194,20000,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001478,<TC '240:163:63' Text'立即抵抗全部有害效果和伤害但无法行动. 这个效果维持15秒.'/>,
24391,2439,1, ,SKT_Name_001479,解除强化身体 (1阶段),1,1,4,4,0,0,1,1,0,0,1,0,0,0,803,0,0,1,0,100,0,0,1,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,1,5,9194,0,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001479,<TC '240:163:63' Text'立即解除效果.'/>,
24392,2439,2, ,SKT_Name_001480,解除强化身体 (2阶段),1,1,4,4,0,0,1,1,0,0,1,0,0,0,803,0,0,1,0,100,0,0,1,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,2,5,9194,0,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001480,<TC '240:163:63' Text'立即解除效果.'/>,
24393,2439,3, ,SKT_Name_001481,解除强化身体 (3阶段),1,1,4,4,0,0,1,1,0,0,1,0,0,0,803,0,0,1,0,100,0,0,1,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,3,5,9194,0,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001481,<TC '240:163:63' Text'立即解除效果.'/>,
24394,2439,4, ,SKT_Name_001482,解除强化身体 (4阶段),1,1,4,4,0,0,1,1,0,0,1,0,0,0,803,0,0,1,0,100,0,0,1,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,4,5,9194,0,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001482,<TC '240:163:63' Text'立即解除效果.'/>,
24395,2439,5, ,SKT_Name_001483,解除强化身体 (5阶段),1,1,4,4,0,0,1,1,0,0,1,0,0,0,803,0,0,1,0,100,0,0,1,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,90,0,1,0,0,2,5,5,9194,0,0,0,0,0,0,09_194_001,0,2035,SKT_Desc_001483,<TC '240:163:63' Text'立即解除效果.'/>,
24401,2440,1,无源,SKT_Name_001484,灵魂修炼 (1阶段),1,0,0,13,0,0,1,1,0,0,1,0,0,0,0,0,0,1,123,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,70,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,2023,SKT_Desc_001484,<TC '240:163:63' Text'自己魔法恢复量永久地增加123.'/>,
24402,2440,2,无源,SKT_Name_001485,灵魂修炼 (2阶段),1,0,0,13,0,0,1,1,0,0,1,0,0,0,0,0,0,1,138,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,70,0,1,0,0,2,2,5,0,0,0,0,0,0,0,0,0,2023,SKT_Desc_001485,<TC '240:163:63' Text'自己魔法恢复量永久地增加138.'/>,
24403,2440,3,无源,SKT_Name_001486,灵魂修炼 (3阶段),1,0,0,13,0,0,1,1,0,0,1,0,0,0,0,0,0,1,154,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,70,0,1,0,0,2,3,5,0,0,0,0,0,0,0,0,0,2023,SKT_Desc_001486,<TC '240:163:63' Text'自己魔法恢复量永久地增加154.'/>,
24404,2440,4,无源,SKT_Name_001487,灵魂修炼 (4阶段),1,0,0,13,0,0,1,1,0,0,1,0,0,0,0,0,0,1,174,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,70,0,1,0,0,2,4,5,0,0,0,0,0,0,0,0,0,2023,SKT_Desc_001487,<TC '240:163:63' Text'自己魔法恢复量永久地增加174.'/>,
24405,2440,5,无源,SKT_Name_001488,灵魂修炼 (5阶段),1,0,0,13,0,0,1,1,0,0,1,0,0,0,0,0,0,1,194,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,90,0,1,0,0,2,5,5,0,0,0,0,0,0,0,0,0,2023,SKT_Desc_001488,<TC '240:163:63' Text'自己魔法恢复量永久地增加194.'/>,
24411,2441,1,无源,SKT_Name_001489,冷静判断 (1阶段),1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,90,0,1,0,0,2,1,5,0,0,0,0,1,0,1,0,0,2030,SKT_Desc_001489,<TC '240:163:63' Text'自己魔法攻击力永久地增加21.'/>,
24412,2441,2,无源,SKT_Name_001490,冷静判断 (2阶段),1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,90,0,1,0,0,2,2,5,0,0,0,0,1,0,1,0,0,2030,SKT_Desc_001490,<TC '240:163:63' Text'自己魔法攻击力永久地增加23.'/>,
24413,2441,3,无源,SKT_Name_001491,冷静判断 (3阶段),1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,27,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,90,0,1,0,0,2,3,5,0,0,0,0,1,0,1,0,0,2030,SKT_Desc_001491,<TC '240:163:63' Text'自己魔法攻击力永久地增加27.'/>,
24414,2441,4,无源,SKT_Name_001492,冷静判断 (4阶段),1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,90,0,1,0,0,2,4,5,0,0,0,0,1,0,1,0,0,2030,SKT_Desc_001492,<TC '240:163:63' Text'自己魔法攻击力永久地增加30.'/>,
24415,2441,5,无源,SKT_Name_001493,冷静判断 (5阶段),1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,90,0,1,0,0,2,5,5,0,0,0,0,1,0,1,0,0,2030,SKT_Desc_001493,<TC '240:163:63' Text'自己魔法攻击力永久地增加33.'/>,
24421,2442,1,1连击 1技能,SKT_Name_001494,再快速射击 (1阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,63,1,374,100,0,0,0,0,0,15000,0,0,24431,100,0,0,0,9192,0,1000,0,0,0,3,9,0,0,30,0,1,0,0,2,1,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,SKT_Desc_001494,<TC '240:163:63' Text'给对方374魔法损失.'/>/n<TC '240:163:63' Text'每2秒32追加魔法损失持续10秒'/>/n<TC '240:163:63' Text'遭受.'/>,
24422,2442,2,1连击 1技能,SKT_Name_001495,再快速射击 (2阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,97,1,432,100,0,0,0,0,0,15000,0,0,24432,100,0,0,0,9192,0,1000,0,0,0,3,9,0,0,30,0,1,0,0,2,2,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,SKT_Desc_001495,<TC '240:163:63' Text'给对方432魔法损失.'/>/n<TC '240:163:63' Text'每2秒追加41魔法损失持续10秒'/>/n<TC '240:163:63' Text'遭受.'/>,
24423,2442,3,1连击 1技能,SKT_Name_001496,再快速射击 (3阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,133,1,498,100,0,0,0,0,0,15000,0,0,24433,100,0,0,0,9192,0,1000,0,0,0,3,9,0,0,30,0,1,0,0,2,3,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,SKT_Desc_001496,<TC '240:163:63' Text'给对方498魔法损失.'/>/n<TC '240:163:63' Text'每2秒追加48魔法损失持续10秒'/>/n<TC '240:163:63' Text'遭受.'/>,
24424,2442,4,1连击 1技能,SKT_Name_001497,再快速射击 (4阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,172,1,566,100,0,0,0,0,0,15000,0,0,24434,100,0,0,0,9192,0,1000,0,0,0,3,9,0,0,30,0,1,0,0,2,4,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,SKT_Desc_001497,<TC '240:163:63' Text'给对方566魔法损失.'/>/n<TC '240:163:63' Text'每2秒追加58魔法损失持续10秒'/>/n<TC '240:163:63' Text'遭受.'/>,
24425,2442,5,1连击 1技能,SKT_Name_001498,再快速射击 (5阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,214,1,637,100,0,0,0,0,0,15000,0,0,24435,100,0,0,0,9192,0,1000,0,0,0,3,9,0,0,30,0,1,0,0,2,5,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,SKT_Desc_001498,<TC '240:163:63' Text'给对方637魔法损失.'/>/n<TC '240:163:63' Text'每2秒追加68魔法损失持续10秒'/>/n<TC '240:163:63' Text'遭受.'/>,
24431,2443,1,1连击 1技能,,再快速射击 (1阶段),1,3,0,12,1,0,2,20,0,0,1,0,20,0,0,0,0,1,32,100,0,0,2,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,30,0,1,0,0,2,1,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,,<TC '240:163:63' Text'每2秒伤害32持续10秒'/>,
24432,2443,2,1连击 1技能,,再快速射击 (2阶段),1,3,0,12,1,0,2,20,0,0,1,0,20,0,0,0,0,1,41,100,0,0,2,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,30,0,1,0,0,2,2,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,,<TC '240:163:63' Text'每2秒伤害41持续10秒'/>,
24433,2443,3,1连击 1技能,,再快速射击 (3阶段),1,3,0,12,1,0,2,20,0,0,1,0,20,0,0,0,0,1,48,100,0,0,2,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,30,0,1,0,0,2,3,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,,<TC '240:163:63' Text'每2秒伤害48持续10秒'/>,
24434,2443,4,1连击 1技能,,再快速射击 (4阶段),1,3,0,12,1,0,2,20,0,0,1,0,20,0,0,0,0,1,58,100,0,0,2,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,30,0,1,0,0,2,4,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,,<TC '240:163:63' Text'每2秒伤害58持续10秒'/>,
24435,2443,5,1连击 1技能,,再快速射击 (5阶段),1,3,0,12,1,0,2,20,0,0,1,0,20,0,0,0,0,1,68,100,0,0,2,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,30,0,1,0,0,2,5,5,9106,1533,0,0,0,0,1,09_106_001,0,2014,,<TC '240:163:63' Text'每2秒伤害68持续10秒'/>,
24441,2444,1,1连击 2技能,SKT_Name_001499,冷酷射击 (1阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,94,1,477,100,0,0,0,0,0,15000,0,0,24451|24461,100|100,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,24421,0,2,1,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001499,<TC '240:163:63' Text'给对方477魔法损失.追加给予'/>/n<TC '240:163:63' Text'对方776魔法防御持续10秒以及'/>/n<TC '240:163:63' Text'减少2%攻击速度.'/>,
24442,2444,2,1连击 2技能,SKT_Name_001500,冷酷射击 (2阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,143,1,546,100,0,0,0,0,0,15000,0,0,24452|24462,100|100,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,24422,0,2,2,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001500,<TC '240:163:63' Text'给对方546魔法损失.追加给予'/>/n<TC '240:163:63' Text'1对方1196魔法防御持续10秒以及'/>/n<TC '240:163:63' Text'减少4%攻击速度.'/>,
24443,2444,3,1连击 2技能,SKT_Name_001501,冷酷射击 (3阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,195,1,626,100,0,0,0,0,0,15000,0,0,24453|24463,100|100,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,24423,0,2,3,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001501,<TC '240:163:63' Text'给对方626魔法损失.追加给予'/>/n<TC '240:163:63' Text'对方1640魔法防御持续10秒以及'/>/n<TC '240:163:63' Text'减少6%攻击速度.'/>,
24444,2444,4,1连击 2技能,SKT_Name_001502,冷酷射击 (4阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,249,1,708,100,0,0,0,0,0,15000,0,0,24454|24464,100|100,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,24424,0,2,4,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001502,<TC '240:163:63' Text'给对方708魔法损失.追加给予'/>/n<TC '240:163:63' Text'对方2108魔法防御持续10秒以及'/>/n<TC '240:163:63' Text'减少8%攻击速度.'/>,
24445,2444,5,1连击 2技能,SKT_Name_001503,冷酷射击 (5阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,307,1,793,100,0,0,0,0,0,15000,0,0,24455|24465,100|100,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,24425,0,2,5,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001503,<TC '240:163:63' Text'给对方793魔法损失.追加给予'/>/n<TC '240:163:63' Text'对方2600魔法防御持续10秒以及'/>/n<TC '240:163:63' Text'攻击速度效果减少10%.'/>,
24451,2445,1,1连击 2技能,SKT_Name_001504,冷酷射击 (1阶段),1,3,0,3,1,0,2,20,0,0,1,0,20,0,0,0,0,1,776,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,1,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001504,<TC '240:163:63' Text'10秒内魔法防御减少776'/>,
24452,2445,2,1连击 2技能,SKT_Name_001505,冷酷射击 (2阶段),1,3,0,3,1,0,2,20,0,0,1,0,20,0,0,0,0,1,1196,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,2,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001505,<TC '240:163:63' Text'10秒内魔法防御减少1196'/>,
24453,2445,3,1连击 2技能,SKT_Name_001506,冷酷射击 (3阶段),1,3,0,3,1,0,2,20,0,0,1,0,20,0,0,0,0,1,1640,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,3,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001506,<TC '240:163:63' Text'10秒内魔法防御减少1640'/>,
24454,2445,4,1连击 2技能,SKT_Name_001507,冷酷射击 (4阶段),1,3,0,3,1,0,2,20,0,0,1,0,20,0,0,0,0,1,2108,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,4,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001507,<TC '240:163:63' Text'10秒内魔法防御减少2108'/>,
24455,2445,5,1连击 2技能,SKT_Name_001508,冷酷射击 (5阶段),1,3,0,3,1,0,2,20,0,0,1,0,20,0,0,0,0,1,2600,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,5,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,SKT_Desc_001508,<TC '240:163:63' Text'10秒内魔法防御减少2600'/>,
24461,2446,1,1连击 2技能,,冷酷射击 (1阶段),1,3,0,8,1,0,2,20,0,0,1,0,20,0,0,0,0,0,2,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,1,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,,<TC '240:163:63' Text'10秒内攻击速度减少2%'/>,
24462,2446,2,1连击 2技能,,冷酷射击 (2阶段),1,3,0,8,1,0,2,20,0,0,1,0,20,0,0,0,0,0,4,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,2,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,,<TC '240:163:63' Text'10秒内攻击速度减少4%'/>,
24463,2446,3,1连击 2技能,,冷酷射击 (3阶段),1,3,0,8,1,0,2,20,0,0,1,0,20,0,0,0,0,0,6,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,3,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,,<TC '240:163:63' Text'10秒内攻击速度减少6%'/>,
24464,2446,4,1连击 2技能,,冷酷射击 (4阶段),1,3,0,8,1,0,2,20,0,0,1,0,20,0,0,0,0,0,8,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,4,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,,<TC '240:163:63' Text'10秒内攻击速度减少8%'/>,
24465,2446,5,1连击 2技能,,冷酷射击 (5阶段),1,3,0,8,1,0,2,20,0,0,1,0,20,0,0,0,0,0,10,100,0,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,50,0,1,0,0,2,5,5,9108,1733,0,0,0,0,1,09_108_001,0,2019,,<TC '240:163:63' Text'10秒内攻击速度减少10%'/>,
24471,2447,1,1连击 3技能 ,SKT_Name_001509,昏厥魔弹 (1阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,122,1,586,100,69,0,0,0,0,15000,0,0,24481,2,0,0,0,0,0,0,0,0,0,3,9,0,0,70,0,1,24441,0,2,1,5,9110,2567,0,0,0,0,1,09_110_001,0,2025,SKT_Desc_001509,<TC '240:163:63' Text'给对方586魔法损失.并以2%的'/>/n<TC '240:163:63' Text'概率绑住对方的脚.'/>/n<TC '240:163:63' Text'追加给予69的伤害持续5秒.'/>,
24472,2447,2,1连击 3技能 ,SKT_Name_001510,昏厥魔弹 (2阶段),1,1,0,1,1,0,2,20,0,0,1,0,20,0,802,0,185,1,667,100,70,0,0,0,0,15000,0,0,24482,4,0,0,0,0,0,0,0,0,0,3,9,0,0,70,0,1,24442,0,2,2,5,9110,2567,0,0,0,0,1,09_110_001,0,2025,SKT_Desc_001510,<TC '240:163:63' Text'给对方667魔法损失.并以4%的'/>/n<TC '240:163:63' Text'概率绑住对方的脚.'/>/n<TC '240:163:63' Text'追加给予70的伤害持续5秒.'/>,
