TID,Comment,Group,GroupRate,BoxItem01,BoxItemStack01,DropRate01,BoxItem02,BoxItemStack02,DropRate02,BoxItem03,BoxItemStack03,DropRate03,BoxItem04,BoxItemStack04,DropRate04,BoxItem05,BoxItemStack05,DropRate05,BoxItem06,BoxItemStack06,DropRate06,BoxItem07,BoxItemStack07,DropRate07,BoxItem08,BoxItemStack08,DropRate08,BoxItem09,BoxItemStack09,DropRate09,BoxItem10,BoxItemStack10,DropRate10
3021,Lv10 特别的箱子(破坏) - 胸部,3020,2808,2420231,1,1667,2420232,1,3334,2423231,1,5001,2423232,1,6668,2426231,1,8335,2426232,1,10000,,,,,,,,,,,,
3022,Lv10 特别的箱子(破坏) - 手,3020,4212,2430231,1,1667,2430232,1,3334,2433231,1,5001,2433232,1,6668,2436231,1,8335,2436232,1,10000,,,,,,,,,,,,
3023,Lv10 特别的箱子(破坏) - 腰,3020,5616,2440231,1,1667,2440232,1,3334,2443231,1,5001,2443232,1,6668,2446231,1,8335,2446232,1,10000,,,,,,,,,,,,
3024,Lv10 特别的箱子(破坏) - 脚,3020,7020,2450231,1,1667,2450232,1,3334,2453231,1,5001,2453232,1,6668,2456231,1,8335,2456232,1,10000,,,,,,,,,,,,
3025,Lv10 特别的箱子(破坏) - 斗篷,3020,7488,2460231,1,5000,2460232,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3026,Lv10 特别的箱子(破坏) - 武器,3020,10000,1025431,1,1667,1010431,1,3334,1040431,1,5001,1050431,1,6668,1140431,1,8335,1090431,1,10000,,,,,,,,,,,,
3030,Lv13 豪华 箱子(破坏) - 头发,3030,1404,2410311,1,1667,2410312,1,3334,2413311,1,5001,2413312,1,6668,2416311,1,8335,2416312,1,10000,,,,,,,,,,,,
3031,Lv13 豪华 箱子(破坏) - 胸部,3030,2808,2420311,1,1667,2420312,1,3334,2423311,1,5001,2423312,1,6668,2426311,1,8335,2426312,1,10000,,,,,,,,,,,,
3032,Lv13 豪华 箱子(破坏) - 手,3030,4212,2430311,1,1667,2430312,1,3334,2433311,1,5001,2433312,1,6668,2436311,1,8335,2436312,1,10000,,,,,,,,,,,,
3033,Lv13 豪华 箱子(破坏) - 腰,3030,5616,2440311,1,1667,2440312,1,3334,2443311,1,5001,2443312,1,6668,2446311,1,8335,2446312,1,10000,,,,,,,,,,,,
3034,Lv13 豪华 箱子(破坏) - 脚,3030,7020,2450311,1,1667,2450312,1,3334,2453311,1,5001,2453312,1,6668,2456311,1,8335,2456312,1,10000,,,,,,,,,,,,
3035,Lv13 豪华 箱子(破坏) - 斗篷,3030,7488,2460311,1,5000,2460312,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3036,Lv13 豪华 箱子(破坏) - 武器,3030,10000,1025511,1,1667,1010511,1,3334,1040511,1,5001,1050511,1,6668,1140511,1,8335,1090511,1,10000,,,,,,,,,,,,
3040,Lv13 珍贵的 箱子(破坏) - 头发,3040,1404,2410321,1,1667,2410322,1,3334,2413321,1,5001,2413322,1,6668,2416321,1,8335,2416322,1,10000,,,,,,,,,,,,
3041,Lv13 珍贵的 箱子(破坏) - 胸部,3040,2808,2420321,1,1667,2420322,1,3334,2423321,1,5001,2423322,1,6668,2426321,1,8335,2426322,1,10000,,,,,,,,,,,,
3042,Lv13 珍贵的 箱子(破坏) - 手,3040,4212,2430321,1,1667,2430322,1,3334,2433321,1,5001,2433322,1,6668,2436321,1,8335,2436322,1,10000,,,,,,,,,,,,
3043,Lv13 珍贵的 箱子(破坏) - 腰,3040,5616,2440321,1,1667,2440322,1,3334,2443321,1,5001,2443322,1,6668,2446321,1,8335,2446322,1,10000,,,,,,,,,,,,
3044,Lv13 珍贵的 箱子(破坏) - 脚,3040,7020,2450321,1,1667,2450322,1,3334,2453321,1,5001,2453322,1,6668,2456321,1,8335,2456322,1,10000,,,,,,,,,,,,
3045,Lv13 珍贵的 箱子(破坏) - 斗篷,3040,7488,2460321,1,5000,2460322,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3046,Lv13 珍贵的 箱子(破坏) - 武器,3040,10000,1025521,1,1667,1010521,1,3334,1040521,1,5001,1050521,1,6668,1140521,1,8335,1090521,1,10000,,,,,,,,,,,,
3050,Lv13 特别的箱子(破坏) - 头发,3050,1404,2410331,1,1667,2410332,1,3334,2413331,1,5001,2413332,1,6668,2416331,1,8335,2416332,1,10000,,,,,,,,,,,,
3051,Lv13 特别的箱子(破坏) - 胸部,3050,2808,2420331,1,1667,2420332,1,3334,2423331,1,5001,2423332,1,6668,2426331,1,8335,2426332,1,10000,,,,,,,,,,,,
3052,Lv13 特别的箱子(破坏) - 手,3050,4212,2430331,1,1667,2430332,1,3334,2433331,1,5001,2433332,1,6668,2436331,1,8335,2436332,1,10000,,,,,,,,,,,,
3053,Lv13 特别的箱子(破坏) - 腰,3050,5616,2440331,1,1667,2440332,1,3334,2443331,1,5001,2443332,1,6668,2446331,1,8335,2446332,1,10000,,,,,,,,,,,,
3054,Lv13 特别的箱子(破坏) - 脚,3050,7020,2450331,1,1667,2450332,1,3334,2453331,1,5001,2453332,1,6668,2456331,1,8335,2456332,1,10000,,,,,,,,,,,,
3055,Lv13 特别的箱子(破坏) - 斗篷,3050,7488,2460331,1,5000,2460332,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3056,Lv13 特别的箱子(破坏) - 武器,3050,10000,1025531,1,1667,1010531,1,3334,1040531,1,5001,1050531,1,6668,1140531,1,8335,1090531,1,10000,,,,,,,,,,,,
3060,Lv20 豪华 箱子(破坏) - 头发,3060,1404,2410411,1,1667,2410412,1,3334,2413411,1,5001,2413412,1,6668,2416411,1,8335,2416412,1,10000,,,,,,,,,,,,
3061,Lv20 豪华 箱子(破坏) - 胸部,3060,2808,2420411,1,1667,2420412,1,3334,2423411,1,5001,2423412,1,6668,2426411,1,8335,2426412,1,10000,,,,,,,,,,,,
3062,Lv20 豪华 箱子(破坏) - 手,3060,4212,2430411,1,1667,2430412,1,3334,2433411,1,5001,2433412,1,6668,2436411,1,8335,2436412,1,10000,,,,,,,,,,,,
3063,Lv20 豪华 箱子(破坏) - 腰,3060,5616,2440411,1,1667,2440412,1,3334,2443411,1,5001,2443412,1,6668,2446411,1,8335,2446412,1,10000,,,,,,,,,,,,
3064,Lv20 豪华 箱子(破坏) - 脚,3060,7020,2450411,1,1667,2450412,1,3334,2453411,1,5001,2453412,1,6668,2456411,1,8335,2456412,1,10000,,,,,,,,,,,,
3065,Lv20 豪华 箱子(破坏) - 斗篷,3060,7488,2460411,1,5000,2460412,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3066,Lv20 豪华 箱子(破坏) - 武器,3060,10000,1025811,1,1667,1010811,1,3334,1040811,1,5001,1050811,1,6668,1140811,1,8335,1090811,1,10000,,,,,,,,,,,,
3070,Lv20 珍贵的 箱子(破坏) - 头发,3070,1404,2410421,1,1667,2410422,1,3334,2413421,1,5001,2413422,1,6668,2416421,1,8335,2416422,1,10000,,,,,,,,,,,,
3071,Lv20 珍贵的 箱子(破坏) - 胸部,3070,2808,2420421,1,1667,2420422,1,3334,2423421,1,5001,2423422,1,6668,2426421,1,8335,2426422,1,10000,,,,,,,,,,,,
3072,Lv20 珍贵的 箱子(破坏) - 手,3070,4212,2430421,1,1667,2430422,1,3334,2433421,1,5001,2433422,1,6668,2436421,1,8335,2436422,1,10000,,,,,,,,,,,,
3073,Lv20 珍贵的 箱子(破坏) - 腰,3070,5616,2440421,1,1667,2440422,1,3334,2443421,1,5001,2443422,1,6668,2446421,1,8335,2446422,1,10000,,,,,,,,,,,,
3074,Lv20 珍贵的 箱子(破坏) - 脚,3070,7020,2450421,1,1667,2450422,1,3334,2453421,1,5001,2453422,1,6668,2456421,1,8335,2456422,1,10000,,,,,,,,,,,,
3075,Lv20 珍贵的 箱子(破坏) - 斗篷,3070,7488,2460421,1,5000,2460422,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3076,Lv20 珍贵的 箱子(破坏) - 武器,3070,10000,1025821,1,1667,1010821,1,3334,1040821,1,5001,1050821,1,6668,1140821,1,8335,1090821,1,10000,,,,,,,,,,,,
3080,Lv20 特别的箱子(破坏) - 头发,3080,1404,2410431,1,1667,2410432,1,3334,2413431,1,5001,2413432,1,6668,2416431,1,8335,2416432,1,10000,,,,,,,,,,,,
3081,Lv20 特别的箱子(破坏) - 胸部,3080,2808,2420431,1,1667,2420432,1,3334,2423431,1,5001,2423432,1,6668,2426431,1,8335,2426432,1,10000,,,,,,,,,,,,
3082,Lv20 特别的箱子(破坏) - 手,3080,4212,2430431,1,1667,2430432,1,3334,2433431,1,5001,2433432,1,6668,2436431,1,8335,2436432,1,10000,,,,,,,,,,,,
3083,Lv20 特别的箱子(破坏) - 腰,3080,5616,2440431,1,1667,2440432,1,3334,2443431,1,5001,2443432,1,6668,2446431,1,8335,2446432,1,10000,,,,,,,,,,,,
3084,Lv20 特别的箱子(破坏) - 脚,3080,7020,2450431,1,1667,2450432,1,3334,2453431,1,5001,2453432,1,6668,2456431,1,8335,2456432,1,10000,,,,,,,,,,,,
3085,Lv20 特别的箱子(破坏) - 斗篷,3080,7488,2460431,1,5000,2460432,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lv20 特别的箱子(破坏) - 武器,3080,10000,1025831,1,1667,1010831,1,3334,1040831,1,5001,1050831,1,6668,1140831,1,8335,1090831,1,10000,,,,,,,,,,,,
3090,Lv25 豪华 箱子(破坏) - 头发,3090,1404,2410511,1,1667,2410512,1,3334,2413511,1,5001,2413512,1,6668,2416511,1,8335,2416512,1,10000,,,,,,,,,,,,
3091,Lv25 豪华 箱子(破坏) - 胸部,3090,2808,2420511,1,1667,2420512,1,3334,2423511,1,5001,2423512,1,6668,2426511,1,8335,2426512,1,10000,,,,,,,,,,,,
3092,Lv25 豪华 箱子(破坏) - 手,3090,4212,2430511,1,1667,2430512,1,3334,2433511,1,5001,2433512,1,6668,2436511,1,8335,2436512,1,10000,,,,,,,,,,,,
3093,Lv25 豪华 箱子(破坏) - 腰,3090,5616,2440511,1,1667,2440512,1,3334,2443511,1,5001,2443512,1,6668,2446511,1,8335,2446512,1,10000,,,,,,,,,,,,
3094,Lv25 豪华 箱子(破坏) - 脚,3090,7020,2450511,1,1667,2450512,1,3334,2453511,1,5001,2453512,1,6668,2456511,1,8335,2456512,1,10000,,,,,,,,,,,,
3095,Lv25 豪华 箱子(破坏) - 斗篷,3090,7488,2460511,1,5000,2460512,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3096,Lv25 豪华 箱子(破坏) - 武器,3090,10000,1026011,1,1667,1011011,1,3334,1041011,1,5001,1051011,1,6668,1141011,1,8335,1091011,1,10000,,,,,,,,,,,,
3100,Lv25 珍贵的 箱子(破坏) - 头发,3100,1404,2410521,1,1667,2410522,1,3334,2413521,1,5001,2413522,1,6668,2416521,1,8335,2416522,1,10000,,,,,,,,,,,,
3101,Lv25 珍贵的 箱子(破坏) - 胸部,3100,2808,2420521,1,1667,2420522,1,3334,2423521,1,5001,2423522,1,6668,2426521,1,8335,2426522,1,10000,,,,,,,,,,,,
3102,Lv25 珍贵的 箱子(破坏) - 手,3100,4212,2430521,1,1667,2430522,1,3334,2433521,1,5001,2433522,1,6668,2436521,1,8335,2436522,1,10000,,,,,,,,,,,,
3103,Lv25 珍贵的 箱子(破坏) - 腰,3100,5616,2440521,1,1667,2440522,1,3334,2443521,1,5001,2443522,1,6668,2446521,1,8335,2446522,1,10000,,,,,,,,,,,,
3104,Lv25 珍贵的 箱子(破坏) - 脚,3100,7020,2450521,1,1667,2450522,1,3334,2453521,1,5001,2453522,1,6668,2456521,1,8335,2456522,1,10000,,,,,,,,,,,,
3105,Lv25 珍贵的 箱子(破坏) - 斗篷,3100,7488,2460521,1,5000,2460522,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3106,Lv25 珍贵的 箱子(破坏) - 武器,3100,10000,1026021,1,1667,1011021,1,3334,1041021,1,5001,1051021,1,6668,1141021,1,8335,1091021,1,10000,,,,,,,,,,,,
3110,Lv25 特别的箱子(破坏) - 头发,3110,1404,2410531,1,1667,2410532,1,3334,2413531,1,5001,2413532,1,6668,2416531,1,8335,2416532,1,10000,,,,,,,,,,,,
3111,Lv25 特别的箱子(破坏) - 胸部,3110,2808,2420531,1,1667,2420532,1,3334,2423531,1,5001,2423532,1,6668,2426531,1,8335,2426532,1,10000,,,,,,,,,,,,
3112,Lv25 特别的箱子(破坏) - 手,3110,4212,2430531,1,1667,2430532,1,3334,2433531,1,5001,2433532,1,6668,2436531,1,8335,2436532,1,10000,,,,,,,,,,,,
3113,Lv25 特别的箱子(破坏) - 腰,3110,5616,2440531,1,1667,2440532,1,3334,2443531,1,5001,2443532,1,6668,2446531,1,8335,2446532,1,10000,,,,,,,,,,,,
3114,Lv25 特别的箱子(破坏) - 脚,3110,7020,2450531,1,1667,2450532,1,3334,2453531,1,5001,2453532,1,6668,2456531,1,8335,2456532,1,10000,,,,,,,,,,,,
3115,Lv25 特别的箱子(破坏) - 斗篷,3110,7488,2460531,1,5000,2460532,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3116,Lv25 特别的箱子(破坏) - 武器,3110,10000,1026031,1,1667,1011031,1,3334,1041031,1,5001,1051031,1,6668,1141031,1,8335,1091031,1,10000,,,,,,,,,,,,
3120,Lv30 豪华 箱子(破坏) - 头发,3120,1404,2410611,1,1667,2410612,1,3334,2413611,1,5001,2413612,1,6668,2416611,1,8335,2416612,1,10000,,,,,,,,,,,,
3121,Lv30 豪华 箱子(破坏) - 胸部,3120,2808,2420611,1,1667,2420612,1,3334,2423611,1,5001,2423612,1,6668,2426611,1,8335,2426612,1,10000,,,,,,,,,,,,
3122,Lv30 豪华 箱子(破坏) - 手,3120,4212,2430611,1,1667,2430612,1,3334,2433611,1,5001,2433612,1,6668,2436611,1,8335,2436612,1,10000,,,,,,,,,,,,
3123,Lv30 豪华 箱子(破坏) - 腰,3120,5616,2440611,1,1667,2440612,1,3334,2443611,1,5001,2443612,1,6668,2446611,1,8335,2446612,1,10000,,,,,,,,,,,,
3124,Lv30 豪华 箱子(破坏) - 脚,3120,7020,2450611,1,1667,2450612,1,3334,2453611,1,5001,2453612,1,6668,2456611,1,8335,2456612,1,10000,,,,,,,,,,,,
3125,Lv30 豪华 箱子(破坏) - 斗篷,3120,7488,2460611,1,5000,2460612,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3126,Lv30 豪华 箱子(破坏) - 武器,3120,10000,1026211,1,1667,1011211,1,3334,1041211,1,5001,1051211,1,6668,1141211,1,8335,1091211,1,10000,,,,,,,,,,,,
3130,Lv30 珍贵的 箱子(破坏) - 头发,3130,1404,2410621,1,1667,2410622,1,3334,2413621,1,5001,2413622,1,6668,2416621,1,8335,2416622,1,10000,,,,,,,,,,,,
3131,Lv30 珍贵的 箱子(破坏) - 胸部,3130,2808,2420621,1,1667,2420622,1,3334,2423621,1,5001,2423622,1,6668,2426621,1,8335,2426622,1,10000,,,,,,,,,,,,
3132,Lv30 珍贵的 箱子(破坏) - 手,3130,4212,2430621,1,1667,2430622,1,3334,2433621,1,5001,2433622,1,6668,2436621,1,8335,2436622,1,10000,,,,,,,,,,,,
3133,Lv30 珍贵的 箱子(破坏) - 腰,3130,5616,2440621,1,1667,2440622,1,3334,2443621,1,5001,2443622,1,6668,2446621,1,8335,2446622,1,10000,,,,,,,,,,,,
3134,Lv30 珍贵的 箱子(破坏) - 脚,3130,7020,2450621,1,1667,2450622,1,3334,2453621,1,5001,2453622,1,6668,2456621,1,8335,2456622,1,10000,,,,,,,,,,,,
3135,Lv30 珍贵的 箱子(破坏) - 斗篷,3130,7488,2460621,1,5000,2460622,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3136,Lv30 珍贵的 箱子(破坏) - 武器,3130,10000,1026221,1,1667,1011221,1,3334,1041221,1,5001,1051221,1,6668,1141221,1,8335,1091221,1,10000,,,,,,,,,,,,
3140,Lv30 特别的箱子(破坏) - 头发,3140,1404,2410631,1,1667,2410632,1,3334,2413631,1,5001,2413632,1,6668,2416631,1,8335,2416632,1,10000,,,,,,,,,,,,
3141,Lv30 特别的箱子(破坏) - 胸部,3140,2808,2420631,1,1667,2420632,1,3334,2423631,1,5001,2423632,1,6668,2426631,1,8335,2426632,1,10000,,,,,,,,,,,,
3142,Lv30 特别的箱子(破坏) - 手,3140,4212,2430631,1,1667,2430632,1,3334,2433631,1,5001,2433632,1,6668,2436631,1,8335,2436632,1,10000,,,,,,,,,,,,
3143,Lv30 特别的箱子(破坏) - 腰,3140,5616,2440631,1,1667,2440632,1,3334,2443631,1,5001,2443632,1,6668,2446631,1,8335,2446632,1,10000,,,,,,,,,,,,
3144,Lv30 特别的箱子(破坏) - 脚,3140,7020,2450631,1,1667,2450632,1,3334,2453631,1,5001,2453632,1,6668,2456631,1,8335,2456632,1,10000,,,,,,,,,,,,
3145,Lv30 特别的箱子(破坏) - 斗篷,3140,7488,2460631,1,5000,2460632,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3146,Lv30 特别的箱子(破坏) - 武器,3140,10000,1026231,1,1667,1011231,1,3334,1041231,1,5001,1051231,1,6668,1141231,1,8335,1091231,1,10000,,,,,,,,,,,,
3150,Lv35 豪华 箱子(破坏) - 头发,3150,1404,2410711,1,1667,2410712,1,3334,2413711,1,5001,2413712,1,6668,2416711,1,8335,2416712,1,10000,,,,,,,,,,,,
3151,Lv35 豪华 箱子(破坏) - 胸部,3150,2808,2420711,1,1667,2420712,1,3334,2423711,1,5001,2423712,1,6668,2426711,1,8335,2426712,1,10000,,,,,,,,,,,,
3152,Lv35 豪华 箱子(破坏) - 手,3150,4212,2430711,1,1667,2430712,1,3334,2433711,1,5001,2433712,1,6668,2436711,1,8335,2436712,1,10000,,,,,,,,,,,,
3153,Lv35 豪华 箱子(破坏) - 腰,3150,5616,2440711,1,1667,2440712,1,3334,2443711,1,5001,2443712,1,6668,2446711,1,8335,2446712,1,10000,,,,,,,,,,,,
3154,Lv35 豪华 箱子(破坏) - 脚,3150,7020,2450711,1,1667,2450712,1,3334,2453711,1,5001,2453712,1,6668,2456711,1,8335,2456712,1,10000,,,,,,,,,,,,
3155,Lv35 豪华 箱子(破坏) - 斗篷,3150,7488,2460711,1,5000,2460712,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3156,Lv35 豪华 箱子(破坏) - 武器,3150,10000,1026411,1,1667,1011411,1,3334,1041411,1,5001,1051411,1,6668,1141411,1,8335,1091411,1,10000,,,,,,,,,,,,
3160,Lv35 珍贵的 箱子(破坏) - 头发,3160,1404,2410721,1,1667,2410722,1,3334,2413721,1,5001,2413722,1,6668,2416721,1,8335,2416722,1,10000,,,,,,,,,,,,
3161,Lv35 珍贵的 箱子(破坏) - 胸部,3160,2808,2420721,1,1667,2420722,1,3334,2423721,1,5001,2423722,1,6668,2426721,1,8335,2426722,1,10000,,,,,,,,,,,,
3162,Lv35 珍贵的 箱子(破坏) - 手,3160,4212,2430721,1,1667,2430722,1,3334,2433721,1,5001,2433722,1,6668,2436721,1,8335,2436722,1,10000,,,,,,,,,,,,
3163,Lv35 珍贵的 箱子(破坏) - 腰,3160,5616,2440721,1,1667,2440722,1,3334,2443721,1,5001,2443722,1,6668,2446721,1,8335,2446722,1,10000,,,,,,,,,,,,
3164,Lv35 珍贵的 箱子(破坏) - 脚,3160,7020,2450721,1,1667,2450722,1,3334,2453721,1,5001,2453722,1,6668,2456721,1,8335,2456722,1,10000,,,,,,,,,,,,
3165,Lv35 珍贵的 箱子(破坏) - 斗篷,3160,7488,2460721,1,5000,2460722,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3166,Lv35 珍贵的 箱子(破坏) - 武器,3160,10000,1026421,1,1667,1011421,1,3334,1041421,1,5001,1051421,1,6668,1141421,1,8335,1091421,1,10000,,,,,,,,,,,,
3170,Lv35 特别的箱子(破坏) - 头发,3170,1404,2410731,1,1667,2410732,1,3334,2413731,1,5001,2413732,1,6668,2416731,1,8335,2416732,1,10000,,,,,,,,,,,,
3171,Lv35 特别的箱子(破坏) - 胸部,3170,2808,2420731,1,1667,2420732,1,3334,2423731,1,5001,2423732,1,6668,2426731,1,8335,2426732,1,10000,,,,,,,,,,,,
3172,Lv35 特别的箱子(破坏) - 手,3170,4212,2430731,1,1667,2430732,1,3334,2433731,1,5001,2433732,1,6668,2436731,1,8335,2436732,1,10000,,,,,,,,,,,,
3173,Lv35 特别的箱子(破坏) - 腰,3170,5616,2440731,1,1667,2440732,1,3334,2443731,1,5001,2443732,1,6668,2446731,1,8335,2446732,1,10000,,,,,,,,,,,,
3174,Lv35 特别的箱子(破坏) - 脚,3170,7020,2450731,1,1667,2450732,1,3334,2453731,1,5001,2453732,1,6668,2456731,1,8335,2456732,1,10000,,,,,,,,,,,,
3175,Lv35 特别的箱子(破坏) - 斗篷,3170,7488,2460731,1,5000,2460732,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3176,Lv35 特别的箱子(破坏) - 武器,3170,10000,1026431,1,1667,1011431,1,3334,1041431,1,5001,1051431,1,6668,1141431,1,8335,1091431,1,10000,,,,,,,,,,,,
3180,Lv40 豪华 箱子(破坏) - 头发,3180,1404,2410911,1,1667,2410912,1,3334,2413911,1,5001,2413912,1,6668,2416911,1,8335,2416912,1,10000,,,,,,,,,,,,
3181,Lv40 豪华 箱子(破坏) - 胸部,3180,2808,2420911,1,1667,2420912,1,3334,2423911,1,5001,2423912,1,6668,2426911,1,8335,2426912,1,10000,,,,,,,,,,,,
3182,Lv40 豪华 箱子(破坏) - 手,3180,4212,2430911,1,1667,2430912,1,3334,2433911,1,5001,2433912,1,6668,2436911,1,8335,2436912,1,10000,,,,,,,,,,,,
3183,Lv40 豪华 箱子(破坏) - 腰,3180,5616,2440911,1,1667,2440912,1,3334,2443911,1,5001,2443912,1,6668,2446911,1,8335,2446912,1,10000,,,,,,,,,,,,
3184,Lv40 豪华 箱子(破坏) - 脚,3180,7020,2450911,1,1667,2450912,1,3334,2453911,1,5001,2453912,1,6668,2456911,1,8335,2456912,1,10000,,,,,,,,,,,,
3185,Lv40 豪华 箱子(破坏) - 斗篷,3180,7488,2460911,1,5000,2460912,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3186,Lv40 豪华 箱子(破坏) - 武器,3180,10000,1026611,1,1667,1011611,1,3334,1041611,1,5001,1051611,1,6668,1141611,1,8335,1091611,1,10000,,,,,,,,,,,,
3190,Lv40 珍贵的 箱子(破坏) - 头发,3190,1404,2410921,1,1667,2410922,1,3334,2413921,1,5001,2413922,1,6668,2416921,1,8335,2416922,1,10000,,,,,,,,,,,,
3191,Lv40 珍贵的 箱子(破坏) - 胸部,3190,2808,2420921,1,1667,2420922,1,3334,2423921,1,5001,2423922,1,6668,2426921,1,8335,2426922,1,10000,,,,,,,,,,,,
3192,Lv40 珍贵的 箱子(破坏) - 手,3190,4212,2430921,1,1667,2430922,1,3334,2433921,1,5001,2433922,1,6668,2436921,1,8335,2436922,1,10000,,,,,,,,,,,,
3193,Lv40 珍贵的 箱子(破坏) - 腰,3190,5616,2440921,1,1667,2440922,1,3334,2443921,1,5001,2443922,1,6668,2446921,1,8335,2446922,1,10000,,,,,,,,,,,,
3194,Lv40 珍贵的 箱子(破坏) - 脚,3190,7020,2450921,1,1667,2450922,1,3334,2453921,1,5001,2453922,1,6668,2456921,1,8335,2456922,1,10000,,,,,,,,,,,,
3195,Lv40 珍贵的 箱子(破坏) - 斗篷,3190,7488,2460921,1,5000,2460922,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3196,Lv40 珍贵的 箱子(破坏) - 武器,3190,10000,1026621,1,1667,1011621,1,3334,1041621,1,5001,1051621,1,6668,1141621,1,8335,1091621,1,10000,,,,,,,,,,,,
3200,Lv40 特别的箱子(破坏) - 头发,3200,1404,2410931,1,1667,2410932,1,3334,2413931,1,5001,2413932,1,6668,2416931,1,8335,2416932,1,10000,,,,,,,,,,,,
3201,Lv40 特别的箱子(破坏) - 胸部,3200,2808,2420931,1,1667,2420932,1,3334,2423931,1,5001,2423932,1,6668,2426931,1,8335,2426932,1,10000,,,,,,,,,,,,
3202,Lv40 特别的箱子(破坏) - 手,3200,4212,2430931,1,1667,2430932,1,3334,2433931,1,5001,2433932,1,6668,2436931,1,8335,2436932,1,10000,,,,,,,,,,,,
3203,Lv40 特别的箱子(破坏) - 腰,3200,5616,2440931,1,1667,2440932,1,3334,2443931,1,5001,2443932,1,6668,2446931,1,8335,2446932,1,10000,,,,,,,,,,,,
3204,Lv40 特别的箱子(破坏) - 脚,3200,7020,2450931,1,1667,2450932,1,3334,2453931,1,5001,2453932,1,6668,2456931,1,8335,2456932,1,10000,,,,,,,,,,,,
3205,Lv40 特别的箱子(破坏) - 斗篷,3200,7488,2460931,1,5000,2460932,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3206,Lv40 特别的箱子(破坏) - 武器,3200,10000,1026631,1,1667,1011631,1,3334,1041631,1,5001,1051631,1,6668,1141631,1,8335,1091631,1,10000,,,,,,,,,,,,
3210,Lv42 豪华 箱子(破坏) - 头发,3210,1404,2411011,1,1667,2411012,1,3334,2414011,1,5001,2414012,1,6668,2417011,1,8335,2417012,1,10000,,,,,,,,,,,,
3211,Lv42 豪华 箱子(破坏) - 胸部,3210,2808,2421011,1,1667,2421012,1,3334,2424011,1,5001,2424012,1,6668,2427011,1,8335,2427012,1,10000,,,,,,,,,,,,
3212,Lv42 豪华 箱子(破坏) - 手,3210,4212,2431011,1,1667,2431012,1,3334,2434011,1,5001,2434012,1,6668,2437011,1,8335,2437012,1,10000,,,,,,,,,,,,
3213,Lv42 豪华 箱子(破坏) - 腰,3210,5616,2441011,1,1667,2441012,1,3334,2444011,1,5001,2444012,1,6668,2447011,1,8335,2447012,1,10000,,,,,,,,,,,,
3214,Lv42 豪华 箱子(破坏) - 脚,3210,7020,2451011,1,1667,2451012,1,3334,2454011,1,5001,2454012,1,6668,2457011,1,8335,2457012,1,10000,,,,,,,,,,,,
3215,Lv42 豪华 箱子(破坏) - 斗篷,3210,7488,2461011,1,5000,2461012,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3216,Lv42 豪华 箱子(破坏) - 武器,3210,10000,1026711,1,1667,1011711,1,3334,1041711,1,5001,1051711,1,6668,1141711,1,8335,1091711,1,10000,,,,,,,,,,,,
3220,Lv42 珍贵的 箱子(破坏) - 头发,3220,1404,2411021,1,1667,2411022,1,3334,2414021,1,5001,2414022,1,6668,2417021,1,8335,2417022,1,10000,,,,,,,,,,,,
3221,Lv42 珍贵的 箱子(破坏) - 胸部,3220,2808,2421021,1,1667,2421022,1,3334,2424021,1,5001,2424022,1,6668,2427021,1,8335,2427022,1,10000,,,,,,,,,,,,
3222,Lv42 珍贵的 箱子(破坏) - 手,3220,4212,2431021,1,1667,2431022,1,3334,2434021,1,5001,2434022,1,6668,2437021,1,8335,2437022,1,10000,,,,,,,,,,,,
3223,Lv42 珍贵的 箱子(破坏) - 腰,3220,5616,2441021,1,1667,2441022,1,3334,2444021,1,5001,2444022,1,6668,2447021,1,8335,2447022,1,10000,,,,,,,,,,,,
3224,Lv42 珍贵的 箱子(破坏) - 脚,3220,7020,2451021,1,1667,2451022,1,3334,2454021,1,5001,2454022,1,6668,2457021,1,8335,2457022,1,10000,,,,,,,,,,,,
3225,Lv42 珍贵的 箱子(破坏) - 斗篷,3220,7488,2461021,1,5000,2461022,1,10000,,,,,,,,,,,,,,,,,,,,,,,,
3226,Lv42 珍贵的 箱子(破坏) - 武器,3220,10000,1026721,1,1667,1011721,1,3334,1041721,1,5001,1051721,1,6668,1141721,1,8335,1091721,1,10000,,,,,,,,,,,,
