TID,Comment,EngName,LocalName,Type,Kind,Property,Level,Grade,Race,Gender,LimitLevel,LimitSTR,LimitCON,LimitWIS,LimitMEN,LimitAgility,LimitMainWeapon,LimitFamePointTID,ReqWeaponLevel,PenaltyRate,Area,PowerRangeMax,RelativeClass,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS,SetTID,CoolTime,UseSkillTID,LearnSkillTID,SocketTID,Socket,CashSocket,RecipeTID,EnchantTID,EnchantStepMax,SeedOption,Cash,SpecialTID,SpecialValue,AlchemyValue,AlchemyTID,MixTID,BreakTID,BoxTID,QuestTID,SalePrice,PurchasePrice,SaleFamePoint,PurchaseFamePoint,ReqMedalKind,SaleMedal,PurchaseMedal,ItemRestrict,StackCount,MaxCount,Consume,BindType,UnBindCount,Stoppable,MaxDurability,MinDurability,Crash,DecreationDurability,Repairable,ItemMeshLeft,ItemMeshRight,ItemMeshScale,UseEffect,UseSound,TreeDeps_01,TreeDeps_02,ItemIcon,EngDesc,LocalDesc
2147201,第13轮 艾林河-重甲,ITM_Name_008204,平凡的次元执行者腰带,1,4,0,47,1,1|3,0,47,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,102,0,0,35,0,0,0,0,0,0,791,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,6,0,0,0,,,,0,4106,0,0,1944,19440,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008204,
2147202,第13轮 艾林河-重甲,ITM_Name_008205,平凡的次元生存腰带,1,4,0,47,1,1|3,0,47,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,68,0,0,35,0,0,0,0,0,0,1054,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,6,0,0,0,,,,0,4106,0,0,1944,19440,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008205,
2147211,第13轮 艾林河-重甲,ITM_Name_008206,高级的次元执行者腰带,1,4,0,47,2,1|3,0,47,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,114,11,0,38,0,0,0,0,0,0,879,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,10,0,0,0,,,,0,4206,0,0,2651,26510,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008206,
2147212,第13轮 艾林河-重甲,ITM_Name_008207,高级的次元生存腰带,1,4,0,47,2,1|3,0,47,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,76,0,0,38,0,0,0,0,0,0,1172,257,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,10,0,0,0,,,,0,4206,0,0,2651,26510,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008207,
2147221,第13轮 艾林河-重甲,ITM_Name_008208,珍贵的次元执行者腰带,1,4,0,47,3,1|3,0,47,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,136,13,0,46,0,0,0,0,0,0,1054,309,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4306,0,0,3535,35350,0,0,0,0,0,0,0,0,0,2,7,0,406,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008208,
2147222,第13轮 艾林河-重甲,ITM_Name_008209,珍贵的次元生存腰带,1,4,0,47,3,1|3,0,47,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,91,0,0,46,0,0,0,0,0,0,1406,309,0,0,0,0,13,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4306,0,0,3535,35350,0,0,0,0,0,0,0,0,0,2,7,0,406,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008209,
2147231,第13轮 艾林河-重甲,ITM_Name_008210,特别的次元执行者腰带,1,4,0,47,4,1|3,0,47,0,0,0,0,0,,0,0,0,0,0,0,0,5,0,0,0,148,14,0,50,0,0,0,0,0,0,1142,335,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4406,0,0,5302,53020,0,0,0,0,0,0,0,0,0,2,7,0,406,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008210,
2147232,第13轮 艾林河-重甲,ITM_Name_008211,特别的次元生存腰带,1,4,0,47,4,1|3,0,47,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,0,99,0,0,50,0,0,0,0,0,0,1523,335,0,0,0,0,14,0,0,29,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4406,0,0,5302,53020,0,0,0,0,0,0,0,0,0,2,7,0,406,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008211,
2147300,第14轮 艾林河-重甲,ITM_Name_008212,破旧的君主腰带,1,4,0,50,0,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22800,3,0,0,0,,,,0,0,0,0,2000,20000,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,1,,,,,,2,4,11105,ITM_Desc_008212,
2147301,第14轮 艾林河-重甲,ITM_Name_008213,平凡的审判腰带,1,4,0,50,1,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,109,0,0,37,0,0,0,0,0,0,841,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,6,0,0,0,,,,0,4106,0,0,2200,22000,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008213,
2147302,第14轮 艾林河-重甲,ITM_Name_008214,平凡的斗志腰带,1,4,0,50,1,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,73,0,0,37,0,0,0,0,0,0,1122,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,6,0,0,0,,,,0,4106,0,0,2200,22000,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008214,
2147311,第14轮 艾林河-重甲,ITM_Name_008215,高级的审判腰带,1,4,0,50,2,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,121,11,0,41,0,0,0,0,0,0,935,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,10,0,0,0,,,,0,4206,0,0,3000,30000,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008215,
2147312,第14轮 艾林河-重甲,ITM_Name_008216,高级的斗志腰带,1,4,0,50,2,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,81,0,0,41,0,0,0,0,0,0,1246,274,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,10,0,0,0,,,,0,4206,0,0,3000,30000,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008216,
2147321,第14轮 艾林河-重甲,ITM_Name_008217,珍贵的审判腰带,1,4,0,50,3,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,145,13,0,49,0,0,0,0,0,0,1122,329,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4306,0,0,4000,40000,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008217,
2147322,第14轮 艾林河-重甲,ITM_Name_008218,珍贵的斗志腰带,1,4,0,50,3,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,97,0,0,49,0,0,0,0,0,0,1495,329,0,0,0,0,13,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4306,0,0,4000,40000,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008218,
2147331,第14轮 艾林河-重甲,ITM_Name_008219,特别的审判腰带,1,4,0,50,4,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,5,0,0,0,157,14,0,53,0,0,0,0,0,0,1215,356,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4406,0,0,6000,60000,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008219,
2147332,第14轮 艾林河-重甲,ITM_Name_008220,特别的斗志腰带,1,4,0,50,4,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,0,105,0,0,53,0,0,0,0,0,0,1620,356,0,0,0,0,14,0,0,31,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4406,0,0,6000,60000,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008220,
2147351,第14轮 艾林河-重甲,ITM_Name_008221,破旧的君主腰带 (制作),1,4,0,50,0,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22800,3,0,0,0,,,,0,0,0,0,2000,20000,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,1,,,,,,2,4,11105,ITM_Desc_008221,
2147352,第14轮 艾林河-重甲,ITM_Name_008222,平凡的审判腰带(制作),1,4,0,50,1,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,126,0,0,42,0,0,0,0,0,0,972,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,6,0,0,0,,,,0,4106,0,0,2200,22000,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008222,
2147353,第14轮 艾林河-重甲,ITM_Name_008223,平凡的斗志腰带(制作),1,4,0,50,1,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,84,0,0,42,0,0,0,0,0,0,1296,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,6,0,0,0,,,,0,4106,0,0,2200,22000,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008223,
2147354,第14轮 艾林河-重甲,ITM_Name_008224,高级的审判腰带(制作),1,4,0,50,2,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,144,13,0,49,0,0,0,0,0,0,1112,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,10,0,0,0,,,,0,4206,0,0,3000,30000,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008224,
2147355,第14轮 艾林河-重甲,ITM_Name_008225,高级的斗志腰带(制作),1,4,0,50,2,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,96,0,0,49,0,0,0,0,0,0,1483,326,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22800,10,0,0,0,,,,0,4206,0,0,3000,30000,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008225,
2147356,第14轮 艾林河-重甲,ITM_Name_008226,珍贵的审判腰带(制作),1,4,0,50,3,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,156,14,0,53,0,0,0,0,0,0,1206,353,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4306,0,0,4000,40000,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008226,
2147357,第14轮 艾林河-重甲,ITM_Name_008227,珍贵的斗志腰带(制作),1,4,0,50,3,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,104,0,0,53,0,0,0,0,0,0,1608,353,0,0,0,0,14,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4306,0,0,4000,40000,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008227,
2147358,第14轮 艾林河-重甲,ITM_Name_008228,特别的审判腰带(制作),1,4,0,50,4,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,0,5,0,0,0,169,16,0,57,0,0,0,0,0,0,1309,383,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4406,0,0,6000,60000,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008228,
2147359,第14轮 艾林河-重甲,ITM_Name_008229,特别的斗志腰带(制作),1,4,0,50,4,1|3,0,50,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,0,113,0,0,57,0,0,0,0,0,0,1745,383,0,0,0,0,16,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22800,10,0,0,0,,,,0,4406,0,0,6000,60000,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008229,
2147400,第15轮 艾林河-重甲,ITM_Name_008230,破旧的大君主腰带,1,4,0,52,0,1|3,0,52,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22850,3,0,0,0,,,,0,0,0,0,2164,21640,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,1,,,,,,2,4,11105,ITM_Desc_008230,
2147401,第15轮 艾林河-重甲,ITM_Name_008231,平凡的古代审判官腰带,1,4,0,52,1,1|3,0,52,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,113,0,0,38,0,0,0,0,0,0,875,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,6,0,0,0,,,,0,4107,0,0,2380,23800,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008231,
2147402,第15轮 艾林河-重甲,ITM_Name_008232,平凡的古代屠杀者腰带,1,4,0,52,1,1|3,0,52,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,76,0,0,38,0,0,0,0,0,0,1166,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,6,0,0,0,,,,0,4107,0,0,2380,23800,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008232,
2147411,第15轮 艾林河-重甲,ITM_Name_008233,高级的古代审判官腰带,1,4,0,52,2,1|3,0,52,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,126,12,0,42,0,0,0,0,0,0,972,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,10,0,0,0,,,,0,4207,0,0,3245,32450,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008233,
2147412,第15轮 艾林河-重甲,ITM_Name_008234,高级的古代屠杀者腰带,1,4,0,52,2,1|3,0,52,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,84,0,0,42,0,0,0,0,0,0,1296,285,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,10,0,0,0,,,,0,4207,0,0,3245,32450,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008234,
2147421,第15轮 艾林河-重甲,ITM_Name_008235,珍贵的古代审判官腰带,1,4,0,52,3,1|3,0,52,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,151,14,0,51,0,0,0,0,0,0,1166,342,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4307,0,0,4327,43270,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008235,
2147422,第15轮 艾林河-重甲,ITM_Name_008236,珍贵的古代屠杀者腰带,1,4,0,52,3,1|3,0,52,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,101,0,0,51,0,0,0,0,0,0,1555,342,0,0,0,0,14,0,0,29,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4307,0,0,4327,43270,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008236,
2147431,第15轮 艾林河-重甲,ITM_Name_008237,特别的古代审判官腰带,1,4,0,52,4,1|3,0,52,0,0,0,0,0,,0,0,0,0,0,0,0,6,0,0,0,163,15,0,55,0,0,0,0,0,0,1264,370,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4407,0,0,6490,64900,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008237,
2147432,第15轮 艾林河-重甲,ITM_Name_008238,特别的古代屠杀者腰带,1,4,0,52,4,1|3,0,52,0,0,0,0,0,,0,0,0,0,0,0,6,0,0,0,0,109,0,0,55,0,0,0,0,0,0,1685,370,0,0,0,0,15,0,0,32,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4407,0,0,6490,64900,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008238,
2147500,第16轮 艾林河-重甲,ITM_Name_008239,破旧的君王腰带,1,4,0,55,0,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22850,3,0,0,0,,,,0,0,0,0,2420,24200,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,1,,,,,,2,4,11105,ITM_Desc_008239,
2147501,第16轮 艾林河-重甲,ITM_Name_008240,平凡的王道腰带,1,4,0,55,1,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,120,0,0,40,0,0,0,0,0,0,925,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,6,0,0,0,,,,0,4107,0,0,2662,26620,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008240,
2147502,第16轮 艾林河-重甲,ITM_Name_008241,平凡的佩刀腰带,1,4,0,55,1,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,80,0,0,40,0,0,0,0,0,0,1234,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,6,0,0,0,,,,0,4107,0,0,2662,26620,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008241,
2147511,第16轮 艾林河-重甲,ITM_Name_008242,高级的王道腰带,1,4,0,55,2,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,133,12,0,45,0,0,0,0,0,0,1028,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,10,0,0,0,,,,0,4207,0,0,3630,36300,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008242,
2147512,第16轮 艾林河-重甲,ITM_Name_008243,高级的佩刀腰带,1,4,0,55,2,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,89,0,0,45,0,0,0,0,0,0,1371,301,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,10,0,0,0,,,,0,4207,0,0,3630,36300,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008243,
2147521,第16轮 艾林河-重甲,ITM_Name_008244,珍贵的王道腰带,1,4,0,55,3,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,159,15,0,54,0,0,0,0,0,0,1234,361,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4307,0,0,4840,48400,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008244,
2147522,第16轮 艾林河-重甲,ITM_Name_008245,珍贵的佩刀腰带,1,4,0,55,3,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,107,0,0,54,0,0,0,0,0,0,1645,361,0,0,0,0,15,0,0,31,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4307,0,0,4840,48400,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008245,
2147531,第16轮 艾林河-重甲,ITM_Name_008246,特别的王道腰带,1,4,0,55,4,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,6,0,0,0,173,16,0,58,0,0,0,0,0,0,1336,391,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4407,0,0,7260,72600,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008246,
2147532,第16轮 艾林河-重甲,ITM_Name_008247,特别的佩刀腰带,1,4,0,55,4,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,6,0,0,0,0,115,0,0,58,0,0,0,0,0,0,1782,391,0,0,0,0,16,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4407,0,0,7260,72600,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008247,
2147551,第16轮 艾林河-重甲,ITM_Name_008248,破旧的君王腰带 (制作),1,4,0,55,0,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22850,3,0,0,0,,,,0,0,0,0,2420,24200,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,1,,,,,,2,4,11105,ITM_Desc_008248,
2147552,第16轮 艾林河-重甲,ITM_Name_008249,平凡的王道腰带(制作),1,4,0,55,1,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,138,0,0,47,0,0,0,0,0,0,1069,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,6,0,0,0,,,,0,4107,0,0,2662,26620,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008249,
2147553,第16轮 艾林河-重甲,ITM_Name_008250,平凡的佩刀腰带(制作),1,4,0,55,1,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,92,0,0,47,0,0,0,0,0,0,1425,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,6,0,0,0,,,,0,4107,0,0,2662,26620,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,1,,,,,,2,4,11110,ITM_Desc_008250,
2147554,第16轮 艾林河-重甲,ITM_Name_008251,高级的王道腰带(制作),1,4,0,55,2,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,158,14,0,53,0,0,0,0,0,0,1223,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,10,0,0,0,,,,0,4207,0,0,3630,36300,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008251,
2147555,第16轮 艾林河-重甲,ITM_Name_008252,高级的佩刀腰带(制作),1,4,0,55,2,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,106,0,0,53,0,0,0,0,0,0,1631,358,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22850,10,0,0,0,,,,0,4207,0,0,3630,36300,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,1,1,,,,,,2,4,11110,ITM_Desc_008252,
2147556,第16轮 艾林河-重甲,ITM_Name_008253,珍贵的王道腰带(制作),1,4,0,55,3,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,171,16,0,58,0,0,0,0,0,0,1326,388,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4307,0,0,4840,48400,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008253,
2147557,第16轮 艾林河-重甲,ITM_Name_008254,珍贵的佩刀腰带(制作),1,4,0,55,3,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,115,0,0,58,0,0,0,0,0,0,1768,388,0,0,0,0,16,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4307,0,0,4840,48400,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,11115,ITM_Desc_008254,
2147558,第16轮 艾林河-重甲,ITM_Name_008255,特别的王道腰带(制作),1,4,0,55,4,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,0,6,0,0,0,186,17,0,63,0,0,0,0,0,0,1439,421,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4407,0,0,7260,72600,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008255,
2147559,第16轮 艾林河-重甲,ITM_Name_008256,特别的佩刀腰带(制作),1,4,0,55,4,1|3,0,55,0,0,0,0,0,,0,0,0,0,0,0,6,0,0,0,0,124,0,0,63,0,0,0,0,0,0,1919,421,0,0,0,0,17,0,0,36,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22850,10,0,0,0,,,,0,4407,0,0,7260,72600,0,0,0,0,0,0,0,0,0,2,7,0,430,0,0,0,1,,,,,,2,4,51115,ITM_Desc_008256,
2147600,第17轮 艾林河-重甲,ITM_Name_008257,破旧的大君主腰带,1,4,0,57,0,1|3,0,57,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22850,3,0,0,0,,,,0,0,0,0,2420,24200,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,1,,,,,,2,4,11107,ITM_Desc_008257,
