TID,Type,TypeCondition,MinLV,MaxLV,Race,EngContents,LocalContents,EngDesc,LocalDesc
10337,1000,0,1,99,0,NDT_Contents_000197,祈祷光的庇佑.我是纳米艾.,NDT_Desc_000197,
10338,1000,0,1,99,0,NDT_Contents_000198,负责运输队保护的海德恩.,NDT_Desc_000198,
10339,1000,0,1,99,0,NDT_Contents_000199,(能感受到里头有生气.),NDT_Desc_000199,
10340,1000,0,1,99,0,NDT_Contents_000200,我是山脉商人指挥长德怀特.,NDT_Desc_000200,
10341,1000,0,1,99,0,NDT_Contents_000201,我是负责营地安全的普迪森.,NDT_Desc_000201,
10342,1000,0,1,99,0,NDT_Contents_000202,祈祷光的庇佑.我是叙利塔.,NDT_Desc_000202,
10343,1000,0,1,99,0,NDT_Contents_000203,看到我们父亲了吗,NDT_Desc_000203,
10344,1000,0,1,99,0,NDT_Contents_000204,(能感受到里头有生气.),NDT_Desc_000204,
10345,1000,0,1,99,0,NDT_Contents_000205,我是这里的负责人贝雷克.,NDT_Desc_000205,
10346,1000,0,1,99,0,NDT_Contents_000206,有很多受伤的人，能帮我们吗?,NDT_Desc_000206,
10347,1000,0,1,99,0,NDT_Contents_000207,呃…帮帮我吧…..,NDT_Desc_000207,
10348,1000,0,1,99,0,NDT_Contents_000208,大地最高研究所负责人库斯特纳.,NDT_Desc_000208,
10349,1000,0,1,99,0,NDT_Contents_000209,我负责这里的警备.,NDT_Desc_000209,
10350,1000,0,1,99,0,NDT_Contents_000210,祈祷光的庇佑.调查大地之塔的埃拉泽内.,NDT_Desc_000210,
10351,1000,0,1,99,0,NDT_Contents_000211,有趣的结局…,NDT_Desc_000211,
10352,1000,0,1,99,0,NDT_Contents_000212,要是我的假设是对的话….,NDT_Desc_000212,
10353,1000,0,1,99,0,NDT_Contents_000213,负责吉森特大人护卫的阿尔巴洛.,NDT_Desc_000213,
10354,1000,0,1,99,0,NDT_Contents_000214,喜欢树林?,NDT_Desc_000214,
10355,1000,0,1,99,0,NDT_Contents_000215,魔术师村的负责人依德恩.,NDT_Desc_000215,
10356,1000,0,1,99,0,NDT_Contents_000216,(看不清有巨大翅膀的哈比的攻击),NDT_Desc_000216,
10357,1000,0,1,99,0,NDT_Contents_000217,(看不清有巨大翅膀的哈比的攻击),NDT_Desc_000217,
10358,1000,0,1,99,0,NDT_Contents_000218,啊..为什么没有帮忙的人?,NDT_Desc_000218,
10359,1000,0,1,99,0,NDT_Contents_000219,这里的负责人巴伦.,NDT_Desc_000219,
10360,1000,0,1,99,0,NDT_Contents_000220,负责这里的警卫.,NDT_Desc_000220,
10361,1000,0,1,99,0,NDT_Contents_000221,别走!我是人!,NDT_Desc_000221,
10362,1000,0,1,99,0,NDT_Contents_000222,祈祷光的庇佑.弟子莱尼塔.,NDT_Desc_000222,
10363,1000,0,1,99,0,NDT_Contents_000223,祈祷光的庇佑.探查队的负责人贝尼亚.,NDT_Desc_000223,
10364,1000,0,1,99,0,NDT_Contents_000224,探查队魔术师负责人李希德.,NDT_Desc_000224,
10365,1000,0,1,99,0,NDT_Contents_000225,负责探查队兵力的本嘉顿.,NDT_Desc_000225,
10366,1000,0,1,99,0,NDT_Contents_000226,资源不足能帮忙么?,NDT_Desc_000226,
10367,1000,0,1,99,0,NDT_Contents_000227,不会让你抢走研究资料的!,NDT_Desc_000227,
10368,1000,0,1,99,0,NDT_Contents_000228,(用饥渴的眼神盯着你.),NDT_Desc_000228,
10369,1000,0,1,99,0,NDT_Contents_000229,(让人感到压迫的巨龙.),NDT_Desc_000229,
10370,1000,0,1,99,0,NDT_Contents_000230,(周围好像是龙的水葬.),NDT_Desc_000230,
10371,1000,0,1,99,0,NDT_Contents_000231,(好像对我没有敌对感.),NDT_Desc_000231,
10372,1000,0,1,99,0,NDT_Contents_000232,欢迎来到愤怒山脉的最前线.我是负责侦察队的克莱顿.,NDT_Desc_000232,
10373,1000,0,1,99,0,NDT_Contents_000233,侦察兵托特.,NDT_Desc_000233,
10374,1000,0,1,99,0,NDT_Contents_000234,（冰冷的尸体还留有战斗的痕迹）,NDT_Desc_000234,
10501,1000,0,1,99,0,NDT_Contents_000235,欢迎来到莱昂哈特要塞.我是这个要塞的主人爱普莱德D莱昂哈特.,NDT_Desc_000235,
10502,1000,0,1,99,0,NDT_Contents_000236,我是莱昂哈特白作家的家臣莱德.负责要塞的补给.,NDT_Desc_000236,
10503,1000,0,1,99,0,NDT_Contents_000237,终于等到期待已久的英雄登场了? /n /n哈哈哈我是莱昂哈特白作家的参谋.叫我愉快地多尼安.,NDT_Desc_000237,
10504,1000,0,1,99,0,NDT_Contents_000238,这里危险.小心周围.,NDT_Desc_000238,
10505,1000,0,1,99,0,NDT_Contents_000239,要处理疫病的扩散.请帮助我们.,NDT_Desc_000239,
10506,1000,0,1,99,0,NDT_Contents_000240,要想调查周围首先要确保夜营地的安全,NDT_Desc_000240,
10507,1000,0,1,99,0,NDT_Contents_000241,这状况真是伤脑筋.要赶紧了,NDT_Desc_000241,
10508,1000,0,1,99,0,NDT_Contents_000242,要以最快的速度让关口恢复正常.,NDT_Desc_000242,
10509,1000,0,1,99,0,NDT_Contents_000243,来的真是时候.我是关门的补给官卡丁.,NDT_Desc_000243,
10510,1000,0,1,99,0,NDT_Contents_000244,有着英雄美赞的 $Getname()大人，您的到来真是太好了.真的是不知如何是好了现在.,NDT_Desc_000244,
10511,1000,0,1,99,0,NDT_Contents_000245,四周都是敌人.真是有趣的状况呢，不是么?,NDT_Desc_000245,
10512,1000,0,1,99,0,NDT_Contents_000246,用时间补助.准备好了吗?,NDT_Desc_000246,
10513,1000,0,1,99,0,NDT_Contents_000247,好恶毒的瘟疫雾气呀.我们要赶在感染之前做好净化工作.,NDT_Desc_000247,
10514,1000,0,1,99,0,NDT_Contents_000248,能感受到死者是的亡灵... 真是悲伤.,NDT_Desc_000248,
10515,1000,0,1,99,0,NDT_Contents_000249,站着都能听到万灵的悲鸣.真是个恐怖的地方.,NDT_Desc_000249,
10516,1000,0,1,99,0,NDT_Contents_000250,农场废墟?那真是有调查价值呢.,NDT_Desc_000250,
10517,1000,0,1,99,0,NDT_Contents_000251,最大限度的压制黑暗.仔细调查周围情况. ,NDT_Desc_000251,
10518,1000,0,1,99,0,NDT_Contents_000252,假的村子…现在该公开这个秘密了.,NDT_Desc_000252,
10519,1000,0,1,99,0,NDT_Contents_000253,对于假的存在来说是永远的安息…,NDT_Desc_000253,
10520,1000,0,1,99,0,NDT_Contents_000254,太糟糕了.克拉里尔斯城已经是黑暗势力的了,NDT_Desc_000254,
10521,1000,0,1,99,0,NDT_Contents_000255,是决断的时间了.,NDT_Desc_000255,
10522,1000,0,1,99,0,NDT_Contents_000256,现在没有地方可去了.要集齐最后的力量驱逐黑暗. /n /n光的引导者$Getname()大人，站到我们的战线上吧,NDT_Desc_000256,
10523,1000,0,1,99,0,NDT_Contents_000257,伟大的光的领导者，英穆海的英雄$Getname()大人一起祈祷光的庇佑,NDT_Desc_000257,
10524,1000,0,1,99,0,NDT_Contents_000258,大家都在期待着$Getname()大人的行动.所以，伟大的英雄啊以后就拜托你了. ,NDT_Desc_000258,
10525,1000,0,1,99,0,NDT_Contents_000259,代表绿色羽毛骑士团，在等待 $Getname()大人. /n /n以后能帮助我们就好了.,NDT_Desc_000259,
10526,1000,0,1,99,0,NDT_Contents_000260,虽然是第一次见，但不愧是英穆海的英雄呀. /n /n我是格洛丽亚商团 12位管理者中的一个威尔. ,NDT_Desc_000260,
10527,1000,0,1,99,0,NDT_Contents_000261,能见到英穆海的守护神$Getname()大人是我的光荣.我是绿色羽毛的骑士佩雷斯.,NDT_Desc_000261,
10528,1000,0,1,99,0,NDT_Contents_000262,祈祷光的庇佑… /n /n等到英雄的到来.,NDT_Desc_000262,
10600,1000,0,1,99,0,NDT_Contents_000263,快来吧，英穆海的英雄啊.接受命运的启示在等待着.,NDT_Desc_000263,
10701,1000,0,1,99,0,NDT_Contents_000264,欢迎$Getname()大人到来.我是落叶村的负责人，指挥官普洛兰斯.,NDT_Desc_000264,
10702,1000,0,1,99,0,NDT_Contents_000265,呦. 您好.英穆海的英雄终于来了.,NDT_Desc_000265,
10703,1000,0,1,99,0,NDT_Contents_000266,地区欢乐，人变了，补给官的工作还是一样.,NDT_Desc_000266,
10704,1000,0,1,99,0,NDT_Contents_000267,为落叶村的以后担心.,NDT_Desc_000267,
10705,1000,0,1,99,0,NDT_Contents_000268,小心接近. /n /n要警戒四周.,NDT_Desc_000268,
10706,1000,0,1,99,0,NDT_Contents_000269,等待的人终于来了.我是蔚蓝藤蔓的思念.莉诺雅.,NDT_Desc_000269,
10707,1000,0,1,99,0,NDT_Contents_000270,慢了一点.,NDT_Desc_000270,
10708,1000,0,1,99,0,NDT_Contents_000271,负责野营地补给的拉那德.,NDT_Desc_000271,
10709,1000,0,1,99,0,NDT_Contents_000272,噩梦的力量在变大…要在迟之前阻挡.,NDT_Desc_000272,
10710,1000,0,1,99,0,NDT_Contents_000273,梦的运气在歪斜.要在迟之前释放已经构成的梦.,NDT_Desc_000273,
10711,1000,0,1,99,0,NDT_Contents_000274,要守住防御.请帮帮忙,NDT_Desc_000274,
10712,1000,0,1,99,0,NDT_Contents_000275,周围都是敌人. 稍有不慎我们都会全军覆灭.,NDT_Desc_000275,
10713,1000,0,1,99,0,NDT_Contents_000276,随着情况的恶化补给很重要.饿着肚子的士兵可打不了胜战.,NDT_Desc_000276,
10714,1000,0,1,99,0,NDT_Contents_000277,(发现巨大的蛋.),NDT_Desc_000277,
10715,1000,0,1,99,0,NDT_Contents_000278,标志这种状况下可行的方法.,NDT_Desc_000278,
10716,1000,0,1,99,0,NDT_Contents_000279,为$Getname()大人祈祷光的庇佑. /n /n需要的话，什么样的伤口都能恢复. /n /n要修复伤口吗?,NDT_Desc_000279,
10811,1000,0,1,99,0,NDT_Contents_000280,日族的新苗呀，欢迎你来到安息的村子. ,NDT_Desc_000280,
10812,1000,0,1,99,0,NDT_Contents_000281,我是团长克洛乌.安息村的负责人.,NDT_Desc_000281,
10813,1000,0,1,99,0,NDT_Contents_000282,补给不足.. 补给…该怎么办…,NDT_Desc_000282,
10814,1000,0,1,99,0,NDT_Contents_000283,我是分队长布莱特。什么任务吗？,NDT_Desc_000283,
10815,1000,0,1,99,0,NDT_Contents_000284,没有解决办法吗?,NDT_Desc_000284,
10816,1000,0,1,99,0,NDT_Contents_000285,欢迎来到安息的前院. 日族的新芽.,NDT_Desc_000285,
20001,1000,0,1,99,0,NDT_Contents_000286,植物都变得和从前不一样了.这是为什么?,NDT_Desc_000286,
20002,1000,0,1,99,0,NDT_Contents_000287,向您这样的英雄，什么时候都欢迎.,NDT_Desc_000287,
20003,1000,0,1,99,0,NDT_Contents_000288,谁? 好像在哪里见过……,NDT_Desc_000288,
20004,1000,0,1,99,0,NDT_Contents_000289,一定要对自己的事情负责并完成它.,NDT_Desc_000289,
20005,1000,0,1,99,0,NDT_Contents_000290,不知英穆海的小伙子什么时候来.要赶紧收拾混乱.,NDT_Desc_000290,
20006,1000,0,1,99,0,NDT_Contents_000291,清理了哥布林准备对付英穆海.,NDT_Desc_000291,
20007,1000,0,1,99,0,NDT_Contents_000292,(死了.),NDT_Desc_000292,
20008,1000,0,1,99,0,NDT_Contents_000293,都怪奇怪的花粉，没力气了,NDT_Desc_000293,
20009,1000,0,1,99,0,NDT_Contents_000294,想学魔术.对你来说是无尽的快乐.,NDT_Desc_000294,
20010,1000,0,1,99,0,NDT_Contents_000295,旅行中? 在我们手够不着的地方是很危险的请小心.,NDT_Desc_000295,
20011,1000,0,1,99,0,NDT_Contents_000296,等我的研究结束了能给英穆海狠狠一击,NDT_Desc_000296,
20012,1000,0,1,99,0,NDT_Contents_000297,呃…… 脚……,NDT_Desc_000297,
20013,1000,0,1,99,0,NDT_Contents_000298,从英穆海那受的伤很多?.收了这礼物请帮我治好吧.,NDT_Desc_000298,
20014,1000,0,1,99,0,NDT_Contents_000299,"要常常我做的虫子汁吗? 能让身体结实,心也结实.",NDT_Desc_000299,
20015,1000,0,1,99,0,NDT_Contents_000300,说是摧毁，不要怕它,NDT_Desc_000300,
20016,1000,0,1,99,0,NDT_Contents_000301,再不能解决问题的时候先放到一边休息一会比较好,NDT_Desc_000301,
20017,1000,0,1,99,0,NDT_Contents_000302,不能把背给英穆海那群家伙,NDT_Desc_000302,
20018,1000,0,1,99,0,NDT_Contents_000303,不知道英穆海那群家伙什么时候会攻过来，所以要一直警戒,NDT_Desc_000303,
20019,1000,0,1,99,0,NDT_Contents_000304,在做驯服蜘蛛的实验,NDT_Desc_000304,
20020,1000,0,1,99,0,NDT_Contents_000305,我的剑.我宝贵的 剑.,NDT_Desc_000305,
20021,1000,0,1,99,0,NDT_Contents_000306,突然出现强大的家伙，我们很危险，你要小心,NDT_Desc_000306,
20022,1000,0,1,99,0,NDT_Contents_000307,出现了新生物，是谁创造的呢？,NDT_Desc_000307,
20023,1000,0,1,99,0,NDT_Contents_000308,活着真好,NDT_Desc_000308,
20024,1000,0,1,99,0,NDT_Contents_000309,见到您这样的英雄真是开心. 看到了代莫尔利森的未来了.,NDT_Desc_000309,
20025,1000,0,1,99,0,NDT_Contents_000310,没有别的事情的话请走吧,NDT_Desc_000310,
20026,1000,0,1,99,0,NDT_Contents_000311,看到高丽雅思大人了吗? 我有话给他.,NDT_Desc_000311,
20027,1000,0,1,99,0,NDT_Contents_000312,有趣的事开始了. 会怎么和进展呢……,NDT_Desc_000312,
20028,1000,0,1,99,0,NDT_Contents_000313,是帮我还是不帮？,NDT_Desc_000313,
20029,1000,0,1,99,0,NDT_Contents_000314,高丽雅思大人的功绩广泛流传. 要赶上他你要努力了.,NDT_Desc_000314,
20030,1000,0,1,99,0,NDT_Contents_000315,毒是一种有魅力的物质,NDT_Desc_000315,
20031,1000,0,1,99,0,NDT_Contents_000316,孩子，你在哪里？,NDT_Desc_000316,
20032,1000,0,1,99,0,NDT_Contents_000317,文爱普的未来就在你的手上了,NDT_Desc_000317,
20033,1000,0,1,99,0,NDT_Contents_000318,丈夫在和英穆海的战争中负伤回来了,NDT_Desc_000318,
20034,1000,0,1,99,0,NDT_Contents_000319,向寒冷屈服的不是代莫尔利森的勇士！,NDT_Desc_000319,
20035,1000,0,1,99,0,NDT_Contents_000320,冷，真冷,NDT_Desc_000320,
20036,1000,0,1,99,0,NDT_Contents_000321,自从狼族和我们断了交流后，奇怪的事就开始发生,NDT_Desc_000321,
20037,1000,0,1,99,0,NDT_Contents_000322,在这种寒冷的天气，来一杯烈酒最适合不过了.,NDT_Desc_000322,
20038,1000,0,1,99,0,NDT_Contents_000323,要让山贼看看我们的本事,NDT_Desc_000323,
20039,1000,0,1,99,0,NDT_Contents_000324,现在不能和狼族会面吗？,NDT_Desc_000324,
20040,1000,0,1,99,0,NDT_Contents_000325,不能就这样把特鲁尔这群家伙扔这!,NDT_Desc_000325,
20041,1000,0,1,99,0,NDT_Contents_000326,因为有你在很安心,NDT_Desc_000326,
20042,1000,0,1,99,0,NDT_Contents_000327,(没死多久.),NDT_Desc_000327,
20043,1000,0,1,99,0,NDT_Contents_000328,不是朋友....,NDT_Desc_000328,
20044,1000,0,1,99,0,NDT_Contents_000329,乌美…...勒. 对不…….起.,NDT_Desc_000329,
20045,1000,0,1,99,0,NDT_Contents_000330,没有像松子一样好吃的东西.你难道不是我的松子游戏吗?,NDT_Desc_000330,
20046,1000,0,1,99,0,NDT_Contents_000331,想要和狼族同盟吗? 还是和他们不和呀.,NDT_Desc_000331,
20047,1000,0,1,99,0,NDT_Contents_000332,虽然现在是进退两难的境地，但只要你站出来我们可以战胜的.,NDT_Desc_000332,
20048,1000,0,1,99,0,NDT_Contents_000333,这个地方弥漫着奇怪的气息.从哪里来的呢?,NDT_Desc_000333,
20049,1000,0,1,99,0,NDT_Contents_000334,侦查需要精确地观察.您可能陷入危机完全错误.,NDT_Desc_000334,
20050,1000,0,1,99,0,NDT_Contents_000335,现在来了吗？,NDT_Desc_000335,
20051,1000,0,1,99,0,NDT_Contents_000336,风从湖的裂缝到来，是另一种力量.,NDT_Desc_000336,
20052,1000,0,1,99,0,NDT_Contents_000337,狼家族的新族长采取敌视态度.小心,NDT_Desc_000337,
20053,1000,0,1,99,0,NDT_Contents_000338,不管怎么说钱是最棒的,NDT_Desc_000338,
20054,1000,0,1,99,0,NDT_Contents_000339,(僵硬的尸体),NDT_Desc_000339,
20055,1000,0,1,99,0,NDT_Contents_000340,钱是万能。能够做任何事情.,NDT_Desc_000340,
20056,1000,0,1,99,0,NDT_Contents_000341,他们揭示了这头狼家族的性质。他们开始攻击我们。!,NDT_Desc_000341,
20057,1000,0,1,99,0,NDT_Contents_000342,大肌肉是美丽的。平滑弯曲的美国，这是自然的自我。,NDT_Desc_000342,
20058,1000,0,1,99,0,NDT_Contents_000343,现在的危机，但如果每个人都团结起来克服。,NDT_Desc_000343,
20059,1000,0,1,99,0,NDT_Contents_000344,生病的弟弟。我该怎么办？,NDT_Desc_000344,
20060,1000,0,1,99,0,NDT_Contents_000345,我有很多奇怪的事情在这里日元。神是否打算做研究。,NDT_Desc_000345,
20061,1000,0,1,99,0,NDT_Contents_000346,Eopdane这样做，因为暴风雪的工作做好。,NDT_Desc_000346,
20062,1000,0,1,99,0,NDT_Contents_000347,请帮助我们的主。,NDT_Desc_000347,
20063,1000,0,1,99,0,NDT_Contents_000348,哦，你的骨干，是很难浏览强悍的狼部落。郝很大。,NDT_Desc_000348,
20064,1000,0,1,99,0,NDT_Contents_000349,我们需要比较的，英穆海i。我们需要破坏功率ahkeurodeu的平衡。,NDT_Desc_000349,
20065,1000,0,1,99,0,NDT_Contents_000350,阿黛拉的不一样睡学习和友谊。,NDT_Desc_000350,
20066,1000,0,1,99,0,NDT_Contents_000351,再也没有向您一样有只是的人了,NDT_Desc_000351,
20067,1000,0,1,99,0,NDT_Contents_000352,……,NDT_Desc_000352,
20068,1000,0,1,99,0,NDT_Contents_000353,狼家族的新掌门是不喜欢我们来。,NDT_Desc_000353,
20069,1000,0,1,99,0,NDT_Contents_000354,这伟大的勇敢。令人印象深刻。,NDT_Desc_000354,
20070,1000,0,1,99,0,NDT_Contents_000355,……,NDT_Desc_000355,
20071,1000,0,1,99,0,NDT_Contents_000356,那个……不是的.,NDT_Desc_000356,
20072,1000,0,1,99,0,NDT_Contents_000357,没有什么有趣的事吗?,NDT_Desc_000357,
20073,1000,0,1,99,0,NDT_Contents_000358,……,NDT_Desc_000358,
20074,1000,0,1,99,0,NDT_Contents_000359,我可怜的弟弟……,NDT_Desc_000359,
20075,1000,0,1,99,0,NDT_Contents_000360,如果是代莫尔利森的一员，无论是谁我们都欢迎.,NDT_Desc_000360,
20076,1000,0,1,99,0,NDT_Contents_000361,……,NDT_Desc_000361,
20077,1000,0,1,99,0,NDT_Contents_000362,作为代莫尔利森的一员应该骄傲.,NDT_Desc_000362,
20078,1000,0,1,99,0,NDT_Contents_000363,……,NDT_Desc_000363,
20079,1000,0,1,99,0,NDT_Contents_000364,……,NDT_Desc_000364,
20080,1000,0,1,99,0,NDT_Contents_000365,忙。我很忙。,NDT_Desc_000365,
20081,1000,0,1,99,0,NDT_Contents_000366,这是怎么回事？,NDT_Desc_000366,
20082,1000,0,1,99,0,NDT_Contents_000367,登加喝？,NDT_Desc_000367,
20083,1000,0,1,99,0,NDT_Contents_000368,很难摆在那里，你感到骄傲的。,NDT_Desc_000368,
20084,1000,0,1,99,0,NDT_Contents_000369,要获得英穆海i宰人总得找我！,NDT_Desc_000369,
20085,1000,0,1,99,0,NDT_Contents_000370,在战场重要的事情要保持身体。教会应该生活得更加一个人，不是吗？,NDT_Desc_000370,
20086,1000,0,1,99,0,NDT_Contents_000371,我们锐利武器奠定了那里绝不逊色。,NDT_Desc_000371,
20087,1000,0,1,99,0,NDT_Contents_000372,谁你想离开你的生活？,NDT_Desc_000372,
20088,1000,0,1,99,0,NDT_Contents_000373,哈氏个你需要什么？凡是！,NDT_Desc_000373,
20089,1000,0,1,99,0,NDT_Contents_000374,你试图要承担合同？,NDT_Desc_000374,
20090,1000,0,1,99,0,NDT_Contents_000375,一旦武器和盔甲，破坏了我。,NDT_Desc_000375,
20091,1000,0,1,99,0,NDT_Contents_000376,我可以帮你无论是什么事情。,NDT_Desc_000376,
20092,1000,0,1,99,0,NDT_Contents_000377,你想拥有更明亮的外观？那么它来了。,NDT_Desc_000377,
20093,1000,0,1,99,0,NDT_Contents_000378,降低祝福你。,NDT_Desc_000378,
20094,1000,0,1,99,0,NDT_Contents_000379,看看什么细一点更多？现在，来了。,NDT_Desc_000379,
20095,1000,0,1,99,0,NDT_Contents_000380,如果没有狂欢的世界不会有乐趣。,NDT_Desc_000380,
20096,1000,0,1,99,0,NDT_Contents_000381,英穆海人摆脱萨萨里！,NDT_Desc_000381,
20097,1000,0,1,99,0,NDT_Contents_000382,你想卖这种东西？让我卖良好的价值。,NDT_Desc_000382,
20098,1000,0,1,99,0,NDT_Contents_000383,请留下你的东西给我。我会保证它的安全。,NDT_Desc_000383,
20099,1000,0,1,99,0,NDT_Contents_000384,拆迁负责我们。,NDT_Desc_000384,
20100,1000,0,1,99,0,NDT_Contents_000385,战斗机是是一台机器，消耗战币支付获得赔偿金作为随机所需评级的项目之一的战场。,NDT_Desc_000385,
20101,1000,0,1,99,0,NDT_Contents_000386,拆迁正在寻找勇敢地走上了字。,NDT_Desc_000386,
20102,1000,0,1,99,0,NDT_Contents_000387,凡将有助于？,NDT_Desc_000387,
20103,1000,0,1,99,0,NDT_Contents_000388,拆迁是我们必须反对和英穆海i斗争。为了我们的孩子，马的未来。,NDT_Desc_000388,
20104,1000,0,1,99,0,NDT_Contents_000389,那么，什么有趣的事？,NDT_Desc_000389,
20105,1000,0,1,99,0,NDT_Contents_000390,这两个光照亮我们四个人。继光希深渊 - 激情人工鱼礁光环?。四会导致这两个英雄。 英穆海i抽签折叠你的头的旗帜走向未来。,NDT_Desc_000390,
20106,1000,0,1,99,0,NDT_Contents_000391,继希腊的和高丽亚我们没有那个和尚。,NDT_Desc_000391,
20107,1000,0,1,99,0,NDT_Contents_000392,创建一个壮举不拆比人才。,NDT_Desc_000392,
20108,1000,0,1,99,0,NDT_Contents_000393,关闭更多制造这很简单。,NDT_Desc_000393,
20109,1000,0,1,99,0,NDT_Contents_000394,炼金术的确方式到无穷大。,NDT_Desc_000394,
20110,1000,0,1,99,0,NDT_Contents_000395,炼金术是不是贪婪的技术，使黄金。它改变的事情，并积极思考的力量。,NDT_Desc_000395,
20111,1000,0,1,99,0,NDT_Contents_000396,我没有间隙忙着说话。,NDT_Desc_000396,
20112,1000,0,1,99,0,NDT_Contents_000397,多少钱保持关闭。不是这个时候。,NDT_Desc_000397,
20113,1000,0,1,99,0,NDT_Contents_000398,花赢得了如此多的强大和困难，使你的东西？新手看起来很不错。,NDT_Desc_000398,
20114,1000,0,1,99,0,NDT_Contents_000399,公会？,NDT_Desc_000399,
20115,1000,0,1,99,0,NDT_Contents_000400,欢迎。随着拆迁的英雄。,NDT_Desc_000400,
20116,1000,0,1,99,0,NDT_Contents_000401,环顾四周，这么多质量的武器。,NDT_Desc_000401,
20117,1000,0,1,99,0,NDT_Contents_000402,他住在战场上的理由穿一件好事！,NDT_Desc_000402,
20118,1000,0,1,99,0,NDT_Contents_000403,我们家的东西当心一天良好的丹尼斯。,NDT_Desc_000403,
20119,1000,0,1,99,0,NDT_Contents_000404,有一个坚固的东西。,NDT_Desc_000404,
20120,1000,0,1,99,0,NDT_Contents_000405,只要告诉！你需要的东西。,NDT_Desc_000405,
20121,1000,0,1,99,0,NDT_Contents_000406,维修工作委托给了我。,NDT_Desc_000406,
20122,1000,0,1,99,0,NDT_Contents_000407,这两种情况可高兴修复它。,NDT_Desc_000407,
20123,1000,0,1,99,0,NDT_Contents_000408,我会尽我所能,NDT_Desc_000408,
20124,1000,0,1,99,0,NDT_Contents_000409,准备仪式。,NDT_Desc_000409,
20125,1000,0,1,99,0,NDT_Contents_000410,试着说你想要的。,NDT_Desc_000410,
20126,1000,0,1,99,0,NDT_Contents_000411,请说说您要的东西,NDT_Desc_000411,
20127,1000,0,1,99,0,NDT_Contents_000412,哼，滚！,NDT_Desc_000412,
20128,1000,0,1,99,0,NDT_Contents_000413,你要去哪里？,NDT_Desc_000413,
20129,1000,0,1,99,0,NDT_Contents_000414,离开它有信心！,NDT_Desc_000414,
20130,1000,0,1,99,0,NDT_Contents_000415,请放心交给我吧！,NDT_Desc_000415,
20131,1000,0,1,99,0,NDT_Contents_000416,禁止闲话。,NDT_Desc_000416,
20132,1000,0,1,99,0,NDT_Contents_000417,呵呵。有力气了吗？,NDT_Desc_000417,
20133,1000,0,1,99,0,NDT_Contents_000418,哈西娜想要什么？如果你只是想要钱。,NDT_Desc_000418,
20134,1000,0,1,99,0,NDT_Contents_000419,怪兽来了邪恶的英穆海继续收紧我们的脖子！所有人起床和打击他们！,NDT_Desc_000419,
20135,1000,0,1,99,0,NDT_Contents_000420,呵呵。是啊，是啊。,NDT_Desc_000420,
20136,1000,0,1,99,0,NDT_Contents_000421,海姆达尔落在像太阳日落，已经消失了四个月一年出等。超越地平线不久前的故事。,NDT_Desc_000421,
20137,1000,0,1,99,0,NDT_Contents_000422,这是悲伤的故事。,NDT_Desc_000422,
20138,1000,0,1,99,0,NDT_Contents_000423,......,NDT_Desc_000423,
20139,1000,0,1,99,0,NDT_Contents_000424,......,NDT_Desc_000424,
20140,1000,0,1,99,0,NDT_Contents_000425,凑合？,NDT_Desc_000425,
20141,1000,0,1,99,0,NDT_Contents_000426,帕拉只简单地,NDT_Desc_000426,
20142,1000,0,1,99,0,NDT_Contents_000427,并非所有谁遵循我的灵巧！,NDT_Desc_000427,
20143,1000,0,1,99,0,NDT_Contents_000428,给它所有的情况下，并在公会。,NDT_Desc_000428,
20144,1000,0,1,99,0,NDT_Contents_000429,...... / n / n发生了什么？,NDT_Desc_000429,
20145,1000,0,1,99,0,NDT_Contents_000430,查找队受欢迎的。认识你很高兴。,NDT_Desc_000430,
20146,1000,0,1,99,0,NDT_Contents_000431,哈哈哈，眼睛。,NDT_Desc_000431,
20147,1000,0,1,99,0,NDT_Contents_000432,这就是所谓的最好的！我来到了正确的地方。,NDT_Desc_000432,
20148,1000,0,1,99,0,NDT_Contents_000433,哈哈。最后yirogun客人。,NDT_Desc_000433,
20149,1000,0,1,99,0,NDT_Contents_000434,现在，你挑。,NDT_Desc_000434,
20150,1000,0,1,99,0,NDT_Contents_000435,没有任何地方。,NDT_Desc_000435,
20151,1000,0,1,99,0,NDT_Contents_000436,所以你看我......我太羞愧了。,NDT_Desc_000436,
20152,1000,0,1,99,0,NDT_Contents_000437,很多好的店铺。,NDT_Desc_000437,
20153,1000,0,1,99,0,NDT_Contents_000438,这是一个很多比其他地方更好。,NDT_Desc_000438,
20154,1000,0,1,99,0,NDT_Contents_000439,你病了？,NDT_Desc_000439,
20155,1000,0,1,99,0,NDT_Contents_000440,这是索巴的作业创建。固化的芽。,NDT_Desc_000440,
20156,1000,0,1,99,0,NDT_Contents_000441,就做一个可以了。,NDT_Desc_000441,
20157,1000,0,1,99,0,NDT_Contents_000442,我有它。,NDT_Desc_000442,
20158,1000,0,1,99,0,NDT_Contents_000443,是什么让你想看到什么？,NDT_Desc_000443,
20159,1000,0,1,99,0,NDT_Contents_000444,你会不会尝试做饭吗？,NDT_Desc_000444,
20160,1000,0,1,99,0,NDT_Contents_000445,有一天我会出去与制造的武器在战场上。,NDT_Desc_000445,
20161,1000,0,1,99,0,NDT_Contents_000446,这是很好的镇定一下自己。不要忽视。,NDT_Desc_000446,
20162,1000,0,1,99,0,NDT_Contents_000447,如果他做了战士应该会明白的。,NDT_Desc_000447,
