TID,WorldTID,MapX,MapY,SectorCountX,SectorCountY,LevelName,Desc,Path
411,4083,0,0,,,恶鬼峡谷(炼狱),完成,Terrain/InstanceDungeon/Amihigh/EvilSpirit_Valley_Hell/
412,4090,0,0,,,黑暗要塞(普通),完成,Terrain/InstanceDungeon/Amihigh/Dark_Fortress/
413,4091,0,0,,,黑暗要塞(困难),完成,Terrain/InstanceDungeon/Amihigh/Dark_Fortress/
414,4092,0,0,,,黑暗要塞(极困难),完成,Terrain/InstanceDungeon/Amihigh/Dark_Fortress/
415,4093,0,0,,,黑暗要塞(炼狱),完成,Terrain/InstanceDungeon/Amihigh/Dark_Fortress_Hell/
416,4400,0,0,,,普利德米尔饲养场(普通),完成,Terrain/InstanceDungeon/Demolition/Bleedmeel_Farm/
417,4401,0,0,,,普利德米尔饲养场(困难),完成,Terrain/InstanceDungeon/Demolition/Bleedmeel_Farm/
418,4402,0,0,,,普利德米尔饲养场(极困难),完成,Terrain/InstanceDungeon/Demolition/Bleedmeel_Farm/
419,4403,0,0,,,普利德米尔饲养场(炼狱),完成,Terrain/InstanceDungeon/Demolition/Bleedmeel_Farm_Hell/
420,4410,0,0,,,恩蒂温圣所(普通),完成,Terrain/InstanceDungeon/Demolition/Entyon_Sanctum/
421,4411,0,0,,,恩蒂温圣所(困难),完成,Terrain/InstanceDungeon/Demolition/Entyon_Sanctum/
422,4412,0,0,,,恩蒂温圣所(极困难),完成,Terrain/InstanceDungeon/Demolition/Entyon_Sanctum/
423,4413,0,0,,,恩蒂温圣所(炼狱),完成,Terrain/InstanceDungeon/Demolition/Entyon_Sanctum_Hell/
424,4420,0,0,,,冰冷的洞窟(普通),完成,Terrain/InstanceDungeon/Demolition/frozen_cave/
425,4421,0,0,,,冰冷的洞窟(困难),完成,Terrain/InstanceDungeon/Demolition/frozen_cave/
426,4422,0,0,,,冰冷的洞窟(极困难),完成,Terrain/InstanceDungeon/Demolition/frozen_cave/
427,4423,0,0,,,冰冷的洞窟(炼狱),完成,Terrain/InstanceDungeon/Demolition/frozen_cave_Hell/
428,4430,0,0,,,冰封的狼城(普通),完成,Terrain/InstanceDungeon/Demolition/frozenwolf_castle/
429,4431,0,0,,,冰封的狼城(困难),完成,Terrain/InstanceDungeon/Demolition/frozenwolf_castle/
430,4432,0,0,,,冰封的狼城(极困难),完成,Terrain/InstanceDungeon/Demolition/frozenwolf_castle/
431,4433,0,0,,,冰封的狼城(炼狱),完成,Terrain/InstanceDungeon/Demolition/frozenwolf_castle_Hell/
432,4440,0,0,,,哈比人的乐园(普通),完成,Terrain/InstanceDungeon/Demolition/Harpy_Paradise/
433,4441,0,0,,,哈比人的乐园(困难),完成,Terrain/InstanceDungeon/Demolition/Harpy_Paradise/
434,4442,0,0,,,哈比人的乐园(极困难),完成,Terrain/InstanceDungeon/Demolition/Harpy_Paradise/
435,4443,0,0,,,哈比人的乐园(炼狱),完成,Terrain/InstanceDungeon/Demolition/Harpy_Paradise_Hell/
436,4450,0,0,,,暴风古城(普通),完成,Terrain/InstanceDungeon/Demolition/Tempest_Castle/
437,4451,0,0,,,暴风古城(困难),完成,Terrain/InstanceDungeon/Demolition/Tempest_Castle/
438,4452,0,0,,,暴风古城(极困难),完成,Terrain/InstanceDungeon/Demolition/Tempest_Castle/
439,4453,0,0,,,暴风古城(炼狱),完成,Terrain/InstanceDungeon/Demolition/Tempest_Castle_Hell/
440,4460,0,0,,,战士们的圣地,完成,Terrain/InstanceDungeon/Demolition/Shrine_Warrior/
441,4461,0,0,,,战士们的圣地,完成,Terrain/InstanceDungeon/Demolition/Shrine_Warrior/
442,4462,0,0,,,战士们的圣地,完成,Terrain/InstanceDungeon/Demolition/Shrine_Warrior/
443,4463,0,0,,,战士们的圣地,完成,Terrain/InstanceDungeon/Demolition/Shrine_Warrior_Hell/
444,4470,0,0,,,红顶火山洞穴,完成,Terrain/InstanceDungeon/Demolition/Redhead_Lavacave/
445,4471,0,0,,,红顶火山洞穴,完成,Terrain/InstanceDungeon/Demolition/Redhead_Lavacave/
446,4472,0,0,,,红顶火山洞穴,完成,Terrain/InstanceDungeon/Demolition/Redhead_Lavacave/
447,4473,0,0,,,红顶火山洞穴,完成,Terrain/InstanceDungeon/Demolition/Redhead_Lavacave_Hell/
448,4480,0,0,,,灰色半兽人村庄(普通),完成,Terrain/InstanceDungeon/Demolition/Gray_Kentauros/
449,4481,0,0,,,灰色半兽人村庄(困难),完成,Terrain/InstanceDungeon/Demolition/Gray_Kentauros/
450,4482,0,0,,,灰色半兽人村庄(极困难),完成,Terrain/InstanceDungeon/Demolition/Gray_Kentauros/
451,4483,0,0,,,灰色半兽人村庄(炼狱),完成,Terrain/InstanceDungeon/Demolition/Gray_Kentauros_Hell/
452,4490,0,0,,,光之地下庭院 (普通),完成,Terrain/InstanceDungeon/Demolition/Warmlight_Garden/
453,4491,0,0,,,光之地下庭院(困难),完成,Terrain/InstanceDungeon/Demolition/Warmlight_Garden/
454,4492,0,0,,,光之地下庭院(极困难),完成,Terrain/InstanceDungeon/Demolition/Warmlight_Garden/
455,4493,0,0,,,光之地下庭院(炼狱),完成,Terrain/InstanceDungeon/Demolition/Warmlight_Garden_Hell/
456,4500,0,0,,,倒塌的梦之缝隙(普通),完成,Terrain/InstanceDungeon/Battle_Field/GapofDreams/
457,4501,0,0,,,倒塌的梦之缝隙(困难),完成,Terrain/InstanceDungeon/Battle_Field/GapofDreams/
458,4502,0,0,,,倒塌的梦之缝隙(极困难),完成,Terrain/InstanceDungeon/Battle_Field/GapofDreams/
459,4503,0,0,,,倒塌的梦之缝隙(炼狱),完成,Terrain/InstanceDungeon/Battle_Field/GapofDreams_Hell/
460,4510,0,0,,,蓝光洞窟(普通),完成,Terrain/InstanceDungeon/Battle_Field/PurpleCave/
461,4511,0,0,,,蓝光洞窟(困难),完成,Terrain/InstanceDungeon/Battle_Field/PurpleCave/
462,4512,0,0,,,蓝光洞窟(极困难),完成,Terrain/InstanceDungeon/Battle_Field/PurpleCave/
463,4513,0,0,,,蓝光洞窟(炼狱),完成,Terrain/InstanceDungeon/Battle_Field/PurpleCave_Hell/
464,4700,0,0,,,恶魔祭坛(普通),完成,Terrain/InstanceDungeon/Raid/Nightmareofthealtar/000_000/
465,4700,1,0,,,恶魔祭坛(普通),完成,Terrain/InstanceDungeon/Raid/Nightmareofthealtar/100_000/
466,4701,0,0,,,恶魔祭坛(困难),完成,Terrain/InstanceDungeon/Raid/Nightmareofthealtar/
467,4702,0,0,,,恶魔祭坛(极困难),完成,Terrain/InstanceDungeon/Raid/Nightmareofthealtar/
468,4703,0,0,,,恶魔祭坛(炼狱),完成,Terrain/InstanceDungeon/Raid/Nightmareofthealtar/
469,4800,0,0,,,Lv.5[组队]扭曲的时光洞窟(普通),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
470,4801,0,0,,,Lv.5[组队]扭曲的时光洞窟(困难),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
471,4802,0,0,,,Lv.5[组队]扭曲的时光洞窟(极困难),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
472,4803,0,0,,,Lv.5[组队]扭曲的时光洞窟(炼狱),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
473,4810,0,0,,,Lv.10[组队]扭曲的时间花园 (普通),完成,Terrain/InstanceDungeon/Party/Time_Forests/
474,4811,0,0,,,Lv.10[组队]扭曲的时间花园 (困难),完成,Terrain/InstanceDungeon/Party/Time_Forests/
475,4812,0,0,,,Lv.10[组队]扭曲的时间花园 (极困难),完成,Terrain/InstanceDungeon/Party/Time_Forests/
476,4813,0,0,,,Lv.10[组队]扭曲的时间花园 (炼狱),完成,Terrain/InstanceDungeon/Party/Time_Forests/
477,4820,0,0,,,Lv.15[组队]扭曲的时光洞窟(普通),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
478,4821,0,0,,,Lv.15[组队]扭曲的时光洞窟(困难),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
479,4822,0,0,,,Lv.15[组队]扭曲的时光洞窟(极困难),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
480,4823,0,0,,,Lv.15[组队]扭曲的时光洞窟(炼狱),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
481,4830,0,0,,,Lv.20[组队]扭曲的时间花园 (普通),完成,Terrain/InstanceDungeon/Party/Time_Forests/
482,4831,0,0,,,Lv.20[组队]扭曲的时间花园 (困难),完成,Terrain/InstanceDungeon/Party/Time_Forests/
483,4832,0,0,,,Lv.20[组队]扭曲的时间花园 (极困难),完成,Terrain/InstanceDungeon/Party/Time_Forests/
484,4833,0,0,,,Lv.20[组队]扭曲的时间花园 (炼狱),完成,Terrain/InstanceDungeon/Party/Time_Forests/
485,4840,0,0,,,Lv.25[组队]扭曲的时光洞窟(普通),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
486,4841,0,0,,,Lv.25[组队]扭曲的时光洞窟(困难),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
487,4842,0,0,,,Lv.25[组队]扭曲的时光洞窟(极困难),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
488,4843,0,0,,,Lv.25[组队]扭曲的时光洞窟(炼狱),完成,Terrain/InstanceDungeon/Party/Time_Caverns/
489,4850,0,0,,,Lv.30[组队]扭曲的时间花园 (普通),完成,Terrain/InstanceDungeon/Party/Time_Forests/
490,4851,0,0,,,Lv.30[组队]扭曲的时间花园 (困难),完成,Terrain/InstanceDungeon/Party/Time_Forests/
491,4852,0,0,,,Lv.30[组队]扭曲的时间花园 (极困难),完成,Terrain/InstanceDungeon/Party/Time_Forests/
492,4853,0,0,,,Lv.30[组队]扭曲的时间花园 (炼狱),完成,Terrain/InstanceDungeon/Party/Time_Forests/
493,4900,0,0,,,克罗西亚竞技场,完成,Terrain/BattleField/ColosseumOfGrasia/
494,4905,0,0,,,大规模战场,完成,Terrain/InstanceDungeon/Test_Battle/000_000/
495,4905,0,1,,,大规模战场,完成,Terrain/InstanceDungeon/Test_Battle/000_100/
496,4905,1,0,,,大规模战场,完成,Terrain/InstanceDungeon/Test_Battle/100_000/
497,4905,1,1,,,大规模战场,完成,Terrain/InstanceDungeon/Test_Battle/100_100/
498,4905,1,1,,,大规模战场,完成,Terrain/InstanceDungeon/Test_Battle/100_100/
499,1141,0,0,,,CTF,完成,Terrain/BattleField/Occupation/
