TID,String,EngTitle,LocalTitle,EngContents,LocalContents,FontColor,FontSize,EngDesc,LocalDesc
123,BOX_CONNECTION_OFF,MBT_Title_000123,不可连接,MBT_Contents_000123,<TC '255:198:0' Text'请使用正常方法连接!'/>,"255,0,0",10,MBT_Desc_000123,网络运行不畅，连接的情况
124,BOX_SUBPASSWORD_SET,MBT_Title_000124,设置,MBT_Contents_000124,<TC '255:198:0' Text'要设置2级密码吗?'/>,"255,0,0",10,MBT_Desc_000124,2级密码设置
125,BOX_SUBPASSWORD_CHANGE,MBT_Title_000125,变更,MBT_Contents_000125,<TC '255:198:0' Text'要变更2级密码吗?'/>,"255,0,0",10,MBT_Desc_000125,2级密码变更
126,BOX_SUBPASSWORD_CANCEL,MBT_Title_000126,解除,MBT_Contents_000126,<TC '255:198:0' Text'要解除2级密码吗?'/>,"255,0,0",10,MBT_Desc_000126,2级密码解除
127,BOX_CERTIFY_DIFFSUBPSWD,MBT_Title_000127,二级密码,MBT_Contents_000127,<TC '255:198:0' Text'输入的信息不正确.'/>,"235,203,147",10,MBT_Desc_000127,2级密码不正确
128,BOX_ACCOUNTSUBPW_INVALID,MBT_Title_000128,二级密码,MBT_Contents_000128,<TC '255:198:0' Text'认证失败.请重新设置!'/>,"235,203,147",10,MBT_Desc_000128,DB错误
129,BOX_ACCOUNTSUBPW_REG,MBT_Title_000129,二级密码,MBT_Contents_000129,<TC '255:198:0' Text'密码已经设置好了.'/>,"235,203,147",10,MBT_Desc_000129,2级密码登录失败
130,BOX_ACCOUNTSUBPW_CHANGE,MBT_Title_000130,二级密码,MBT_Contents_000130,<TC '255:198:0' Text'输入的信息不正确.'/>,"235,203,147",10,MBT_Desc_000130,2级密码变更失败
131,BOX_ACCOUNTSUBPW_UNREG,MBT_Title_000131,二级密码,MBT_Contents_000131,<TC '255:198:0' Text'没有设置密码.设置后请重新试一下.'/>,"235,203,147",10,MBT_Desc_000131,2级密码解除失败
132,BOX_ACCOUNTSUBPW_CHECK,MBT_Title_000132,二级密码,MBT_Contents_000132,<TC '255:198:0' Text'输入的信息不正确.'/>,"235,203,147",10,MBT_Desc_000132,2级密码确认失败
133,BOX_HEALING_QUESTION,MBT_Title_000133,治愈,MBT_Contents_000133,<TC '255:198:0' Text'要恢复吗?'/>,"235,203,147",10,MBT_Desc_000133,治疗师选择-治疗确认信息框
134,BOX_WAR_ARCHLORD,MBT_Title_000134,安克罗德争夺战,MBT_Contents_000134,<TC '255:198:0' Text'[安克罗德争夺战]/n确定入场吗?'/>,"255,0,0",10,MBT_Desc_000134,安克罗德争夺战入场信息框
135,BOX_ITEMBREAK_GRADE,MBT_Title_000135,分解,MBT_Contents_000135,<TC '255:198:0' Text'相关物品确定要分解吗?/n分解的物品不可能恢复.'/>,"255,0,0",10,MBT_Desc_000135,解散确定消息
136,BOX_CHANNEL_CHANGE,MBT_Title_000136,频道变更,MBT_Contents_000136,<TC '255:198:0' Text'要向选择的频道移动吗?'/>,"255,0,0",10,MBT_Desc_000136,频道选择确认消息
137,BOX_RANK_JOIN,MBT_Title_000137,加入排名,MBT_Contents_000137,<TC '255:198:0' Text'向确认点击的网页移动./n要移动吗?'/>,"255,0,0",10,MBT_Desc_000137,网站排名确认消息框
138,BOX_UNBIND_FAIL_ALREADY,MBT_Title_000138,绑定解除,MBT_Contents_000138,<TC '255:198:0' Text'已经解除绑定/n是无法绑定解除的物品.'/>,"255,0,0",10,MBT_Desc_000138,绑定解除状态，无法解除对象试图解除绑定时
139,BOX_UNBIND_FAIL_EQUIP,MBT_Title_000139,绑定解除,MBT_Contents_000139,<TC '255:198:0' Text'安装中的物品/n无法解除绑定.'/>,"255,0,0",10,MBT_Desc_000139,安装中物品试图解除绑定
140,BOX_UNBIND_FAIL_COUNT,MBT_Title_000140,绑定解除,MBT_Contents_000140,<TC '255:198:0' Text'超过绑定解除可能的次数.'/>,"255,0,0",10,MBT_Desc_000140,限制解除绑定次数试图解除超过的物品时
141,BOX_UNBIND_FAIL_DURABILITY,MBT_Title_000141,绑定解除,MBT_Contents_000141,<TC '255:198:0' Text'消耗的物品/n无法解除绑定.'/>,"255,0,0",10,MBT_Desc_000141,试图解除消耗格局物品绑定时
142,BOX_UNBIND_FAIL_NEED,MBT_Title_000142,绑定解除,MBT_Contents_000142,<TC '255:198:0' Text'解除绑定必要的/n物品个数不足./n/n必要绑定解除物品个数 : $GetValue1()个'/>,"255,0,0",10,MBT_Desc_000142,解除绑定物品个数不足时
143,BOX_UNBIND_ITEM,MBT_Title_000143,绑定解除,MBT_Contents_000143,<TC '255:198:0' Text'[$GetValue1()]/n要解除绑定物品吗?/n/n必要绑定解除物品个数: $GetValue2()个'/>,"255,0,0",10,MBT_Desc_000143,解除绑定时确认信息框
144,BOX_CASHSHOP_PURCHASE,MBT_Title_000144,购买/礼物确认前介绍,MBT_Contents_000144,<TC '255:198:0' Text'包含无法使用的物品./n再次继续进行购买礼物吗?'/>,"255,0,0",10,MBT_Desc_000144,在商品目录上包含自己无法使用的物品时确认信息框
145,BOX_CASHSHOP_ACCOUNT_SUCCESS,MBT_Title_000145,购买确认,MBT_Contents_000145,<TC '255:198:0' Text'物品以正常状态/n购买./n请确认.'/>,"255,0,0",10,MBT_Desc_000145,正常结算时确认消息框
146,BOX_CASHSHOP_GIFT_SUCCESS,MBT_Title_000146,物品确认,MBT_Contents_000146,<TC '255:198:0' Text'将物品当做正常礼物.'/>,"255,0,0",10,MBT_Desc_000146,礼物正常完成确认信息框
147,BOX_CASHSHOP_PURCHASE_FAIL,MBT_Title_000147,同意填充,MBT_Contents_000147,<TC '255:198:0' Text'拥有现金不足./n向填充页面移动吗?'/>,"255,0,0",10,MBT_Desc_000147,拥有现金不足向充钱页面移动信息框
148,BOX_CASHSHOP_ITEM_USE,MBT_Title_000148,移动缓存资料,MBT_Contents_000148,<TC '255:198:0' Text'往缓存资金/n移动吗??/n/n用缓存资金移动物品无法返还.'/>,"255,0,0",10,MBT_Desc_000148,购买礼物及收费物品使用缓存保管箱移动确认信息框
149,BOX_CASHSHOP_LIMIT_NOTBUY,MBT_Title_000149,结束销售,MBT_Contents_000149,<TC '255:198:0' Text'[$GetValue1()]物品的/n销售结束无法购入.'/>,"255,0,0",10,MBT_Desc_000149,销售结束试图购买物品
150,BOX_CASHSHOP_TIME_RENEW,MBT_Title_000150,商店收费更新,MBT_Contents_000150,<TC '255:198:0' Text'收费物品清单正在更新.'/>,"255,0,0",10,MBT_Desc_000150,收费物品更新中输出
151,BOX_UNUSUAL_PCKICKONE,MBT_Title_000151,使用非正常程序,MBT_Contents_000151,<TC '255:198:0' Text'感知非正常程序内容./n /n程序结束.'/>,"255,0,0",10,MBT_Desc_000151,非正常活动使用的信息框
152,BOX_EVENT_CANT_MORE_CREATE,MBT_Title_000152,词汇生成活动,MBT_Contents_000152,<TC '255:198:0' Text'照片生成期间 /n只能生成1个角色.'/>,"255,0,0",10,MBT_Desc_000152,角色创建的活动信息框(角色超过1个生成错误信息)(活动结束后删除)
153,BOX_EVENT_NOTJOIN,MBT_Title_000153,词汇生成活动,MBT_Contents_000153,<TC '255:198:0' Text'正式服务开启后 /n才可以利用.'/>,"255,0,0",10,MBT_Desc_000153,角色创建的活动信息框(游戏开始试图将错误信息)(活动结束后删除)
154,BOX_REPAIRITEM_USE,MBT_Title_000154,便携式修理工具,MBT_Contents_000154,<TC '255:198:0' Text'要修理选择的物品吗?/n消耗便携式修理工具.'/>,"255,0,0",10,MBT_Desc_000154,使用便携式修理工具
155,BOX_REPORT_HOMEPAGE,MBT_Title_000155,疑问/申告,MBT_Contents_000155,<TC '255:198:0' Text'向确认点击网页移动./n要移动吗?'/>,"255,0,0",10,MBT_Desc_000155,咨询/举报双击按钮时出现信息框
156,BOX_CHARACTER_CHANGE_NAME,MBT_Title_000156,人物姓名变更,MBT_Contents_000156,<TC '255:198:0' Text'输入变更的名称'/>,"255,0,0",10,MBT_Desc_000156,角色名称变更时输出信息盒子
157,BOX_GUILD_CHANGE_NAME,MBT_Title_000157,公会名称变更,MBT_Contents_000157,<TC '255:198:0' Text'输入变更的公会名称'/>,"255,0,0",10,MBT_Desc_000157,公会名称变更时输出信息盒子
158,BOX_CASHSHOP_SECURITY_LIMIT,MBT_Title_000158,限制缓存使用,MBT_Contents_000158,<TC '255:198:0' Text'在相关游戏中不可以使用现金你的服务>网络现金>请在现金保护设置菜单中设置'/>,"255,0,0",10,MBT_Desc_000158,无法设置使用现金时在游戏中试图使用现金输出信息箱
159,BOX_CASHSHOP_TESTSERVER_NOTCHARGE,,不可充钱,,<TC '255:198:0' Text'相关服务器中无法使用该技能.'/>,"255,0,0",10,,在测试服务器不可充钱
160,BOX_AUTOCHECK_BLOCK,,不可连接,,<TC '255:198:0' Text'用奥托判断./n相关账户 $GetValue1()小时内/n无法连接.'/>,,,,
