TID,Comment,Owner,Trigger,Target,Action,ConUnion,ConLevel,ConQuest,Loop,TriggerMessageTarget,TriggerMessage
1007,深渊神殿(极困难)斯蒂尔普瑞斯西门入口 堕落的守护者(一般)死亡时铁窗门开,Place|10098,OnDie,Place|34205,ChangeState|2,0,0,0,0,,
1008,深渊神殿(极困难)斯蒂尔普瑞斯西门入口 堕落的守护者(一般)死亡时铁窗门开,Place|10099,OnDie,Place|34206,ChangeState|2,0,0,0,0,,
1009,深渊神殿(极困难)斯蒂尔普瑞斯西门入口 堕落的守护者(一般)死亡时铁窗门开,Place|10104,OnDie,Place|34207,ChangeState|2,0,0,0,0,,
1010,深渊神殿(地狱) 点击杠杆时 门开1,Place|49528,OnClick,Place|49526,ChangeState|0,0,0,0,0,,
1011,深渊神殿(地狱) 点击杠杆时 门开2,Place|49529,OnClick,Place|49527,ChangeState|0,0,0,0,0,,
1101,战士们的圣地(普通) 阿坎斯斯蒂尔普瑞斯西门入口 出发的话 boss约翰到达,Area|50106,OnEnter,Actor,JumpArea|50107,0,0,0,0,,
1102,战士们的圣地(普通) boss约翰斯蒂尔普瑞斯西门入口 出发的话 阿坎斯内到达,Area|50108,OnEnter,Actor,JumpArea|50109,0,0,0,0,,
1103,战士们的圣地(困难) 阿坎斯斯蒂尔普瑞斯西门入口 出发的话 boss约翰内到达,Area|50110,OnEnter,Actor,JumpArea|50111,0,0,0,0,,
1104,战士们的圣地(困难) boss约翰斯蒂尔普瑞斯西门入口 出发的话 阿坎斯内到达,Area|50112,OnEnter,Actor,JumpArea|50113,0,0,0,0,,
1105,战士们的圣地(极困难) 阿坎斯斯蒂尔普瑞斯西门入口 出发的话 boss约翰内到达,Area|50114,OnEnter,Actor,JumpArea|50115,0,0,0,0,,
1106,战士们的圣地(极困难) boss约翰斯蒂尔普瑞斯西门入口 出发的话 阿坎斯内到达,Area|50116,OnEnter,Actor,JumpArea|50117,0,0,0,0,,
1201,火龙巢穴(困难) 飞龙巢穴  斯蒂尔普瑞斯西门入口 出发的话火焰之湖到达,Area|50126,OnEnter,Actor,JumpArea|50127,0,0,0,0,,
1202,火龙巢穴(困难)火焰之湖斯蒂尔普瑞斯西门入口 出发的话 飞龙巢穴  到达,Area|50128,OnEnter,Actor,JumpArea|50129,0,0,0,0,,
1203,火龙巢穴(极困难) 飞龙巢穴  斯蒂尔普瑞斯西门入口 出发的话火焰之湖到达,Area|50130,OnEnter,Actor,JumpArea|50131,0,0,0,0,,
1204,火龙巢穴(极困难)火焰之湖斯蒂尔普瑞斯西门入口 出发的话 飞龙巢穴  到达,Area|50132,OnEnter,Actor,JumpArea|50133,0,0,0,0,,
1205,火龙巢穴(普通)火焰之湖斯蒂尔普瑞斯西门入口 出发的话 boss约翰到达,Area|50138,OnEnter,Actor,JumpArea|50139,0,0,0,0,,
1206,火龙巢穴(普通) boss约翰斯蒂尔普瑞斯西门入口 出发的话火焰之湖到达,Area|50140,OnEnter,Actor,JumpArea|50141,0,0,0,0,,
1207,火龙巢穴(困难)火焰之湖斯蒂尔普瑞斯西门入口 出发的话 boss约翰到达,Area|50142,OnEnter,Actor,JumpArea|50143,0,0,0,0,,
1208,火龙巢穴(困难) boss约翰斯蒂尔普瑞斯西门入口 出发的话火焰之湖到达,Area|50144,OnEnter,Actor,JumpArea|50145,0,0,0,0,,
1209,火龙巢穴(极困难)火焰之湖斯蒂尔普瑞斯西门入口 出发的话 boss约翰到达,Area|50146,OnEnter,Actor,JumpArea|50147,0,0,0,0,,
1210,火龙巢穴(极困难) boss约翰斯蒂尔普瑞斯西门入口 出发的话火焰之湖到达,Area|50148,OnEnter,Actor,JumpArea|50149,0,0,0,0,,
1301,哈比人的乐园(普通)照看仓库(命名)死亡时绿色防烟门消失,Place|25478,OnDie,Place|40135|40136,ChangeState|2,0,0,0,0,,
1302,哈比人的乐园(困难)展看仓库(命名)死亡时绿色防烟门消失,Place|25660,OnDie,Place|40137|40138,ChangeState|2,0,0,0,0,,
1303,哈比人的乐园(极困难)照看仓库(命名)死亡时绿色防烟门消失,Place|25810,OnDie,Place|40139|40140,ChangeState|2,0,0,0,0,,
1401,死亡寺院(普通)斯蒂尔普瑞斯西门入口 点击杠杆的话铁窗门开,Place|40146,OnClick,Place|40143|40145,ChangeState|0,0,0,0,0,,
1402,死亡寺院(困难)斯蒂尔普瑞斯西门入口 点击杠杆的话铁窗门开,Place|40149,OnClick,Place|40147|40148,ChangeState|0,0,0,0,0,,
1403,死亡寺院(极困难)斯蒂尔普瑞斯西门入口 点击杠杆的话铁窗门开,Place|40152,OnClick,Place|40150|40151,ChangeState|0,0,0,0,0,,
1404,死亡寺院(普通)斯蒂尔普瑞斯西门入口 项目铁窗门 点击的话开 (boss约翰附近),Place|40159,OnClick,Owner,ChangeState|0,0,0,0,0,,
1405,死亡寺院(困难)斯蒂尔普瑞斯西门入口 项目铁窗门 点击的话开 (boss约翰附近),Place|40160,OnClick,Owner,ChangeState|0,0,0,0,0,,
1406,死亡寺院(极困难)斯蒂尔普瑞斯西门入口 项目铁窗门 点击的话开 (boss约翰附近),Place|40161,OnClick,Owner,ChangeState|0,0,0,0,0,,
1501,阿罗汉浮游城(普通)斯蒂尔普瑞斯西门入口 训练队长 塞勒克_圆形构造内怪物全部消灭时 门 开,Place|23866|23869|23877|23865|23874|23864|23868|23878|23862|23875|23876|23879,OnDie,Place|40163,ChangeState|2,0,0,0,0,,
1502,阿罗汉浮游城(困难)斯蒂尔普瑞斯西门入口 训练队长 塞勒克_圆形构造内怪物全部消灭时 门 开,Place|23970|23969|23972|23975|23974|23971|23966|23977|23973|23976|23978|23968,OnDie,Place|40165,ChangeState|2,0,0,0,0,,
1503,阿罗汉浮游城(极困难)斯蒂尔普瑞斯西门入口 训练队长 塞勒克_圆形构造内怪物全部消灭时  门 开,Place|24068|24071|24065|24066|24062|24073|24069|24064|24072|24074|24067|24070,OnDie,Place|40167,ChangeState|2,0,0,0,0,,
1504,阿罗汉浮游城(普通)斯蒂尔普瑞斯西门入口祝福的特别主管(命名)死亡时铁窗门消失,Place|23915,OnDie,Place|40175,ChangeState|2,0,0,0,0,,
1505,阿罗汉浮游城(困难)斯蒂尔普瑞斯西门入口祝福的特别主管(命名)死亡时铁窗门消失,Place|24013,OnDie,Place|40176,ChangeState|2,0,0,0,0,,
1506,阿罗汉浮游城(极困难)斯蒂尔普瑞斯西门入口祝福的特别主管(命名)死亡时铁窗门消失,Place|24109,OnDie,Place|40177,ChangeState|2,0,0,0,0,,
1507,阿罗汉浮游城(普通) 点击杠杆时 克里塞德(命名)房间入场,Place|40179,OnClick,Place|40180,ChangeState|0,0,0,0,0,,
1508,阿罗汉浮游城(困难) 点击杠杆时 克里塞德(命名)房间入场,Place|40183,OnClick,Place|40184,ChangeState|0,0,0,0,0,,
1509,阿罗汉浮游城(困难) 点击杠杆时 克里塞德(命名)房间,Place|40185,OnClick,Place|40186,ChangeState|0,0,0,0,0,,
1510,阿罗汉浮游城(极困难) 点击杠杆时 克里塞德(命名)房间入场,Place|40187,OnClick,Place|40188,ChangeState|0,0,0,0,0,,
1511,阿罗汉浮游城(极困难) 点击杠杆时 克里塞德(命名)房间出去,Place|40189,OnClick,Place|40190,ChangeState|0,0,0,0,0,,
1512,阿罗汉浮游城(普通) 点击杠杆时 阿罗汉(boss)房间入场,Place|40197,OnClick,Place|40196,ChangeState|0,0,0,0,0,,
1513,阿罗汉浮游城(困难) 点击杠杆时 阿罗汉(boss)房间入场,Place|40199,OnClick,Place|40198,ChangeState|0,0,0,0,0,,
1514,阿罗汉浮游城(极困难) 点击杠杆时 阿罗汉(boss)房间入场,Place|40201,OnClick,Place|40200,ChangeState|0,0,0,0,0,,
1601,暴风古城(普通)铁窗门 项目 点击时 门开,Place|40204,OnClick,Owner,ChangeState|0,0,0,0,0,,
1602,暴风古城(普通)铁窗门 项目 点击时 门开,Place|40205,OnClick,Owner,ChangeState|0,0,0,0,0,,
1603,暴风古城(普通)内 一般消灭时  门开(boss房间移动的路),Place|39280,OnDie,Place|40206,ChangeState|2,0,0,0,0,,
1604,暴风古城(困难)铁窗门 项目 点击时 门开,Place|40207,OnClick,Owner,ChangeState|0,0,0,0,0,,
1605,暴风古城(困难)铁窗门 项目 点击时 门开,Place|40208,OnClick,Owner,ChangeState|0,0,0,0,0,,
1606,暴风古城(困难)内 一般消灭时  门开(boss房间移动的路),Place|39406,OnDie,Place|40209,ChangeState|2,0,0,0,0,,
1607,暴风古城(极困难)铁窗门 项目 点击时 门开,Place|40210,OnClick,Owner,ChangeState|0,0,0,0,0,,
1608,暴风古城(极困难)铁窗门 项目 点击时 门开,Place|40211,OnClick,Owner,ChangeState|0,0,0,0,0,,
1609,暴风古城(极困难)内 一般消灭时  门开(boss房间移动的路),Place|39532,OnDie,Place|40212,ChangeState|2,0,0,0,0,,
1610,暴风古城(普通) 布雷斯被消灭时 监狱门1开,Place|27852,OnDie,Place|41426,ChangeState|2,0,0,0,0,,
1611,暴风古城(普通) 布列斯特消灭时 监狱门2开,Place|27856,OnDie,Place|41427,ChangeState|2,0,0,0,0,,
1612,暴风古城(普通) 布雷斯被消灭时 监狱门3开,Place|27858,OnDie,Place|41428,ChangeState|2,0,0,0,0,,
1613,暴风古城(普通) 布雷斯被消灭时 监狱门4开,Place|27860,OnDie,Place|41429,ChangeState|2,0,0,0,0,,
1614,暴风古城(普通) 布雷斯被消灭时 监狱门5开,Place|27850,OnDie,Place|41430,ChangeState|2,0,0,0,0,,
1615,暴风古城(普通) 布雷斯被消灭时 监狱门6开,Place|27863,OnDie,Place|41431,ChangeState|2,0,0,0,0,,
1616,暴风古城(普通) 布雷斯被消灭时 监狱门7开,Place|27873,OnDie,Place|41432,ChangeState|2,0,0,0,0,,
1617,暴风古城(困难) 布雷斯被消灭时 监狱门1开,Place|39350,OnDie,Place|41433,ChangeState|2,0,0,0,0,,
1618,暴风古城(困难) 布雷斯被消灭时 监狱门2开,Place|39353,OnDie,Place|41434,ChangeState|2,0,0,0,0,,
1619,暴风古城(困难) 布雷斯被消灭时 监狱门3开,Place|39355,OnDie,Place|41435,ChangeState|2,0,0,0,0,,
1620,暴风古城(困难) 布雷斯被消灭时 监狱门4开,Place|39357,OnDie,Place|41436,ChangeState|2,0,0,0,0,,
1621,暴风古城(困难) 布雷斯被消灭时 监狱门5开,Place|39348,OnDie,Place|41437,ChangeState|2,0,0,0,0,,
1622,暴风古城(困难) 布雷斯被消灭时 监狱门6开,Place|39360,OnDie,Place|41438,ChangeState|2,0,0,0,0,,
1623,暴风古城(困难) 布雷斯被消灭时 监狱门7开,Place|39370,OnDie,Place|41439,ChangeState|2,0,0,0,0,,
1624,暴风古城(极困难) 布雷斯被消灭时 监狱门1开,Place|39476,OnDie,Place|41440,ChangeState|2,0,0,0,0,,
1625,暴风古城(极困难) 布雷斯被消灭时 监狱门2开,Place|39480,OnDie,Place|41441,ChangeState|2,0,0,0,0,,
1626,暴风古城(极困难) 布雷斯被消灭时 监狱门3开,Place|39481,OnDie,Place|41442,ChangeState|2,0,0,0,0,,
1627,暴风古城(极困难) 布雷斯被消灭时 监狱门4开,Place|39483,OnDie,Place|41443,ChangeState|2,0,0,0,0,,
1628,暴风古城(极困难) 布雷斯被消灭时 监狱门5开,Place|39475,OnDie,Place|41444,ChangeState|2,0,0,0,0,,
1629,暴风古城(极困难) 布雷斯被消灭时 监狱门6开,Place|39485,OnDie,Place|41445,ChangeState|2,0,0,0,0,,
1630,暴风古城(极困难) 布雷斯被消灭时 监狱门7开,Place|39488,OnDie,Place|41446,ChangeState|2,0,0,0,0,,
1701,红顶火山洞穴(普通)斯蒂尔普瑞斯西门入口 普罗卡(命名)消灭时 愤怒的房间 门开,Place|26925,OnDie,Place|40216,ChangeState|2,0,0,0,0,,
1702,红顶火山洞穴(普通)斯蒂尔普瑞斯西门入口 毛吐司(命名)消灭时 灼热的房间 门开,Place|26959,OnDie,Place|40218|40219,ChangeState|2,0,0,0,0,,
1704,红顶火山洞穴(困难)斯蒂尔普瑞斯西门入口 普罗卡(命名)消灭时 愤怒的房间 门开,Place|27050,OnDie,Place|40221,ChangeState|2,0,0,0,0,,
1705,红顶火山洞穴(困难)斯蒂尔普瑞斯西门入口 毛吐司(命名)消灭时 灼热的房间 门开,Place|27084,OnDie,Place|40223|40224,ChangeState|2,0,0,0,0,,
1706,红顶火山洞穴(困难)斯蒂尔普瑞斯西门入口 普慕斯(命名)消灭时 火花的房间 门开,Place|27115,OnDie,Place|40222,ChangeState|2,0,0,0,0,,
1707,红顶火山洞穴(极困难)斯蒂尔普瑞斯西门入口 普罗卡(命名)消灭时 愤怒的房间 门开,Place|27175,OnDie,Place|40226,ChangeState|2,0,0,0,0,,
1708,红顶火山洞穴(极困难)斯蒂尔普瑞斯西门入口 毛吐司(命名)消灭时 灼热的房间 门开,Place|27209,OnDie,Place|40228|40229,ChangeState|2,0,0,0,0,,
1709,红顶火山洞穴(极困难)斯蒂尔普瑞斯西门入口 普慕斯(命名)消灭时 火花的房间 门开,Place|27240,OnDie,Place|40227,ChangeState|2,0,0,0,0,,
1710,红顶火山洞穴(普通) 卡尔里图四房间内物门 出发的话 boss房间到达,Area|50158,OnEnter,Actor,JumpArea|50159,0,0,0,0,,
1711,红顶火山洞穴(普通) boss房间内 出发时 卡尔里图四房间到达,Area|50160,OnEnter,Actor,JumpArea|50161,0,0,0,0,,
1712,红顶火山洞穴(困难) 卡尔里图四房间内物门 出发的话 boss房间到达,Area|50162,OnEnter,Actor,JumpArea|50163,0,0,0,0,,
1713,红顶火山洞穴(困难) boss房间内 出发时 卡尔里图四房间到达,Area|50164,OnEnter,Actor,JumpArea|50165,0,0,0,0,,
1714,红顶火山洞穴(极困难) 卡尔里图四房间内物门 出发的话 boss房间到达,Area|50166,OnEnter,Actor,JumpArea|50167,0,0,0,0,,
1715,红顶火山洞穴(极困难) boss房间内 出发时 卡尔里图四房间到达,Area|50168,OnEnter,Actor,JumpArea|50169,0,0,0,0,,
1716,红顶火山洞穴(极困难) boss面前时破坏一次石像鬼 队员无敌,Place|51196|51197|51198,OnDie,ActorUnion,UseSkill|232513,0,0,0,0,,
1801,灰色半兽人村庄(困难)内 本部斯蒂尔普瑞斯西门入口 祭坛到达,Area|50187,OnEnter,Actor,JumpArea|50185,0,0,0,0,,
1802,灰色半兽人村庄(困难)内 祭坛斯蒂尔普瑞斯西门入口 本部到达,Area|50186,OnEnter,Actor,JumpArea|50184,0,0,0,0,,
1803,灰色半兽人村庄(极困难)内 本部斯蒂尔普瑞斯西门入口 祭坛到达,Area|50188,OnEnter,Actor,JumpArea|50189,0,0,0,0,,
1804,灰色半兽人村庄(极困难)内 祭坛斯蒂尔普瑞斯西门入口 本部到达,Area|50190,OnEnter,Actor,JumpArea|50191,0,0,0,0,,
1901,光之地下庭院(普通)内 本部斯蒂尔普瑞斯西门入口 祭坛到达,Area|50196,OnEnter,Actor,JumpArea|50197,0,0,0,0,,
1902,光之地下庭院(普通)内 祭坛斯蒂尔普瑞斯西门入口 本部到达,Area|50198,OnEnter,Actor,JumpArea|50199,0,0,0,0,,
1903,光之地下庭院(困难)内 本部斯蒂尔普瑞斯西门入口 祭坛到达,Area|50200,OnEnter,Actor,JumpArea|50201,0,0,0,0,,
1904,光之地下庭院(困难)内 祭坛斯蒂尔普瑞斯西门入口 本部到达,Area|50202,OnEnter,Actor,JumpArea|50203,0,0,0,0,,
1905,光之地下庭院(极困难)内 本部斯蒂尔普瑞斯西门入口 祭坛到达,Area|50204,OnEnter,Actor,JumpArea|50205,0,0,0,0,,
1906,光之地下庭院(极困难)内 祭坛斯蒂尔普瑞斯西门入口 本部到达,Area|50206,OnEnter,Actor,JumpArea|50207,0,0,0,0,,
1907,光之地下庭院(普通) 南边杠杆启动时 北门开,Place|54595,OnClick,Place|54598,ChangeState|2,0,0,0,0,,
1908,光之地下庭院(普通) 北边杠杆启动时 中央门开,Place|54596,OnClick,Place|54597,ChangeState|2,0,0,0,0,,
1909,光之地下庭院(困难) 南边杠杆启动时 北门开,Place|54595,OnClick,Place|54598,ChangeState|2,0,0,0,0,,
1910,光之地下庭院(困难) 北边杠杆启动时 中央门开,Place|54596,OnClick,Place|54597,ChangeState|2,0,0,0,0,,
1911,光之地下庭院(极困难) 南边杠杆启动时 北门开,Place|54595,OnClick,Place|54598,ChangeState|2,0,0,0,0,,
1912,光之地下庭院(极困难) 北边杠杆启动时 中央门开,Place|54596,OnClick,Place|54597,ChangeState|2,0,0,0,0,,
2001,黑暗要塞(普通) 1地区斯蒂尔普瑞斯西门入口 2地区到达,Area|50252,OnEnter,Actor,JumpArea|50253,0,0,0,0,,
2002,黑暗要塞(普通) 2地区斯蒂尔普瑞斯西门入口 1地区到达,Area|50254,OnEnter,Actor,JumpArea|50255,0,0,0,0,,
2003,黑暗要塞(困难) 1地区斯蒂尔普瑞斯西门入口 2地区到达,Area|50256,OnEnter,Actor,JumpArea|50257,0,0,0,0,,
2004,黑暗要塞(困难) 2地区斯蒂尔普瑞斯西门入口 1地区到达,Area|50258,OnEnter,Actor,JumpArea|50259,0,0,0,0,,
2005,黑暗要塞(极困难) 1地区斯蒂尔普瑞斯西门入口 2地区到达,Area|50260,OnEnter,Actor,JumpArea|50261,0,0,0,0,,
2006,黑暗要塞(极困难) 1地区斯蒂尔普瑞斯西门入口 2地区到达,Area|50262,OnEnter,Actor,JumpArea|50263,0,0,0,0,,
2007,黑暗要塞(普通)斯蒂尔普瑞斯西门入口 拉克莱顿 命名消灭时 上边门开,Place|42118,OnDie,Place|44180|44181,ChangeState|2,0,0,0,0,,
2008,黑暗要塞(困难)斯蒂尔普瑞斯西门入口 拉克莱顿 命名消灭时 上边门开,Place|43846,OnDie,Place|44186|44187,ChangeState|2,0,0,0,0,,
2009,黑暗要塞(极困难)斯蒂尔普瑞斯西门入口 拉克莱顿 命名消灭时 上边门开,Place|43967,OnDie,Place|44192|44193,ChangeState|2,0,0,0,0,,
2010,黑暗要塞(普通)斯蒂尔普瑞斯西门入口 拉客诺阿 命名消灭时 上边门开,Place|42102,OnDie,Place|44177,ChangeState|2,0,0,0,0,,
2011,黑暗要塞(困难)斯蒂尔普瑞斯西门入口 拉客诺阿 命名消灭时 上边门开,Place|43830,OnDie,Place|44183,ChangeState|2,0,0,0,0,,
2012,黑暗要塞(极困难)斯蒂尔普瑞斯西门入口 拉客诺阿 命名消灭时 上边门开,Place|43951,OnDie,Place|44189,ChangeState|2,0,0,0,0,,
2013,黑暗要塞(普通) 努斯喀什 移动的杠杆门 点击时 门开,Place|44182,OnClick,Place|44178,ChangeState|0,0,0,0,0,,
2014,黑暗要塞(困难) 努斯喀什 移动的杠杆门 点击时 门开,Place|44188,OnClick,Place|44184,ChangeState|0,0,0,0,0,,
2015,黑暗要塞(极困难) 努斯喀什 移动的杠杆门 点击时 门开,Place|44194,OnClick,Place|44190,ChangeState|0,0,0,0,0,,
2016,黑暗要塞(普通) 区域 进入时 拉客雷阿_boss地区 门开,Area|50347,OnEnter,Place|44179,ChangeState|2,0,0,0,0,,
2017,黑暗要塞(困难) 区域 进入时 拉客雷阿_boss地区 门开,Area|50348,OnEnter,Place|44185,ChangeState|2,0,0,0,0,,
2018,黑暗要塞(极困难) 区域 进入时 拉客雷阿_boss地区 门开,Area|50349,OnEnter,Place|44191,ChangeState|2,0,0,0,0,,
2019,黑暗要塞(极困难) 混乱的支配者破坏时boss无敌状态解除,Place|53735,OnDie,Place|53736,DelSkill|231031,0,0,0,0,,
2020,黑暗要塞(极困难) 场地全破坏的话 获得奖赏.,Place|53735|53736,OnDie,ActorUnion,UseSkill|131501,0,0,0,0,,
2101,恶鬼峡谷(普通)斯蒂尔普瑞斯西门入口 雷卡图斯 命名消灭时上边地区 门 2个开,Place|41656,OnDie,Place|43682|43683|43684|43685,ChangeState|2,0,0,0,0,,
2102,恶鬼峡谷(困难)斯蒂尔普瑞斯西门入口 雷卡图斯 命名消灭时上边地区 门 2个开,Place|41763,OnDie,Place|43686|43687|43688|43689,ChangeState|2,0,0,0,0,,
2103,恶鬼峡谷(极困难)斯蒂尔普瑞斯西门入口 雷卡图斯 命名消灭时上边地区 门 2个开,Place|41870,OnDie,Place|43690|43691|43692|43693,ChangeState|2,0,0,0,0,,
2104,恶鬼峡谷(普通)斯蒂尔普瑞斯西门入口 点击杠杆时屠杀者战斗地区 移动的 门解除,Place|43699,OnClick,Place|43698,ChangeState|0,0,0,0,0,,
2105,恶鬼峡谷(困难)斯蒂尔普瑞斯西门入口 点击杠杆时屠杀者战斗地区 移动的 门解除,Place|43701,OnClick,Place|43700,ChangeState|0,0,0,0,0,,
2106,恶鬼峡谷(极困难)斯蒂尔普瑞斯西门入口 点击杠杆时屠杀者战斗地区 移动的 门解除,Place|43703,OnClick,Place|43702,ChangeState|0,0,0,0,0,,
2107,恶鬼峡谷(极困难) boss上内无敌的塔破坏时 队员无敌,Place|53473|53474,OnDie,ActorUnion,UseSkill|131501,0,0,0,0,,
2108,恶鬼峡谷(极困难) boss上内 攻击力之塔破坏时 队员攻击力上升,Place|53475|53476,OnDie,ActorUnion,UseSkill|131503,0,0,0,0,,
2201,光之地下庭院(普通) 点击杠杆时另外一个房间移动的 门解除,Place|44212,OnClick,Place|44210,ChangeState|0,0,0,0,0,,
2202,光之地下庭院(困难) 点击杠杆时另外一个房间移动的 门解除,Place|44218,OnClick,Place|44216,ChangeState|0,0,0,0,0,,
2203,光之地下庭院(极困难) 点击杠杆时另外一个房间移动的 门解除,Place|44224,OnClick,Place|44222,ChangeState|0,0,0,0,0,,
2204,光之地下庭院(普通) boss附近祭坛区域进入时绿色门解除,Area|50351,OnEnter,Place|44209,ChangeState|2,0,0,0,0,,
2205,光之地下庭院(困难) boss附近祭坛区域进入时绿色门解除,Area|50352,OnEnter,Place|44215,ChangeState|2,0,0,0,0,,
2206,光之地下庭院(极困难) boss附近祭坛区域进入时绿色门解除,Area|50353,OnEnter,Place|44221,ChangeState|2,0,0,0,0,,
2207,光之地下庭院(普通) 贝利命名消灭时天空之桥门绿色门解除,Place|40700,OnDie,Place|44211,ChangeState|2,0,0,0,0,,
2208,光之地下庭院(困难)  贝利命名消灭时天空之桥门绿色门解除,Place|40807,OnDie,Place|44217,ChangeState|2,0,0,0,0,,
2209,光之地下庭院(极困难)  贝利命名消灭时天空之桥门绿色门解除,Place|40915,OnDie,Place|44223,ChangeState|2,0,0,0,0,,
2301,倒塌的梦之缝隙(普通) 轻轻得锁上的斯蒂尔普瑞斯西门入口-> 人类/龙之复仇者 地区物,Area|50490,OnEnter,Actor,JumpArea|50491,0,0,0,0,,
2302,倒塌的梦之缝隙(普通) 人类/龙之复仇者斯蒂尔普瑞斯西门入口->轻轻上锁的地区物,Area|50492,OnEnter,Actor,JumpArea|50493,0,0,0,0,,
2303,倒塌的梦之缝隙(普通) 轻轻得锁上的斯蒂尔普瑞斯西门入口-> 兽族/月精灵 地区物,Area|50494,OnEnter,Actor,JumpArea|50495,0,0,0,0,,
2304,倒塌的梦之缝隙(普通) 兽族/月精灵斯蒂尔普瑞斯西门入口->轻轻上锁的地区物,Area|50496,OnEnter,Actor,JumpArea|50497,0,0,0,0,,
2305,倒塌的梦之缝隙(困难) 轻轻得锁上的斯蒂尔普瑞斯西门入口-> 人类/龙之复仇者 地区物,Area|50498,OnEnter,Actor,JumpArea|50499,0,0,0,0,,
2306,倒塌的梦之缝隙(困难) 人类/龙之复仇者斯蒂尔普瑞斯西门入口->轻轻上锁的地区物,Area|50500,OnEnter,Actor,JumpArea|50501,0,0,0,0,,
2307,倒塌的梦之缝隙(困难) 轻轻得锁上的斯蒂尔普瑞斯西门入口-> 兽族/月精灵 地区物,Area|50502,OnEnter,Actor,JumpArea|50503,0,0,0,0,,
2308,倒塌的梦之缝隙(困难) 兽族/月精灵斯蒂尔普瑞斯西门入口->轻轻上锁的地区物,Area|50504,OnEnter,Actor,JumpArea|50505,0,0,0,0,,
2309,倒塌的梦之缝隙(极困难) 轻轻得锁上的斯蒂尔普瑞斯西门入口-> 人类/龙之复仇者 地区物,Area|50506,OnEnter,Actor,JumpArea|50507,0,0,0,0,,
2310,倒塌的梦之缝隙(极困难) 人类/龙之复仇者斯蒂尔普瑞斯西门入口->轻轻上锁的地区物,Area|50508,OnEnter,Actor,JumpArea|50509,0,0,0,0,,
2311,倒塌的梦之缝隙(极困难) 轻轻得锁上的斯蒂尔普瑞斯西门入口-> 兽族/月精灵 地区物,Area|50510,OnEnter,Actor,JumpArea|50511,0,0,0,0,,
2312,倒塌的梦之缝隙(极困难) 兽族/月精灵斯蒂尔普瑞斯西门入口->轻轻上锁的地区物,Area|50512,OnEnter,Actor,JumpArea|50513,0,0,0,0,,
2313,"倒塌的梦之缝隙(普通) 内底,天然物,目录,信息消灭时 点击移动的门 沙门解除",Place|47300|47301|47302|47303,OnDie,Place|46878,ChangeState|2,0,0,0,0,,
2314,"倒塌的梦之缝隙(困难) 内底,天然物,目录,信息消灭时 点击移动的门 沙门解除",Place|47305|47306|47307|47317,OnDie,Place|46957,ChangeState|2,0,0,0,0,,
2315,"倒塌的梦之缝隙(极困难) 内底,天然物,目录,信息消灭时 点击移动的门 沙门解除",Place|47309|47310|47311|47318,OnDie,Place|47036,ChangeState|2,0,0,0,0,,
2400,"冰冷的洞穴(地狱)血之伤痕地 附近物 进入时, 基地边 进入可能的地方 移动",Area|50563,OnEnter,Actor,JumpArea|50564,0,0,0,0,,
2401,"冰冷的洞穴(地狱) 进入血之基地附近码头进入时, 向陆克文的地方移动过",Area|50565,OnEnter,Actor,JumpArea|50566,0,0,0,0,,
2500,冰封的狼城(地狱) 乌莱尔消灭时物 移动的 门解除,Place|51407,OnDie,Place|51533,ChangeState|2,0,0,0,0,,
2501,冰封的狼城(地狱) 乌尔德里乌班德走的地方移动,Area|50567,OnEnter,Actor,JumpArea|50568,0,0,0,0,,
2502,冰封的狼城(地狱) 乌尔德里乌班德走的地方移动,Area|50569,OnEnter,Actor,JumpArea|50570,0,0,0,0,,
10001,组队地下城(2回合) 之前的怪物都消灭时 boss约翰 门开.,Place|44360|44361|44362|44363|44364|44365|44366|44367|44368|44369|44371|46239|46240|46241|46242|46243|46244|46245|46246|46247|46250|46251|46252|46253|46254|46255|46256|46257|46258|46259|46260|46261|46262|46263|46264|46265|46266|46267|46268|46269|46270,OnDie,Place|46235|46236|46237|46238,ChangeState|2,0,0,0,0,,
10002,组队地下城(4回合) 监狱门斯蒂尔普瑞斯西门入口杠杆路 时 门开.,Place|46325,OnClick,Place|46321|46322|46323|46324,ChangeState|2,0,0,0,0,,
10003,组队地下城(6回合) 铁门前2个战斗魔法师消灭时克拉皮尔沙门解除,Place|46513|46514,OnDie,Place|46522|46523|46524,ChangeState|2,0,0,0,0,,
10004,组队地下城(7回合) 泰塔斯 boss附近 点击杠杆时 泰塔斯 门解除,Place|46606,OnClick,Place|46549|46550|46551|46552,ChangeState|2,0,0,0,0,,
10005,"组队地下城(7回合) 泰塔斯 boss消灭时,上边 火效果全部解除",Place|46548,OnDie,Place|46580|46581|46582,ChangeState|2,0,0,0,0,,
10006,组队地下城(8回合) 点击杠杆时 沙风解除,Place|46634,OnClick,Place|46633,ChangeState|0,0,0,0,0,,
10007,组队地下城(9回合) 考努斯消灭时 克姆帕斯 移动的 门解除,Place|46623,OnDie,Place|46625|46626|46627,ChangeState|2,0,0,0,0,,
15001,恶魔的祭坛(攻略)  空间斯蒂尔普瑞斯西门入口 寒冷的恐怖 出发-> 寒冷的恐怖到达,Area|50523,OnEnter,Actor,JumpArea|50524,0,0,0,0,,
