TID,Comment,Group,CashRate,GhelldRate,Quality,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS
168,特别_分身_鞋子_交易8,17,9600,9832,1,0,0,10,0,0,0,36,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0
169,特别_分身_鞋子_交易9,17,9950,9996,1,0,0,10,0,0,0,36,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
170,特别_分身_鞋子_交易10,17,10000,10000,2,0,0,10,0,0,0,36,0,0,0,0,0,0,0,0,0,202,24,0,0,0,0,0,0,0,0,0
171,特别_分身_披风_交易1,18,1500,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,29,0,0,0,0,0,0,0,0,0
172,特别_分身_披风_交易2,18,3000,3168,0,0,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0,202,0,0,0,0,0,0,0,0,0,0
173,特别_分身_披风_交易3,18,4500,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,36,0,0,0,0,0,0,0
174,特别_分身_披风_交易4,18,6000,6336,0,0,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0,0,29,0,0,0,0,0,0,0,0,0
175,特别_分身_披风_交易5,18,7500,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,36,0,0,0,0,0,0,0
176,特别_分身_披风_交易6,18,8800,9504,0,0,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0,0,,0,36,0,0,0,0,0,0,0
177,特别_分身_披风_交易7,18,9200,9668,1,0,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0,202,29,0,0,0,0,0,0,0,0,0
178,特别_分身_披风_交易8,18,9600,9832,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,29,0,36,0,0,0,0,0,0,0
179,特别_分身_披风_交易9,18,9950,9996,1,0,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0,0,29,0,36,0,0,0,0,0,0,0
180,特别_分身_披风_交易10,18,10000,10000,2,0,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0,202,29,0,36,0,0,0,0,0,0,0
