TID,Type,Kind,WeatherUse,WorldTID,GroupNum,D_X,D_Y,D_Z,Radius,AimRebirthPos,DemolRebirthPos,Comment,EngName,EngSubName,LocalName,LocalSubName,BgmName,BgmLoop,Weather0,Weather1,Weather2,Weather3
5567,0,0,0,4032,0,255.74,232.33,6.13,50,,,火焰祭坛(极困难):光之圣所,ART_Name_000281,ART_Subname_000281,火焰祭坛:,光之圣所,,0,,,,
5568,0,0,0,4032,0,254.94,113.74,0,45,,,火焰祭坛(极困难):光之圣物占领,ART_Name_000282,ART_Subname_000282,火焰祭坛:,光之圣物占领,,0,,,,
5569,1,0,0,4032,0,361.58,341.02,49.27,100,,,火焰祭坛(极困难):第1 封印之地,ART_Name_000283,ART_Subname_000283,火焰祭坛:,第1 封印之地,,0,,,,
5570,1,0,0,4032,0,160.82,376.99,6.14,120,,,火焰祭坛(极困难):第2 封印之地,ART_Name_000284,ART_Subname_000284,火焰祭坛:,第2 封印之地,,0,,,,
5571,1,0,0,4032,0,65.79,142.98,104.95,100,,,火焰祭坛(极困难):火焰池,ART_Name_000285,ART_Subname_000285,火焰祭坛:,火焰池,,0,,,,
5572,0,0,0,4033,0,255.74,232.33,6.13,50,,,火焰祭坛(炼狱):光之圣所,ART_Name_000286,ART_Subname_000286,火焰祭坛:,光之圣所,,0,,,,
5573,0,0,0,4033,0,254.94,113.74,0,45,,,火焰祭坛(炼狱):光之圣物占领,ART_Name_000287,ART_Subname_000287,火焰祭坛:,光之圣物占领,,0,,,,
5574,1,0,0,4033,0,361.58,341.02,49.27,100,,,火焰祭坛(炼狱):第1 封印之地,ART_Name_000288,ART_Subname_000288,火焰祭坛:,第1 封印之地,,0,,,,
5575,1,0,0,4033,0,160.82,376.99,6.14,120,,,火焰祭坛(炼狱):第2 封印之地,ART_Name_000289,ART_Subname_000289,火焰祭坛:,第2 封印之地,,0,,,,
5576,1,0,0,4033,0,65.79,142.98,104.95,100,,,火焰祭坛(炼狱):火焰池,ART_Name_000290,ART_Subname_000290,火焰祭坛:,火焰池,,0,,,,
6001,1,0,1,4400,0,256,256,85.04,256,,,普利德米尔饲养场:普通,ART_Name_000291,ART_Subname_000291,普利德米尔饲养场,普通,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,3024|4031|,3024|4031|,3024|4031|,3024|4031|
6002,1,0,1,4401,0,256,256,85.04,256,,,普利德米尔饲养场:困难,ART_Name_000292,ART_Subname_000292,普利德米尔饲养场,困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,4031|3024|,4031|3024|,4031|3024|,4031|3024|
6003,1,0,1,4402,0,256,256,85.04,256,,,普利德米尔饲养场:极困难,ART_Name_000293,ART_Subname_000293,普利德米尔饲养场,极困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,3024|4031|,3024|4031|1010|,3024|4031|,3024|4031|1010|
6004,1,0,1,4403,0,256,256,85.04,256,,,普利德米尔饲养场:炼狱,ART_Name_000294,ART_Subname_000294,普利德米尔饲养场,炼狱,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,3024|4031|,3024|4031|,3024|4031|,3024|4031|
6005,1,0,1,4410,0,256,256,4.77,256,,,恩蒂温圣所:普通,ART_Name_000295,ART_Subname_000295,恩蒂温圣所,普通,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,4032|3027|,4032|3027|,4032|3027|,4032|3027|
6006,1,0,1,4411,0,256,256,4.77,256,,,恩蒂温圣所:困难,ART_Name_000296,ART_Subname_000296,恩蒂温圣所,困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3027|4032|,3027|4032|,3027|4032|,3027|4032|
6007,1,0,1,4412,0,256,256,4.77,256,,,恩蒂温圣所:极困难,ART_Name_000297,ART_Subname_000297,恩蒂温圣所,极困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3027|4032|,3027|4032|1010|,3027|4032|,3027|4032|1010|
6008,1,0,1,4413,0,256,256,4.77,256,,,恩蒂温圣所:炼狱,ART_Name_000298,ART_Subname_000298,恩蒂温圣所,炼狱,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3027|4032|1010|,3027|4032|1010|,3027|4032|1011|,3027|4032|1003|
6009,1,0,1,4420,0,256,256,-6.32,256,,,冰冷的洞窟:普通,ART_Name_000299,ART_Subname_000299,冰冷的洞窟,普通,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,4034|3047|,4034|3047|,4034|3047|,4034|3047|
6010,1,0,1,4421,0,256,256,-6.32,256,,,冰冷的洞窟:困难,ART_Name_000300,ART_Subname_000300,冰冷的洞窟,困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,4034|3047|,4034|3047|,4034|3047|,4034|3047|
6011,1,0,1,4422,0,256,256,-6.32,256,,,冰冷的洞窟:极困难,ART_Name_000301,ART_Subname_000301,冰冷的洞窟,极困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,4034|3047|,4034|3047|,4034|3047|,4034|3047|
6012,1,0,1,4423,0,256,256,-6.32,256,,,冰冷的洞窟:炼狱,ART_Name_000302,ART_Subname_000302,冰冷的洞窟,炼狱,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,4034|3047|,4034|3047|,4034|3047|,4034|3047|
6013,1,0,1,4430,0,256,256,151.13,256,,,冰封的狼城:普通,ART_Name_000303,ART_Subname_000303,冰封的狼城,普通,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3035|4034|,3035|4034|,3035|4034|,3035|4034|
6014,1,0,1,4431,0,256,256,151.14,256,,,冰封的狼城:困难,ART_Name_000304,ART_Subname_000304,冰封的狼城,困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3035|4034|,3035|4034|,3035|4034|,3035|4034|
6015,1,0,1,4432,0,256,256,151.14,256,,,冰封的狼城:极困难,ART_Name_000305,ART_Subname_000305,冰封的狼城,极困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3035|4034|,3035|4034|,3035|4034|,3035|4034|
6016,1,0,1,4433,0,256,256,151.14,256,,,冰封的狼城:炼狱,ART_Name_000306,ART_Subname_000306,冰封的狼城,炼狱,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3035|4034|,3035|4034|,3035|4034|,3035|4034|
6017,1,0,1,4440,0,256,256,179.02,256,,,哈比人的乐园:普通,ART_Name_000307,ART_Subname_000307,哈比人的乐园,普通,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,3040|4026|,3040|4026|,3040|4026|,3040|4026|
6018,1,0,1,4441,0,256,256,179.02,256,,,哈比人的乐园:困难,ART_Name_000308,ART_Subname_000308,哈比人的乐园,困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,3040|4026|,3040|4026|,3040|4026|,3040|4026|
6019,1,0,1,4442,0,256,256,179.02,256,,,哈比人的乐园:极困难,ART_Name_000309,ART_Subname_000309,哈比人的乐园,极困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,3040|4026|,3040|4026|,3040|4026|,3040|4026|
6020,1,0,1,4443,0,256,256,179.02,256,,,哈比人的乐园:炼狱,ART_Name_000310,ART_Subname_000310,哈比人的乐园,炼狱,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,1,3040|4026|,3040|4026|,3040|4026|,3040|4026|
6021,1,0,1,4450,0,256.01,256,22.36,256,,,暴风古城:普通,ART_Name_000311,ART_Subname_000311,暴风古城,普通,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3042|4034|,4034|3042|,4034|3042|,4034|3042|
6022,1,0,1,4451,0,256,256,22.36,256,,,暴风古城:困难,ART_Name_000312,ART_Subname_000312,暴风古城,困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3042|4034|,3042|4034|,3042|4034|,3042|4034|
6023,1,0,1,4452,0,256,256,22.36,256,,,暴风古城:极困难,ART_Name_000313,ART_Subname_000313,暴风古城,极困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3042|4034|,3042|4034|,3042|4034|,3042|4034|
6024,1,0,1,4453,0,256,256,22.36,256,,,暴风古城:炼狱,ART_Name_000314,ART_Subname_000314,暴风古城,炼狱,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,1,3042|4034|,3042|4034|,3042|4034|,3042|4034|
6025,1,0,1,4460,0,256,256,51.01,256,,,战士们的圣地:普通,ART_Name_000315,ART_Subname_000315,战士们的圣地,普通,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,0,3055|4032|1010|,3055|4032|1010|,3055|4032|1010|,3055|4032|1010|
6026,1,0,1,4461,0,256,256,51.01,256,,,战士们的圣地:困难,ART_Name_000316,ART_Subname_000316,战士们的圣地,困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,0,3055|4032|1010|,3055|4032|1010|,3055|4032|1010|,3055|4032|1010|
6027,1,0,1,4462,0,256,256,51.01,256,,,战士们的圣地:极困难,ART_Name_000317,ART_Subname_000317,战士们的圣地,极困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,0,3055|4032|1010|,3055|4032|1010|,3055|4032|1010|,3055|4032|1010|
6028,1,0,1,4463,0,256,256,51.01,256,,,战士们的圣地:炼狱,ART_Name_000318,ART_Subname_000318,战士们的圣地,炼狱,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,0,3055|4032|1010|,3055|4032|1010|,3055|4032|1010|,3055|4032|1010|
6029,1,0,1,4470,0,256,256,30.15,256,,,红顶火山洞穴:普通,ART_Name_000319,ART_Subname_000319,红顶火山洞穴,普通,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,0,4034|3056|,4034|3056|,4034|3056|,4034|3056|
6030,1,0,1,4471,0,256,256,30.15,256,,,红顶火山洞穴:困难,ART_Name_000320,ART_Subname_000320,红顶火山洞穴,困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,0,4034|3056|,4034|3056|,4034|3056|,4034|3056|
6031,1,0,1,4472,0,256,256,30.15,256,,,红顶火山洞穴:极困难,ART_Name_000321,ART_Subname_000321,红顶火山洞穴,极困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,0,4034|3056|,4034|3056|,4034|3056|,4034|3056|
6032,1,0,1,4473,0,256,256,30.15,256,,,红顶火山洞穴:炼狱,ART_Name_000322,ART_Subname_000322,红顶火山洞穴,炼狱,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,0,4034|3056|,4034|3056|,4034|3056|,4034|3056|
6033,1,0,1,4480,0,256,256,-0.91,256,,,灰色半兽人村庄:普通,ART_Name_000323,ART_Subname_000323,灰色半兽人村庄,普通,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,0,3057|4023|,3057|4023|,3057|4023|,3057|4023|
6034,1,0,1,4481,0,256,256,-0.91,256,,,灰色半兽人村庄:困难,ART_Name_000324,ART_Subname_000324,灰色半兽人村庄,困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,0,3057|4023|,3057|4023|,3057|4023|,3057|4023|
6035,1,0,1,4482,0,256,256,-0.91,256,,,灰色半兽人村庄:极困难,ART_Name_000325,ART_Subname_000325,灰色半兽人村庄,极困难,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,0,3057|4023|,3057|4023|,4023|3057|,3057|4023|
6036,1,0,1,4483,0,256,256,-0.91,256,,,灰色半兽人村庄:炼狱,ART_Name_000326,ART_Subname_000326,灰色半兽人村庄,炼狱,Sound/BGM/BGM_22.ogg|Sound/BGM/BGM_26.ogg,0,3057|4023|,3057|4023|,3057|4023|,3057|4023|
6037,1,0,1,4490,0,256,256,-7.11,256,,,光之地下庭院:普通,ART_Name_000327,ART_Subname_000327,光之地下庭院,普通,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,0,4032|3058|,4032|3058|,3058|4032|,4032|3058|
6038,1,0,1,4491,0,256,256,-7.11,256,,,光之地下庭院:困难,ART_Name_000328,ART_Subname_000328,光之地下庭院,困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,0,4032|3058|,4032|3058|,4032|3058|,4032|3058|
6039,1,0,1,4492,0,256,256,-7.11,256,,,光之地下庭院:极困难,ART_Name_000329,ART_Subname_000329,光之地下庭院,极困难,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,0,4032|3058|,4032|3058|,4032|3058|,4032|3058|
6040,1,0,1,4493,0,256,256,-7.11,256,,,光之地下庭院:炼狱,ART_Name_000330,ART_Subname_000330,光之地下庭院,炼狱,Sound/BGM/BGM_17.ogg|Sound/BGM/BGM_18.ogg,0,4032|3058|,4032|3058|,4032|3058|,4032|3058|
6501,0,0,0,4400,0,207.86,115.42,95.45,65,,,普利德米尔饲养场(普通):三叶花农园,ART_Name_000331,ART_Subname_000331,普利德米尔饲养场:,三叶花农园,,0,,,,
6502,0,0,0,4400,0,412.57,216.4,80.37,70,,,普利德米尔饲养场(普通):粗糙特里皮特饲养场,ART_Name_000332,ART_Subname_000332,普利德米尔饲养场:,粗糙特里皮特饲养场,,0,,,,
6503,0,0,0,4400,0,223.84,244.78,84.66,60,,,普利德米尔饲养场(普通):出血花农园,ART_Name_000333,ART_Subname_000333,普利德米尔饲养场:,出血花农园,,0,,,,
6504,0,0,0,4400,0,148.26,372.97,101.53,50,,,普利德米尔饲养场(普通):宽广的普利德米尔饲养场,ART_Name_000334,ART_Subname_000334,普利德米尔饲养场:,宽广的普利德米尔饲养场,,0,,,,
6505,0,0,0,4400,0,347.67,379.13,109.8,60,,,普利德米尔饲养场(普通):老树哥布林驻扎地,ART_Name_000335,ART_Subname_000335,普利德米尔饲养场:,老树哥布林驻扎地,,0,,,,
6506,0,0,0,4401,0,207.86,115.42,95.45,65,,,普利德米尔饲养场(困难):三叶花农园,ART_Name_000336,ART_Subname_000336,普利德米尔饲养场:,三叶花农园,,0,,,,
6507,0,0,0,4401,0,412.57,216.4,80.37,70,,,普利德米尔饲养场(困难):粗糙特里皮特饲养场,ART_Name_000337,ART_Subname_000337,普利德米尔饲养场:,粗糙特里皮特饲养场,,0,,,,
6508,0,0,0,4401,0,223.84,244.78,84.66,60,,,普利德米尔饲养场(困难):出血花农园,ART_Name_000338,ART_Subname_000338,普利德米尔饲养场:,出血花农园,,0,,,,
6509,0,0,0,4401,0,148.26,372.97,101.53,50,,,普利德米尔饲养场(困难):宽广的普利德米尔饲养场,ART_Name_000339,ART_Subname_000339,普利德米尔饲养场:,宽广的普利德米尔饲养场,,0,,,,
6510,0,0,0,4401,0,347.67,379.13,109.8,60,,,普利德米尔饲养场(困难):老树哥布林驻扎地,ART_Name_000340,ART_Subname_000340,普利德米尔饲养场:,老树哥布林驻扎地,,0,,,,
6511,0,0,0,4402,0,207.86,115.42,95.45,65,,,普利德米尔饲养场(极困难):三叶花农园,ART_Name_000341,ART_Subname_000341,普利德米尔饲养场:,三叶花农园,,0,,,,
6512,0,0,0,4402,0,412.57,216.4,80.37,70,,,普利德米尔饲养场(极困难):粗糙特里皮特饲养场,ART_Name_000342,ART_Subname_000342,普利德米尔饲养场:,粗糙特里皮特饲养场,,0,,,,
6513,0,0,0,4402,0,223.84,244.78,84.66,60,,,普利德米尔饲养场(极困难):出血花农园,ART_Name_000343,ART_Subname_000343,普利德米尔饲养场:,出血花农园,,0,,,,
6514,0,0,0,4402,0,148.26,372.97,101.53,50,,,普利德米尔饲养场(极困难):宽广的普利德米尔饲养场,ART_Name_000344,ART_Subname_000344,普利德米尔饲养场:,宽广的普利德米尔饲养场,,0,,,,
6515,0,0,0,4402,0,347.67,379.13,109.8,60,,,普利德米尔饲养场(极困难):老树哥布林驻扎地,ART_Name_000345,ART_Subname_000345,普利德米尔饲养场:,老树哥布林驻扎地,,0,,,,
6516,0,0,0,4403,0,207.86,115.42,95.45,65,,,普利德米尔饲养场(炼狱):三叶花农园,ART_Name_000346,ART_Subname_000346,普利德米尔饲养场:,三叶花农园,,0,,,,
6517,0,0,0,4403,0,412.57,216.4,80.37,70,,,普利德米尔饲养场(炼狱):粗糙特里皮特饲养场,ART_Name_000347,ART_Subname_000347,普利德米尔饲养场:,粗糙特里皮特饲养场,,0,,,,
6518,0,0,0,4403,0,223.84,244.78,84.66,60,,,普利德米尔饲养场(炼狱):出血花农园,ART_Name_000348,ART_Subname_000348,普利德米尔饲养场:,出血花农园,,0,,,,
6519,0,0,0,4403,0,148.26,372.97,101.53,50,,,普利德米尔饲养场(炼狱):宽广的普利德米尔饲养场,ART_Name_000349,ART_Subname_000349,普利德米尔饲养场:,宽广的普利德米尔饲养场,,0,,,,
6520,0,0,0,4403,0,347.67,379.13,109.8,60,,,普利德米尔饲养场(炼狱):老树哥布林驻扎地,ART_Name_000350,ART_Subname_000350,普利德米尔饲养场:,老树哥布林驻扎地,,0,,,,
6521,0,0,0,4410,0,200.5,452.32,31.97,60,,,恩蒂温圣所(普通):黄金苹果圣所,ART_Name_000351,ART_Subname_000351,恩蒂温圣所:,黄金苹果圣所,,0,,,,
6522,0,0,0,4410,0,369.6,406.1,-0.29,100,,,恩蒂温圣所(普通):喜悦的圣所,ART_Name_000352,ART_Subname_000352,恩蒂温圣所:,喜悦的圣所,,0,,,,
6523,0,0,0,4410,0,160.87,274.29,-2.67,80,,,恩蒂温圣所(普通):恩特罗斯巢穴,ART_Name_000353,ART_Subname_000353,恩蒂温圣所:,恩特罗斯巢穴,,0,,,,
6524,0,0,0,4410,0,325.04,218.01,2.23,70,,,恩蒂温圣所(普通):宪兵的巢穴,ART_Name_000354,ART_Subname_000354,恩蒂温圣所:,宪兵的巢穴,,0,,,,
6525,0,0,0,4410,0,389.46,84.13,1.87,80,,,恩蒂温圣所(普通):毒云圣所,ART_Name_000355,ART_Subname_000355,恩蒂温圣所:,毒云圣所,,0,,,,
6526,0,0,0,4410,0,130.3,103.78,2.43,60,,,恩蒂温圣所(普通):梗茎的殿堂,ART_Name_000356,ART_Subname_000356,恩蒂温圣所:,梗茎的殿堂,,0,,,,
6527,0,0,0,4411,0,200.5,452.32,31.97,60,,,恩蒂温圣所(困难):黄金苹果圣所,ART_Name_000357,ART_Subname_000357,恩蒂温圣所:,黄金苹果圣所,,0,,,,
6528,0,0,0,4411,0,369.6,406.1,-0.29,100,,,恩蒂温圣所(困难):喜悦的圣所,ART_Name_000358,ART_Subname_000358,恩蒂温圣所:,喜悦的圣所,,0,,,,
6529,0,0,0,4411,0,160.87,274.29,-2.67,80,,,恩蒂温圣所(困难):恩特罗斯巢穴,ART_Name_000359,ART_Subname_000359,恩蒂温圣所:,恩特罗斯巢穴,,0,,,,
6530,0,0,0,4411,0,325.04,218.01,2.23,70,,,恩蒂温圣所(困难):宪兵的巢穴,ART_Name_000360,ART_Subname_000360,恩蒂温圣所:,宪兵的巢穴,,0,,,,
6531,0,0,0,4411,0,389.46,84.13,1.87,80,,,恩蒂温圣所(困难):毒云圣所,ART_Name_000361,ART_Subname_000361,恩蒂温圣所:,毒云圣所,,0,,,,
6532,0,0,0,4411,0,130.3,103.78,2.43,60,,,恩蒂温圣所(困难):梗茎的殿堂,ART_Name_000362,ART_Subname_000362,恩蒂温圣所:,梗茎的殿堂,,0,,,,
6533,0,0,0,4412,0,200.5,452.32,31.97,60,,,恩蒂温圣所(极困难):黄金苹果圣所,ART_Name_000363,ART_Subname_000363,恩蒂温圣所:,黄金苹果圣所,,0,,,,
6534,0,0,0,4412,0,369.6,406.1,-0.29,100,,,恩蒂温圣所(极困难):喜悦的圣所,ART_Name_000364,ART_Subname_000364,恩蒂温圣所:,喜悦的圣所,,0,,,,
6535,0,0,0,4412,0,160.87,274.29,-2.67,80,,,恩蒂温圣所(极困难):恩特罗斯巢穴,ART_Name_000365,ART_Subname_000365,恩蒂温圣所:,恩特罗斯巢穴,,0,,,,
6536,0,0,0,4412,0,325.04,218.01,2.23,70,,,恩蒂温圣所(极困难):宪兵的巢穴,ART_Name_000366,ART_Subname_000366,恩蒂温圣所:,宪兵的巢穴,,0,,,,
6537,0,0,0,4412,0,389.46,84.13,1.87,80,,,恩蒂温圣所(极困难):毒云圣所,ART_Name_000367,ART_Subname_000367,恩蒂温圣所:,毒云圣所,,0,,,,
6538,0,0,0,4412,0,130.3,103.78,2.43,60,,,恩蒂温圣所(极困难):梗茎的殿堂,ART_Name_000368,ART_Subname_000368,恩蒂温圣所:,梗茎的殿堂,,0,,,,
6539,0,0,0,4413,0,200.5,452.32,31.97,60,,,恩蒂温圣所(炼狱):黄金苹果圣所,ART_Name_000369,ART_Subname_000369,恩蒂温圣所:,黄金苹果圣所,,0,,,,
6540,0,0,0,4413,0,369.6,406.1,-0.29,100,,,恩蒂温圣所(炼狱):喜悦的圣所,ART_Name_000370,ART_Subname_000370,恩蒂温圣所:,喜悦的圣所,,0,,,,
6541,0,0,0,4413,0,160.87,274.29,-2.67,80,,,恩蒂温圣所(炼狱):恩特罗斯巢穴,ART_Name_000371,ART_Subname_000371,恩蒂温圣所:,恩特罗斯巢穴,,0,,,,
6542,0,0,0,4413,0,325.04,218.01,2.23,70,,,恩蒂温圣所(炼狱):宪兵的巢穴,ART_Name_000372,ART_Subname_000372,恩蒂温圣所:,宪兵的巢穴,,0,,,,
6543,0,0,0,4413,0,389.46,84.13,1.87,80,,,恩蒂温圣所(炼狱):毒云圣所,ART_Name_000373,ART_Subname_000373,恩蒂温圣所:,毒云圣所,,0,,,,
6544,0,0,0,4413,0,130.3,103.78,2.43,60,,,恩蒂温圣所(炼狱):梗茎的殿堂,ART_Name_000374,ART_Subname_000374,恩蒂温圣所:,梗茎的殿堂,,0,,,,
6545,0,0,0,4420,0,103.04,77.78,-22.46,60,,,冰冷的洞窟(普通):希尔朋德王座,ART_Name_000375,ART_Subname_000375,冰冷的洞窟:,希尔朋德王座,,0,,,,
6546,0,0,0,4420,0,180.85,191.36,-24.64,60,,,冰冷的洞窟(普通):血液储藏库,ART_Name_000376,ART_Subname_000376,冰冷的洞窟:,血液储藏库,,0,,,,
6547,0,0,0,4420,0,242.66,430.56,-58.51,60,,,冰冷的洞窟(普通):东面场,ART_Name_000377,ART_Subname_000377,冰冷的洞窟:,东面场,,0,,,,
6548,0,0,0,4420,0,415.48,259.98,2.64,60,,,冰冷的洞窟(普通):希尔朋德哨所,ART_Name_000378,ART_Subname_000378,冰冷的洞窟:,希尔朋德哨所,,0,,,,
6549,0,0,0,4420,0,419.43,425.36,-20.19,50,,,冰冷的洞窟(普通):监狱,ART_Name_000379,ART_Subname_000379,冰冷的洞窟:,监狱,,0,,,,
6550,0,0,0,4420,0,423.96,55.96,-21.07,50,,,冰冷的洞窟(普通):食物储藏库,ART_Name_000380,ART_Subname_000380,冰冷的洞窟:,食物储藏库,,0,,,,
6551,0,0,0,4421,0,103.04,77.78,-22.46,60,,,冰冷的洞窟(困难):希尔朋德王座,ART_Name_000381,ART_Subname_000381,冰冷的洞窟:,希尔朋德王座,,0,,,,
6552,0,0,0,4421,0,180.85,191.36,-24.64,60,,,冰冷的洞窟(困难):血液储藏库,ART_Name_000382,ART_Subname_000382,冰冷的洞窟:,血液储藏库,,0,,,,
6553,0,0,0,4421,0,242.66,430.56,-58.51,60,,,冰冷的洞窟(困难):东面场,ART_Name_000383,ART_Subname_000383,冰冷的洞窟:,东面场,,0,,,,
6554,0,0,0,4421,0,415.48,259.98,2.64,60,,,冰冷的洞窟(困难):希尔朋德哨所,ART_Name_000384,ART_Subname_000384,冰冷的洞窟:,希尔朋德哨所,,0,,,,
6555,0,0,0,4421,0,419.43,425.36,-20.19,50,,,冰冷的洞窟(困难):监狱,ART_Name_000385,ART_Subname_000385,冰冷的洞窟:,监狱,,0,,,,
6556,0,0,0,4421,0,423.96,55.96,-21.07,50,,,冰冷的洞窟(困难):食物储藏库,ART_Name_000386,ART_Subname_000386,冰冷的洞窟:,食物储藏库,,0,,,,
6557,0,0,0,4422,0,103.04,77.78,-22.46,60,,,冰冷的洞窟(极困难):希尔朋德王座,ART_Name_000387,ART_Subname_000387,冰冷的洞窟:,希尔朋德王座,,0,,,,
6558,0,0,0,4422,0,180.85,191.36,-24.64,60,,,冰冷的洞窟(极困难):血液储藏库,ART_Name_000388,ART_Subname_000388,冰冷的洞窟:,血液储藏库,,0,,,,
6559,0,0,0,4422,0,242.66,430.56,-58.51,60,,,冰冷的洞窟(极困难):东面场,ART_Name_000389,ART_Subname_000389,冰冷的洞窟:,东面场,,0,,,,
6560,0,0,0,4422,0,415.48,259.98,2.64,60,,,冰冷的洞窟(极困难):希尔朋德哨所,ART_Name_000390,ART_Subname_000390,冰冷的洞窟:,希尔朋德哨所,,0,,,,
6561,0,0,0,4422,0,419.43,425.36,-20.19,50,,,冰冷的洞窟(极困难):监狱,ART_Name_000391,ART_Subname_000391,冰冷的洞窟:,监狱,,0,,,,
6562,0,0,0,4422,0,423.96,55.96,-21.07,50,,,冰冷的洞窟(极困难):食物储藏库,ART_Name_000392,ART_Subname_000392,冰冷的洞窟:,食物储藏库,,0,,,,
6563,0,0,0,4423,0,103.04,77.78,-22.46,60,,,冰冷的洞窟(炼狱):希尔朋德王座,ART_Name_000393,ART_Subname_000393,冰冷的洞窟:,希尔朋德王座,,0,,,,
6564,0,0,0,4423,0,180.85,191.36,-24.64,60,,,冰冷的洞窟(炼狱):血液储藏库,ART_Name_000394,ART_Subname_000394,冰冷的洞窟:,血液储藏库,,0,,,,
6565,0,0,0,4423,0,242.66,430.56,-58.51,60,,,冰冷的洞窟(炼狱):东面场,ART_Name_000395,ART_Subname_000395,冰冷的洞窟:,东面场,,0,,,,
6566,0,0,0,4423,0,415.48,259.98,2.64,60,,,冰冷的洞窟(炼狱):希尔朋德哨所,ART_Name_000396,ART_Subname_000396,冰冷的洞窟:,希尔朋德哨所,,0,,,,
6567,0,0,0,4423,0,419.43,425.36,-20.19,50,,,冰冷的洞窟(炼狱):监狱,ART_Name_000397,ART_Subname_000397,冰冷的洞窟:,监狱,,0,,,,
6568,0,0,0,4423,0,423.96,55.96,-21.07,50,,,冰冷的洞窟(炼狱):食物储藏库,ART_Name_000398,ART_Subname_000398,冰冷的洞窟:,食物储藏库,,0,,,,
6569,0,0,0,4430,0,98.64,50.03,137.04,80,,,冰封的狼城(普通):工厂兵器制造厂,ART_Name_000399,ART_Subname_000399,冰封的狼城:,工厂兵器制造厂,,0,,,,
6570,0,0,0,4430,0,287.64,55.65,148.42,70,,,冰封的狼城(普通):宴会厅,ART_Name_000400,ART_Subname_000400,冰封的狼城:,宴会厅,,0,,,,
6571,0,0,0,4430,0,464.42,221.32,167.81,90,,,冰封的狼城(普通):拷问室,ART_Name_000401,ART_Subname_000401,冰封的狼城:,拷问室,,0,,,,
6572,0,0,0,4430,0,397.69,437.94,167.91,90,,,冰封的狼城(普通):近卫队休息室,ART_Name_000402,ART_Subname_000402,冰封的狼城:,近卫队休息室,,0,,,,
6573,0,0,0,4430,0,110.35,299.55,169.87,65,,,冰封的狼城(普通):咒术研究所,ART_Name_000403,ART_Subname_000403,冰封的狼城:,咒术研究所,,0,,,,
6574,0,0,0,4430,0,171.98,443.98,202.62,90,,,冰封的狼城(普通):狼王王座,ART_Name_000404,ART_Subname_000404,冰封的狼城:,狼王王座,,0,,,,
