ID,MediaPath,Bone,MPartsFace,MPartsEyeball,MPartsHair,MPartsHelm,MPartsBody,MPartsHand,MPartsLegs,MPartsFoot,MPartsCape,LHandWeapon,RHandWeapon,ItemMeshScale,StepLOD_01,StepLOD_02,StepLOD_03,StepLOD_04,StepLOD_05,EffectCreate,HitEffectKind,FourFoot
2003,Npc,02003.kfm,,,,,m_ugbn_a_ride_none_none_lod.nif,,,,,,2|m_unde_w_tstf_all_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,1
2004,Npc,02004.kfm,,,,,m_ubbf_a_ride_none_none_lod.nif,,,,,,2|m_unde_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
2005,Npc,02005.kfm,,,,,m_ewdm_a_ride_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
2007,Npc,02007.kfm,,,,,m_utif_a_ride_none_none_lod.nif,,,,,,7|m_unde_w_oblt_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3000,Npc,03000.kfm,,,,,m_boma_a_lows_none_none_lod.nif,,,,,,7|m_boma_w_oblt_rgt_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
3001,Npc,03000.kfm,,,,,m_boma_b_lows_none_none_lod.bif,,,,,,7|m_boma_w_oblt_rgt_b_lod.bif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
3002,Npc,03000.kfm,,,,,m_boma_c_lows_none_none_lod.nif,,,,,,7|m_boma_w_oblt_rgt_c_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
3003,Npc,03005.kfm,,,,,m_prid_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3004,Npc,03005.kfm,,,,,m_prid_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3005,Npc,03005.kfm,,,,,m_prid_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3006,Npc,03006.kfm,,,,,m_skla_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3007,Npc,03006.kfm,,,,,m_skla_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3008,Npc,03006.kfm,,,,,m_skla_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3009,Npc,03009.kfm,,,,,m_molf_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3010,Npc,03009.kfm,,,,,m_molf_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3011,Npc,03009.kfm,,,,,m_molf_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3012,Npc,03012.kfm,,,,,m_snoz_a_lows_none_none_lod.nif,,,,,,1|m_snoz_w_pike_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3013,Npc,03012.kfm,,,,,m_snoz_b_lows_none_none_lod.bif,,,,,,1|m_snoz_w_pike_all_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3014,Npc,03012.kfm,,,,,m_snoz_c_lows_none_none_lod.nif,,,,,,1|m_snoz_w_pike_all_c_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3015,Npc,03015.kfm,,,,,m_bhrt_a_lows_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
3016,Npc,03015.kfm,,,,,m_bhrt_b_lows_none_none_lod.bif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
3017,Npc,03015.kfm,,,,,m_bhrt_c_lows_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
3018,Npc,03018.kfm,,,,,m_bles_a_lows_none_none_lod.nif,,,,,,7|m_bles_w_tdag_rgt_a_lod.nif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
3019,Npc,03018.kfm,,,,,m_bles_b_lows_none_none_lod.bif,,,,,,7|m_bles_w_tdag_rgt_b_lod.bif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
3020,Npc,03018.kfm,,,,,m_bles_c_lows_none_none_lod.nif,,,,,,7|m_bles_w_tdag_rgt_c_lod.bif,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,0
3021,Npc,03021.kfm,,,,,m_wfir_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3022,Npc,03021.kfm,,,,,m_wfir_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3023,Npc,03021.kfm,,,,,m_wfir_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3024,Npc,03024.kfm,,,,,m_dlog_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3025,Npc,03024.kfm,,,,,m_dlog_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3026,Npc,03024.kfm,,,,,m_dlog_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3027,Npc,03027.kfm,,,,,m_spur_a_lows_none_none_lod.nif,,,,,,1|m_spur_w_pike_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3028,Npc,03027.kfm,,,,,m_spur_b_lows_none_none_lod.bif,,,,,,1|m_spur_w_pike_rgt_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3029,Npc,03027.kfm,,,,,m_spur_c_lows_none_none_lod.nif,,,,,,1|m_spur_w_pike_rgt_c_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
3030,Npc,03030.kfm,,,,,m_anta_a_boss_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,1,0
3039,Npc,03039.kfm,,,,,m_dean_a_lows_none_none_lod.nif,,,,,0|m_dean_w_shld_lft_a_lod.nif,7|m_dean_w_oblt_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3040,Npc,03039.kfm,,,,,m_dean_a_lows_none_none_lod.nif,,,,,0|m_dean_w_shld_lft_a_lod.nif,7|m_dean_w_oblt_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3041,Npc,03039.kfm,,,,,m_dean_a_lows_none_none_lod.nif,,,,,0|m_dean_w_shld_lft_a_lod.nif,7|m_dean_w_oblt_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3042,Npc,03042.kfm,,,,,m_dean_a_lows_none_none_lod.nif,,,,,,8|m_dean_w_oorb_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3043,Npc,03042.kfm,,,,,m_dean_a_lows_none_none_lod.nif,,,,,,8|m_dean_w_oorb_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3044,Npc,03042.kfm,,,,,m_dean_a_lows_none_none_lod.nif,,,,,,8|m_dean_w_oorb_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3045,Npc,03045.kfm,,,,,m_dean_a_lows_none_none_lod.nif,,,,,,2|m_dean_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3046,Npc,03045.kfm,,,,,m_dean_a_lows_none_none_lod.nif,,,,,,2|m_dean_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3047,Npc,03045.kfm,,,,,m_dean_a_lows_none_none_lod.nif,,,,,,2|m_dean_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
3048,Npc,03048.kfm,,,,,m_kipr_a_lows_none_none_lod.nif,,,,,,3|m_kipr_w_taxe_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3049,Npc,03048.kfm,,,,,m_kipr_a_lows_none_none_lod.nif,,,,,,3|m_kipr_w_taxe_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3050,Npc,03048.kfm,,,,,m_kipr_a_lows_none_none_lod.nif,,,,,,3|m_kipr_w_taxe_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3051,Npc,03051.kfm,,,,,m_kipr_a_lows_none_none_lod.nif,,,,,7|m_kipr_w_oblt_all_a_lod.nif,7|m_kipr_w_oblt_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3052,Npc,03051.kfm,,,,,m_kipr_a_lows_none_none_lod.nif,,,,,7|m_kipr_w_oblt_all_a_lod.nif,7|m_kipr_w_oblt_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3053,Npc,03051.kfm,,,,,m_kipr_a_lows_none_none_lod.nif,,,,,7|m_kipr_w_oblt_all_a_lod.nif,7|m_kipr_w_oblt_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3054,Npc,03054.kfm,,,,,m_kipr_a_lows_none_none_lod.nif,,,,,,2|m_kipr_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3055,Npc,03054.kfm,,,,,m_kipr_a_lows_none_none_lod.nif,,,,,,2|m_kipr_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3056,Npc,03054.kfm,,,,,m_kipr_a_lows_none_none_lod.nif,,,,,,2|m_kipr_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3057,Npc,03057.kfm,,,,,m_macq_a_lows_none_none_lod.nif,,,,,,3|m_macq_w_taxe_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3058,Npc,03057.kfm,,,,,m_macq_a_lows_none_none_lod.nif,,,,,,3|m_macq_w_taxe_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3059,Npc,03057.kfm,,,,,m_macq_a_lows_none_none_lod.nif,,,,,,3|m_macq_w_taxe_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3060,Npc,03060.kfm,,,,,m_macq_a_lows_none_none_lod.nif,,,,,4|m_macq_w_tbow_all_a_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3061,Npc,03060.kfm,,,,,m_macq_a_lows_none_none_lod.nif,,,,,4|m_macq_w_tbow_all_a_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3062,Npc,03060.kfm,,,,,m_macq_a_lows_none_none_lod.nif,,,,,4|m_macq_w_tbow_all_a_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3063,Npc,03063.kfm,,,,,m_macq_a_lows_none_none_lod.nif,,,,,,2|m_macq_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3064,Npc,03063.kfm,,,,,m_macq_a_lows_none_none_lod.nif,,,,,,2|m_macq_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3065,Npc,03063.kfm,,,,,m_macq_a_lows_none_none_lod.nif,,,,,,2|m_macq_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3066,Npc,03066.kfm,,,,,m_redv_a_lows_none_none_lod.nif,,,,,,10|m_redv_w_oswd_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3067,Npc,03066.kfm,,,,,m_redv_a_lows_none_none_lod.nif,,,,,,10|m_redv_w_oswd_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3068,Npc,03066.kfm,,,,,m_redv_a_lows_none_none_lod.nif,,,,,,10|m_redv_w_oswd_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3069,Npc,03069.kfm,,,,,m_redv_a_lows_none_none_lod.nif,,,,,3|m_redv_w_taxe_all_a_lod.nif,3|m_redv_w_taxe_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3070,Npc,03069.kfm,,,,,m_redv_a_lows_none_none_lod.nif,,,,,3|m_redv_w_taxe_all_a_lod.nif,3|m_redv_w_taxe_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3071,Npc,03069.kfm,,,,,m_redv_a_lows_none_none_lod.nif,,,,,3|m_redv_w_taxe_all_a_lod.nif,3|m_redv_w_taxe_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3072,Npc,03072.kfm,,,,,m_redv_a_lows_none_none_lod.nif,,,,,,2|m_redv_w_tstf_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3073,Npc,03072.kfm,,,,,m_redv_a_lows_none_none_lod.nif,,,,,,2|m_redv_w_tstf_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
3074,Npc,03072.kfm,,,,,m_redv_a_lows_none_none_lod.nif,,,,,,2|m_redv_w_tstf_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
5000,Npc,05000.kfm,,,,,m_gnon_a_lows_none_none_lod.nif,,,,,,7|m_gnon_w_oblt_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5001,Npc,05000.kfm,,,,,m_gnon_b_lows_none_none_lod.bif,,,,,,7|m_gnon_w_oblt_rgt_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5002,Npc,05000.kfm,,,,,m_gnon_c_lows_none_none_lod.nif,,,,,,7|m_gnon_w_oblt_rgt_c_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5003,Npc,05003.kfm,,,,,m_illn_a_lows_none_none_lod.nif,,,,,,10|m_illn_w_oswd_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5004,Npc,05003.kfm,,,,,m_illn_b_lows_none_none_lod.bif,,,,,,10|m_illn_w_oswd_rgt_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5005,Npc,05003.kfm,,,,,m_illn_c_lows_none_none_lod.nif,,,,,,10|m_illn_w_oswd_rgt_c_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5006,Npc,05006.kfm,,,,,m_abec_a_lows_none_none_lod.nif,,,,,,10|m_abec_w_oswd_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5007,Npc,05006.kfm,,,,,m_abec_b_lows_none_none_lod.bif,,,,,,10|m_abec_w_oswd_rgt_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5008,Npc,05006.kfm,,,,,m_abec_c_lows_none_none_lod.nif,,,,,,10|m_abec_w_oswd_rgt_c_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5009,Npc,05009.kfm,,,,,m_barl_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5010,Npc,05009.kfm,,,,,m_barl_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5011,Npc,05009.kfm,,,,,m_barl_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5012,Npc,05012.kfm,,,,,m_entr_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
5013,Npc,05012.kfm,,,,,m_entr_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
5014,Npc,05012.kfm,,,,,m_entr_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,1,0
5015,Npc,05015.kfm,,,,,m_hmas_a_lows_none_none_lod.nif,,,,,,3|m_hmas_w_taxe_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5016,Npc,05015.kfm,,,,,m_hmas_b_lows_none_none_lod.bif,,,,,,3|m_hmas_w_taxe_rgt_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5017,Npc,05015.kfm,,,,,m_hmas_c_lows_none_none_lod.nif,,,,,,3|m_hmas_w_taxe_rgt_c_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5018,Npc,05018.kfm,,,,,m_bldm_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5019,Npc,05018.kfm,,,,,m_bldm_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5020,Npc,05018.kfm,,,,,m_bldm_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5021,Npc,05021.kfm,,,,,m_spst_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5022,Npc,05021.kfm,,,,,m_spst_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5023,Npc,05021.kfm,,,,,m_spst_c_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5024,Npc,05024.kfm,,,,,m_mrum_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5025,Npc,05024.kfm,,,,,m_mrum_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5026,Npc,05024.kfm,,,,,m_mrum_c_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5027,Npc,05027.kfm,,,,,m_galb_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5028,Npc,05027.kfm,,,,,m_galb_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5029,Npc,05027.kfm,,,,,m_galb_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5030,Npc,05032.kfm,,,,,m_ndos_a_lows_none_none_lod.nif,,,,,,1|m_ndos_w_pike_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5031,Npc,05032.kfm,,,,,m_ndos_b_lows_none_none_lod.bif,,,,,,1|m_ndos_w_pike_rgt_b_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5032,Npc,05032.kfm,,,,,m_ndos_c_lows_none_none_lod.nif,,,,,,1|m_ndos_w_pike_rgt_c_lod.bif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5033,Npc,05033.kfm,,,,,m_thie_a_lows_none_none_lod.nif,,,,,0|m_wood_w_shld_lft_a_lod.nif,10|m_wood_w_oswd_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5034,Npc,05033.kfm,,,,,m_thie_b_lows_none_none_lod.bif,,,,,0|m_wood_w_shld_lft_a_lod.nif,10|m_wood_w_oswd_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5035,Npc,05033.kfm,,,,,m_thie_c_lows_none_none_lod.nif,,,,,0|m_iron_w_shld_lft_a_lod.nif,10|m_iron_w_oswd_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5036,Npc,05036.kfm,,,,,m_thie_a_lows_none_none_lod.nif,,,,,,12|p_w_tarb_00_all_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5037,Npc,05036.kfm,,,,,m_thie_b_lows_none_none_lod.bif,,,,,,12|p_w_tarb_00_all_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5038,Npc,05036.kfm,,,,,m_thie_c_lows_none_none_lod.nif,,,,,,12|p_w_tarb_01_all_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5039,Npc,05039.kfm,,,,,m_band_a_lows_none_none_lod.nif,,,,,3|p_w_taxe_00_all_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5040,Npc,05039.kfm,,,,,m_band_b_lows_none_none_lod.bif,,,,,3|p_w_taxe_00_all_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5041,Npc,05039.kfm,,,,,m_band_c_lows_none_none_lod.nif,,,,,3|p_w_taxe_01_all_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5042,Npc,05042.kfm,,,,,m_band_a_lows_none_none_lod.nif,,,,,4|m_lefu_w_tbow_all_a_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5043,Npc,05042.kfm,,,,,m_band_b_lows_none_none_lod.bif,,,,,4|m_lefu_w_tbow_all_a_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5044,Npc,05042.kfm,,,,,m_band_c_lows_none_none_lod.nif,,,,,4|m_iron_w_tbow_all_a_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
5045,Npc,05045.kfm,,,,,m_necr_a_lows_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,1
5046,Npc,05045.kfm,,,,,m_necr_b_lows_none_none_lod.bif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,1
5047,Npc,05045.kfm,,,,,m_necr_c_lows_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,1
5048,Npc,05048.kfm,,,,,m_bull_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5049,Npc,05048.kfm,,,,,m_bull_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5050,Npc,05048.kfm,,,,,m_bull_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5051,Npc,05051.kfm,,,,,m_deat_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5052,Npc,05051.kfm,,,,,m_deat_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5053,Npc,05051.kfm,,,,,m_deat_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5054,Npc,05054.kfm,,,,,m_cent_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5055,Npc,05054.kfm,,,,,m_cent_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5056,Npc,05054.kfm,,,,,m_cent_c_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5063,Npc,05063.kfm,,,,,m_vass_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5064,Npc,05063.kfm,,,,,m_vass_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5065,Npc,05063.kfm,,,,,m_vass_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5066,Npc,05066.kfm,,,,,m_volf_a_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5067,Npc,05066.kfm,,,,,m_volf_b_lows_none_none_lod.bif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5068,Npc,05066.kfm,,,,,m_volf_c_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,1
5069,Npc,05069.kfm,,,,,m_bayn_a_lows_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,1
5070,Npc,05069.kfm,,,,,m_bayn_b_lows_none_none_lod.bif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,1
5071,Npc,05069.kfm,,,,,m_bayn_c_lows_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,0,1
7000,Npc,07000.kfm,,,,,m_rgol_a_lows_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,1,0
7001,Npc,07000.kfm,,,,,m_rgol_b_lows_none_none_lod.bif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,1,0
7002,Npc,07000.kfm,,,,,m_rgol_c_lows_none_none_lod.nif,,,,,,,,4000.0f,5000.0f,6000.0f,7000.0f,10000.0f,,1,0
7003,Npc,07003.kfm,,,,,m_gble_a_lows_none_none_lod.nif,,,,,,7|m_lefu_w_oblt_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
7004,Npc,07004.kfm,,,,,m_gble_b_lows_none_none_lod.nif,,,,,4|m_lefu_w_tbow_all_a_lod.nif,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
7005,Npc,07005.kfm,,,,,m_gble_c_lows_none_none_lod.nif,,,,,,2|m_lefu_w_tstf_all_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
7006,Npc,07006.kfm,,,,,m_trle_a_lows_none_none_lod.nif,,,,,,7|m_lefu_w_oblt_rgt_a_lod.nif,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
7007,Npc,07007.kfm,,,,,m_trle_b_lows_none_none_lod.nif,,,,,,,,2000.0f,3000.0f,4000.0f,5000.0f,8000.0f,,0,0
