TID,Comment,ReqTotal,STR,CON,WIS,MEN,AGI,HPFixed,HPR,HPRBuff,MPFixed,MPR,MPRBuff,POPMin,POPMax,MOPMin,MOPMax,PD,MD,FD,WD,AD,LD,AP,DP,BP,CP,IGN_AT,PvP_AT,PvP_DF,AS,RS,CS,EngDesc,LocalDesc
134,高级-1憎恶之颈甲套装(Lv.35),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0,0,15,0,0,0,0,0,70,0,0,,5套装：+92护甲的物理，魔法护甲+92
135,高级-1憎恶之颈甲套装(Lv.35),6,14,0,0,0,18,0,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0,0,15,0,0,0,0,0,70,0,0,,6件：+14力量，+18敏捷
136,高级-2憎恶之颈甲套装(Lv.35),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
137,高级-2憎恶之颈甲套装(Lv.35),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,3套装：+25命中度
138,高级-2憎恶之颈甲套装(Lv.35),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16,0,0,0,0,0,0,,4套装：+16致命一击
139,高级-2憎恶之颈甲套装(Lv.35),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0,25,0,0,16,0,0,0,0,0,0,,5套装：+92护甲的物理，魔法护甲+92
140,高级-2憎恶之颈甲套装(Lv.35),6,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0,25,0,0,16,0,0,0,0,0,0,,6件：+11力量，+21敏捷
141,高级-1憎恶之中等套装(Lv.35),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
142,高级-1憎恶之中等套装(Lv.35),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,,3套装：+13闪避
143,高级-1憎恶之中等套装(Lv.35),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,0,0,0,0,0,0,0,,4套装：+23减少伤害
144,高级-1憎恶之中等套装(Lv.35),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,74,0,0,0,0,0,13,23,0,0,0,0,0,0,0,,5套装：+110护甲的物理，魔法护甲+74
145,高级-1憎恶之中等套装(Lv.35),6,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,110,74,0,0,0,0,0,13,23,0,0,0,0,0,0,0,,6件：+11力量，+21耐力
146,高级-2憎恶之中等套装(Lv.35),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
147,高级-2憎恶之中等套装(Lv.35),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,3套装：+25命中度
148,高级-2憎恶之中等套装(Lv.35),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,14,0,0,0,0,0,0,,4套装：+14致命一击
149,高级-2憎恶之中等套装(Lv.35),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,74,0,0,0,0,25,0,0,14,0,0,0,0,0,0,,5套装：+110护甲的物理，魔法护甲+74
150,高级-2憎恶之中等套装(Lv.35),6,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,110,74,0,0,0,0,25,0,0,14,0,0,0,0,0,0,,6件：+18力量，+14耐力
151,高级-1名誉之洛夫套装(Lv.40),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
152,高级-1名誉之洛夫套装(Lv.40),3,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3套装：+67魔法值
153,高级-1名誉之洛夫套装(Lv.40),4,0,0,0,0,0,0,0,80,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4组：治疗+ 80
154,高级-1名誉之洛夫套装(Lv.40),5,0,0,0,0,0,0,0,80,0,67,0,0,0,0,0,84,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+84护甲的物理，魔法护甲+126
155,高级-1名誉之洛夫套装(Lv.40),6,0,16,0,20,0,0,0,80,0,67,0,0,0,0,0,84,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.套装：+16耐力，+20精神
156,高级-2名誉之洛夫套装(Lv.40),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
157,高级-2名誉之洛夫套装(Lv.40),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,3套装：+30命中度
158,高级-2名誉之洛夫套装(Lv.40),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,14,0,0,0,0,0,0,,4套装：+14致命一击
159,高级-2名誉之洛夫套装(Lv.40),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,126,0,0,0,0,30,0,0,14,0,0,0,0,0,0,,5套装：+84护甲的物理，魔法护甲+126
160,高级-2名誉之洛夫套装(Lv.40),6,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,84,126,0,0,0,0,30,0,0,14,0,0,0,0,0,0,,6.套装：+20智力，精神+16
161,高级-1名誉之颈甲套装(Lv.40),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
162,高级-1名誉之颈甲套装(Lv.40),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,,3套装：+20闪避
163,高级-1名誉之颈甲套装(Lv.40),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,80,0,0,,4套装：攻击速度+ 8％
164,高级-1名誉之颈甲套装(Lv.40),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,20,0,0,0,0,0,80,0,0,,5套装：+105护甲的物理，魔法护甲+105
165,高级-1名誉之颈甲套装(Lv.40),6,16,0,0,0,20,0,0,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,20,0,0,0,0,0,80,0,0,,6件：+16力量，+20敏捷
166,高级-2名誉之颈甲套装(Lv.40),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
167,高级-2名誉之颈甲套装(Lv.40),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,3套装：+30命中度
168,高级-2名誉之颈甲套装(Lv.40),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,18,0,0,0,0,0,0,,4套装：+18致命一击
169,高级-2名誉之颈甲套装(Lv.40),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,0,0,0,0,30,0,0,18,0,0,0,0,0,0,,5套装：+105护甲的物理，魔法护甲+105
170,高级-2名誉之颈甲套装(Lv.40),6,12,0,0,0,24,0,0,0,0,0,0,0,0,0,0,105,105,0,0,0,0,30,0,0,18,0,0,0,0,0,0,,6件：+12力量，+24敏捷
171,高级-1名誉之中等套装(Lv.40),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
172,高级-1名誉之中等套装(Lv.40),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,,3套装：+18闪避
173,高级-1名誉之中等套装(Lv.40),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,0,0,0,0,0,0,0,,4套装：+27减少伤害
174,高级-1名誉之中等套装(Lv.40),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,84,0,0,0,0,0,18,27,0,0,0,0,0,0,0,,5套装：+126护甲的物理，魔法护甲+84
175,高级-1名誉之中等套装(Lv.40),6,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,126,84,0,0,0,0,0,18,27,0,0,0,0,0,0,0,,6件：+12力量，+24耐力
176,高级-2名誉之中等套装(Lv.40),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
177,高级-2名誉之中等套装(Lv.40),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,,3套装：+30命中度
178,高级-2名誉之中等套装(Lv.40),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,15,0,0,0,0,0,0,,4套装：+15致命一击
179,高级-2名誉之中等套装(Lv.40),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,84,0,0,0,0,30,0,0,15,0,0,0,0,0,0,,5套装：+126护甲的物理，魔法护甲+84
180,高级-2名誉之中等套装(Lv.40),6,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,126,84,0,0,0,0,30,0,0,15,0,0,0,0,0,0,,6件：+20力量，+16耐力
181,高级-1名誉之洛夫套装(Lv.42),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
182,高级-1名誉之洛夫套装(Lv.42),3,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3套装：+ 70点法力值
183,高级-1名誉之洛夫套装(Lv.42),4,0,0,0,0,0,0,0,90,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4组：治疗+90
184,高级-1名誉之洛夫套装(Lv.42),5,0,0,0,0,0,0,0,90,0,70,0,0,0,0,0,88,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+88护甲的物理，魔法护甲+132
185,高级-1名誉之洛夫套装(Lv.42),6,0,17,0,21,0,0,0,90,0,70,0,0,0,0,0,88,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.套装：+17耐力，+21精神
186,高级-2名誉之洛夫套装(Lv.42),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
187,高级-2名誉之洛夫套装(Lv.42),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,,3套装：+33命中度
188,高级-2名誉之洛夫套装(Lv.42),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,13,0,0,0,0,0,0,,4套装：+13致命一击
189,高级-2名誉之洛夫套装(Lv.42),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,132,0,0,0,0,33,0,0,13,0,0,0,0,0,0,,5套装：+88护甲的物理，魔法护甲+132
190,高级-2名誉之洛夫套装(Lv.42),6,0,0,21,17,0,0,0,0,0,0,0,0,0,0,0,88,132,0,0,0,0,33,0,0,13,0,0,0,0,0,0,,6.套装：+21智力，精神+17
191,高级-1名誉之颈甲套装(Lv.42),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
192,高级-1名誉之颈甲套装(Lv.42),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,,3套装：+22闪避
193,高级-1名誉之颈甲套装(Lv.42),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,84,0,0,,4套装：攻击速度+ 8.4％
194,高级-1名誉之颈甲套装(Lv.42),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,22,0,0,0,0,0,84,0,0,,5套装：+110护甲的物理，魔法护甲+110
195,高级-1名誉之颈甲套装(Lv.42),6,17,0,0,0,21,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,22,0,0,0,0,0,84,0,0,,6件：+17力量，+21敏捷
196,高级-2名誉之颈甲套装(Lv.42),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
197,高级-2名誉之颈甲套装(Lv.42),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,,3套装：+33命中度
198,高级-2名誉之颈甲套装(Lv.42),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,19,0,0,0,0,0,0,,4套装：+19致命一击
199,高级-2名誉之颈甲套装(Lv.42),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,33,0,0,19,0,0,0,0,0,0,,5套装：+110护甲的物理，魔法护甲+110
200,高级-2名誉之颈甲套装(Lv.42),6,13,0,0,0,25,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,33,0,0,19,0,0,0,0,0,0,,6件：+13力量，+25敏捷
201,高级-1名誉之中等套装(Lv.42),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
202,高级-1名誉之中等套装(Lv.42),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,,3套装：+20闪避
203,高级-1名誉之中等套装(Lv.42),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0,0,0,0,0,0,0,,4套装：+29减少伤害
204,高级-1名誉之中等套装(Lv.42),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,88,0,0,0,0,0,20,29,0,0,0,0,0,0,0,,5套装：+132护甲的物理，魔法护甲+88
205,高级-1名誉之中等套装(Lv.42),6,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,132,88,0,0,0,0,0,20,29,0,0,0,0,0,0,0,,6件：+13力量，+25耐力
206,高级-2名誉之中等套装(Lv.42),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
207,高级-2名誉之中等套装(Lv.42),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,,3套装：+33命中度
208,高级-2名誉之中等套装(Lv.42),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,16,0,0,0,0,0,0,,4套装：+16致命一击
209,高级-2名誉之中等套装(Lv.42),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,88,0,0,0,0,33,0,0,16,0,0,0,0,0,0,,5套装：+132护甲的物理，魔法护甲+88
210,高级-2名誉之中等套装(Lv.42),6,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,132,88,0,0,0,0,33,0,0,16,0,0,0,0,0,0,,6件：+21力量，+17耐力
211,高级-1名誉之洛夫套装(Lv.45),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
212,高级-1名誉之洛夫套装(Lv.45),3,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3套装：+75魔法值
213,高级-1名誉之洛夫套装(Lv.45),4,0,0,0,0,0,0,0,100,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4组：治疗+100
214,高级-1名誉之洛夫套装(Lv.45),5,0,0,0,0,0,0,0,100,0,75,0,0,0,0,0,95,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+95护甲的物理，魔法护甲+142
215,高级-1名誉之洛夫套装(Lv.45),6,0,18,0,23,0,0,0,100,0,75,0,0,0,0,0,95,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.套装：+18耐力，+23精神
216,高级-2名誉之洛夫套装(Lv.45),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
217,高级-2名誉之洛夫套装(Lv.45),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,,3套装：+38命中度
218,高级-2名誉之洛夫套装(Lv.45),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,14,0,0,0,0,0,0,,4套装：+14致命一击
219,高级-2名誉之洛夫套装(Lv.45),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,142,0,0,0,0,38,0,0,14,0,0,0,0,0,0,,5套装：+95护甲的物理，魔法护甲+142
220,高级-2名誉之洛夫套装(Lv.45),6,0,0,23,18,0,0,0,0,0,0,0,0,0,0,0,95,142,0,0,0,0,38,0,0,14,0,0,0,0,0,0,,6.套装：+23智力，精神+18
221,高级-1名誉之颈甲套装(Lv.45),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
222,高级-1名誉之颈甲套装(Lv.45),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,,3套装：+24闪避
223,高级-1名誉之颈甲套装(Lv.45),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,90,0,0,,4套装：攻击速度+ 9％
224,高级-1名誉之颈甲套装(Lv.45),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0,0,0,0,0,24,0,0,0,0,0,90,0,0,,5套装：+118护甲的物理，魔法护甲+118
225,高级-1名誉之颈甲套装(Lv.45),6,18,0,0,0,23,0,0,0,0,0,0,0,0,0,0,118,118,0,0,0,0,0,24,0,0,0,0,0,90,0,0,,6件：+18力量，+23敏捷
226,高级-2名誉之颈甲套装(Lv.45),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
227,高级-2名誉之颈甲套装(Lv.45),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,,3套装：+38命中度
228,高级-2名誉之颈甲套装(Lv.45),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,21,0,0,0,0,0,0,,4套装：+21致命一击
229,高级-2名誉之颈甲套装(Lv.45),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0,0,0,0,38,0,0,21,0,0,0,0,0,0,,5套装：+118护甲的物理，魔法护甲+118
230,高级-2名誉之颈甲套装(Lv.45),6,14,0,0,0,27,0,0,0,0,0,0,0,0,0,0,118,118,0,0,0,0,38,0,0,21,0,0,0,0,0,0,,6件：+14力量，+27敏捷
231,高级-1名誉之中等套装(Lv.45),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
232,高级-1名誉之中等套装(Lv.45),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,,3套装：+22闪避
233,高级-1名誉之中等套装(Lv.45),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,0,0,0,0,0,0,0,,4套装：+30减少伤害
234,高级-1名誉之中等套装(Lv.45),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,95,0,0,0,0,0,22,30,0,0,0,0,0,0,0,,5套装：+142护甲的物理，魔法护甲+95
235,高级-1名誉之中等套装(Lv.45),6,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,142,95,0,0,0,0,0,22,30,0,0,0,0,0,0,0,,6件：+14力量，+27耐力
236,高级-2名誉之中等套装(Lv.45),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
237,高级-2名誉之中等套装(Lv.45),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,,3套装：+38命中度
238,高级-2名誉之中等套装(Lv.45),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,17,0,0,0,0,0,0,,4套装：+17致命一击
239,高级-2名誉之中等套装(Lv.45),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,95,0,0,0,0,38,0,0,17,0,0,0,0,0,0,,5套装：+142护甲的物理，魔法护甲+95
240,高级-2名誉之中等套装(Lv.45),6,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,142,95,0,0,0,0,38,0,0,17,0,0,0,0,0,0,,6件：+23力量，+18耐力
241,高级-1名誉之洛夫套装(Lv.47),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
242,高级-1名誉之洛夫套装(Lv.47),3,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3套装：+79魔法值
243,高级-1名誉之洛夫套装(Lv.47),4,0,0,0,0,0,0,0,110,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4组：治疗+110
244,高级-1名誉之洛夫套装(Lv.47),5,0,0,0,0,0,0,0,110,0,79,0,0,0,0,0,99,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+99护甲的物理，魔法护甲+148
245,高级-1名誉之洛夫套装(Lv.47),6,0,19,0,24,0,0,0,110,0,79,0,0,0,0,0,99,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.套装：+19耐力+24精神
246,高级-2名誉之洛夫套装(Lv.47),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
247,高级-2名誉之洛夫套装(Lv.47),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,3套装：+42命中度
248,高级-2名誉之洛夫套装(Lv.47),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,15,0,0,0,0,0,0,,4套装：+15致命一击
249,高级-2名誉之洛夫套装(Lv.47),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,148,0,0,0,0,42,0,0,15,0,0,0,0,0,0,,5套装：+99护甲的物理，魔法护甲+148
250,高级-2名誉之洛夫套装(Lv.47),6,0,0,24,19,0,0,0,0,0,0,0,0,0,0,0,99,148,0,0,0,0,42,0,0,15,0,0,0,0,0,0,,6.套装：+24智力，精神+19
251,高级-1名誉之颈甲套装(Lv.47),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
252,高级-1名誉之颈甲套装(Lv.47),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,,3套装：+26闪避
253,高级-1名誉之颈甲套装(Lv.47),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,94,0,0,,4套装：攻击速度+ 9.4％
254,高级-1名誉之颈甲套装(Lv.47),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,0,0,0,0,0,26,0,0,0,0,0,94,0,0,,5套装：+123护甲的物理，魔法护甲+123
255,高级-1名誉之颈甲套装(Lv.47),6,19,0,0,0,24,0,0,0,0,0,0,0,0,0,0,123,123,0,0,0,0,0,26,0,0,0,0,0,94,0,0,,6件：+19力量，+24敏捷
256,高级-2名誉之颈甲套装(Lv.47),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
257,高级-2名誉之颈甲套装(Lv.47),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,3套装：+42命中度
258,高级-2名誉之颈甲套装(Lv.47),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,,4套装：+22致命一击
259,高级-2名誉之颈甲套装(Lv.47),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5套装：+123护甲的物理，魔法护甲+123
260,高级-2名誉之颈甲套装(Lv.47),6,14,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6件：+14力量，+28敏捷
261,高级-1名誉之中等套装(Lv.47),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
262,高级-1名誉之中等套装(Lv.47),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,,3套装：+24闪避
263,高级-1名誉之中等套装(Lv.47),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,0,0,0,0,0,0,0,,4套装：+32减少伤害
264,高级-1名誉之中等套装(Lv.47),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,99,0,0,0,0,0,24,32,0,0,0,0,0,0,0,,5套装：+148护甲的物理，魔法护甲+99
265,高级-1名誉之中等套装(Lv.47),6,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,148,99,0,0,0,0,0,24,32,0,0,0,0,0,0,0,,6件：+14力量，+28耐力
266,高级-2名誉之中等套装(Lv.47),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2套装：无
267,高级-2名誉之中等套装(Lv.47),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,3套装：+42命中度
268,高级-2名誉之中等套装(Lv.47),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,18,0,0,0,0,0,0,,4套装：+18致命一击
269,高级-2名誉之中等套装(Lv.47),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,99,0,0,0,0,42,0,0,18,0,0,0,0,0,0,,5套装：+148护甲的物理，魔法护甲+99
270,高级-2名誉之中等套装(Lv.47),6,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,148,99,0,0,0,0,42,0,0,18,0,0,0,0,0,0,,6件：+24力量，+19耐力
