TID,Comment,ItemTID,SetAbilityTID
601,破坏 - 英雄中级套装（Lv.55）,106860|106861|106862|106863|106864|106865,5261|5262|5263|5264|5265
602,破坏 - 中级套装斗争（Lv.55）,106870|106871|106872|106873|106874|106875,5266|5267|5268|5269|5270
603,破坏 - 罗布套装一初始（Lv.55）,106900|106901|106902|106903|106904|106905,5241|5242|5243|5244|5245
604,破坏 - 初始罗布套装（Lv.55）,106910|106911|106912|106913|106914|106915,5246|5247|5248|5249|5250
605,破坏 - 颈甲套装欢迎（Lv.55）,106930|106931|106932|106933|106934|106935,5251|5252|5253|5254|5255
606,破坏 - 颈甲的假象套装（Lv.55）,106940|106941|106942|106943|106944|106945,5256|5257|5258|5259|5260
607,破坏 - 中级套装不朽（Lv.55）,106960|106961|106962|106963|106964|106965,5261|5262|5263|5264|5265
608,破坏 - 凡人中级套装（Lv.55）,106970|106971|106972|106973|106974|106975,5266|5267|5268|5269|5270
609,破坏 - 罗布套装永恒之（Lv.57）,107000|107001|107002|107003|107004|107005,5271|5272|5273|5274|5275
610,破坏 - 罗布毁灭套装（Lv.57）,107010|107011|107012|107013|107014|107015,5276|5277|5278|5279|5280
611,破坏 - 颈甲灯罩套装（Lv.57）,107030|107031|107032|107033|107034|107035,5281|5282|5283|5284|5285
612,破坏 - 颈甲套装帐幕（Lv.57）,107040|107041|107042|107043|107044|107045,5286|5287|5288|5289|5290
613,破坏 - 英雄中级套装（Lv.57）,107060|107061|107062|107063|107064|107065,5291|5292|5293|5294|5295
614,破坏 - 中级套装斗争（Lv.57）,107070|107071|107072|107073|107074|107075,5296|5297|5298|5299|5300
615,破坏 - 罗布套装一初始（Lv.57）,107100|107101|107102|107103|107104|107105,5271|5272|5273|5274|5275
616,破坏 - 初始罗布套装（Lv.57）,107110|107111|107112|107113|107114|107115,5276|5277|5278|5279|5280
617,破坏 - 颈甲套装欢迎（Lv.57）,107130|107131|107132|107133|107134|107135,5281|5282|5283|5284|5285
618,破坏 - 颈甲的假象套装（Lv.57）,107140|107141|107142|107143|107144|107145,5286|5287|5288|5289|5290
619,破坏 - 中级套装不朽（Lv.57）,107160|107161|107162|107163|107164|107165,5291|5292|5293|5294|5295
620,破坏 - 凡人中级套装（Lv.57）,107170|107171|107172|107173|107174|107175,5296|5297|5298|5299|5300
621,破坏 - 罗布套装永恒之（Lv.58）,107200|107201|107202|107203|107204|107205,5301|5302|5303|5304|5305
622,破坏 - 罗布毁灭套装（Lv.58）,107210|107211|107212|107213|107214|107215,5306|5307|5308|5309|5310
623,破坏 - 颈甲灯罩套装（Lv.58）,107230|107231|107232|107233|107234|107235,5311|5312|5313|5314|5315
624,破坏 - 颈甲套装帐幕（Lv.58）,107240|107241|107242|107243|107244|107245,5316|5317|5318|5319|5320
625,破坏 - 英雄中级套装（Lv.58）,107260|107261|107262|107263|107264|107265,5321|5322|5323|5324|5325
626,破坏 - 中级套装斗争（Lv.58）,107270|107271|107272|107273|107274|107275,5326|5327|5328|5329|5330
627,破坏 - 罗布套装一初始（Lv.58）,107300|107301|107302|107303|107304|107305,5301|5302|5303|5304|5305
628,破坏 - 初始罗布套装（Lv.58）,107310|107311|107312|107313|107314|107315,5306|5307|5308|5309|5310
629,破坏 - 颈甲套装欢迎（Lv.58）,107330|107331|107332|107333|107334|107335,5311|5312|5313|5314|5315
630,破坏 - 颈甲的假象套装（Lv.58）,107340|107341|107342|107343|107344|107345,5316|5317|5318|5319|5320
631,破坏 - 中级套装不朽（Lv.58）,107360|107361|107362|107363|107364|107365,5321|5322|5323|5324|5325
632,破坏 - 凡人中级套装（Lv.58）,107370|107371|107372|107373|107374|107375,5326|5327|5328|5329|5330
633,破坏 - 罗布套装永恒之（Lv.59）,107400|107401|107402|107403|107404|107405,5331|5332|5333|5334|5335
634,破坏 - 罗布毁灭套装（Lv.59）,107410|107411|107412|107413|107414|107415,5336|5337|5338|5339|5340
635,破坏 - 颈甲灯罩套装（Lv.59）,107430|107431|107432|107433|107434|107435,5341|5342|5343|5344|5345
636,破坏 - 颈甲套装帐幕（Lv.59）,107440|107441|107442|107443|107444|107445,5346|5347|5348|5349|5350
637,破坏 - 英雄中级套装（Lv.59）,107460|107461|107462|107463|107464|107465,5351|5352|5353|5354|5355
638,破坏 - 中级套装斗争（Lv.59）,107470|107471|107472|107473|107474|107475,5356|5357|5358|5359|5360
639,破坏 - 罗布套装一初始（Lv.59）,107500|107501|107502|107503|107504|107505,5331|5332|5333|5334|5335
640,破坏 - 初始罗布套装（Lv.59）,107510|107511|107512|107513|107514|107515,5336|5337|5338|5339|5340
641,破坏 - 颈甲套装欢迎（Lv.59）,107530|107531|107532|107533|107534|107535,5341|5342|5343|5344|5345
642,破坏 - 颈甲的假象套装（Lv.59）,107540|107541|107542|107543|107544|107545,5346|5347|5348|5349|5350
643,破坏 - 中级套装不朽（Lv.59）,107560|107561|107562|107563|107564|107565,5351|5352|5353|5354|5355
644,破坏 - 凡人中级套装（Lv.59）,107570|107571|107572|107573|107574|107575,5356|5357|5358|5359|5360
645,破坏 - 罗布套装永恒之（Lv.60）,107600|107601|107602|107603|107604|107605,5331|5332|5333|5334|5335
646,破坏 - 罗布毁灭套装（Lv.60）,107610|107611|107612|107613|107614|107615,5336|5337|5338|5339|5340
647,破坏 - 颈甲灯罩套装（Lv.60）,107630|107631|107632|107633|107634|107635,5341|5342|5343|5344|5345
648,破坏 - 颈甲套装帐幕（Lv.60）,107640|107641|107642|107643|107644|107645,5346|5347|5348|5349|5350
649,破坏 - 英雄中级套装（Lv.60）,107660|107661|107662|107663|107664|107665,5351|5352|5353|5354|5355
650,破坏 - 中级套装斗争（Lv.60）,107670|107671|107672|107673|107674|107675,5356|5357|5358|5359|5360
651,破坏 - 罗布套装一初始（Lv.60）,107700|107701|107702|107703|107704|107705,5331|5332|5333|5334|5335
652,破坏 - 初始罗布套装（Lv.60）,107710|107711|107712|107713|107714|107715,5336|5337|5338|5339|5340
653,破坏 - 颈甲套装欢迎（Lv.60）,107730|107731|107732|107733|107734|107735,5341|5342|5343|5344|5345
654,破坏 - 颈甲的假象套装（Lv.60）,107740|107741|107742|107743|107744|107745,5346|5347|5348|5349|5350
655,破坏 - 中级套装不朽（Lv.60）,107760|107761|107762|107763|107764|107765,5351|5352|5353|5354|5355
656,破坏 - 凡人中级套装（Lv.60）,107770|107771|107772|107773|107774|107775,5356|5357|5358|5359|5360
800,破坏-平凡的黑暗化身套装 (1次),202011|202012|202013|202014|202015|202016,5361|5362|5363|5364|5365
801,破坏-高级黑暗化身套装(1次),202021|202022|202023|202024|202025|202026,5366|5367|5368|5369|5370
802,破坏-稀有的黑暗化身套装(1次),202031|202032|202033|202034|202035|202036,5371|5372|5373|5374|5375
803,破坏-平凡的冰之化身套装(2次),202041|202042|202043|202044|202045|202046,5376|5377|5378|5379|5380
804,破坏-高级的冰之化身套装(2次),202051|202052|202053|202054|202055|202056,5381|5382|5383|5384|5385
805,破坏-稀有的冰之化身套装(2次),202061|202062|202063|202064|202065|202066,5386|5387|5388|5389|5390
806,破坏-时髦的黑暗化身套装(活动),202071|202072|202073|202074|202075|202076,5391|5392|5393|5394|5395
1001,1忍耐的饰品(Lv.10),110000|115000|115000,10000|10001
1002,2忍耐的饰品(Lv.10),110001|115001|115001,10006|10007
1003,1无畏之饰品(Lv.20),110100|115100|115100,10010|10011
1004,2无畏之饰品(Lv.20),110101|115101|115101,10016|10017
1005,1裂纹饰品（Lv.25）,110200|115200|115200,10020|10021
1006,2裂缝饰品（Lv.25）,110201|115201|115201,10026|10027
1007,1超级饰品（Lv.30）,110300|115300|115300,10030|10031
1008,2人饰品（Lv.30）,110301|115301|115301,10036|10037
1009,1兴致饰品的（Lv.35）,110400|115400|115400,10040|10041
1010,2灵饰品的（Lv.35）,110401|115401|115401,10046|10047
1011,1荣誉饰品（Lv.40）,110500|115500|115500,10050|10051
1012,2荣誉饰品（Lv.40）,110501|115501|115501,10056|10057
1013,1传说饰品（Lv.42）,110600|115600|115600,10060|10061
1014,2传奇的饰品（Lv.42）,110601|115601|115601,10066|10067
1015,1销毁饰品（Lv.45）,110700|115700|115700,10070|10071
1016,2厄运饰品（Lv.45）,110701|115701|115701,10076|10077
1017,1荣誉饰品（Lv.47）,110800|115800|115800,10080|10081
1018,2荣誉饰品（Lv.47）,110801|115801|115801,10086|10087
1019,1传说饰品（Lv.50）,110900|115900|115900,10090|10091
1020,2传奇的饰品（Lv.50）,110901|115901|115901,10096|10097
1021,1销毁饰品（Lv.52）,111000|116000|116000,10100|10101
1022,2厄运饰品（Lv.52）,111001|116001|116001,10106|10107
1023,1销毁饰品（Lv.55）,111100|116100|116100,10110|10111
1024,2厄运饰品（Lv.55）,111101|116101|116101,10116|10117
