TID,Comment,EngName,LocalName,SrcEntityTID,DstEntityTID,DstWorldPlaceTID,Radius,reqRace,reqMinLV,reqMaxLV,reqQuest,reqMoney,reqItem,reqItemCount,reqHaveItem,reqHaveItemCount
1151,首相之村 逃脱,PTT_Name_000192,班迪路娜 逃脱,101119,101100,4137,1,10,1,99,0,4500,0,0,0,0
1152,首相之村 逃脱,PTT_Name_000193,灵魂祭坛 逃脱,101119,101120,28393,1,10,1,99,0,4500,0,0,0,0
1153,首相之村 逃脱,PTT_Name_000194,硫磺村庄逃脱,101119,101121,28395,1,10,1,99,0,9000,0,0,0,0
1154,首相之村 逃脱,PTT_Name_000195,戴穆里申讨伐队据点 逃脱,101119,101122,28401,1,10,1,99,0,13500,0,0,0,0
1161,灵魂祭坛 逃脱,PTT_Name_000196,班迪路娜 逃脱,101120,101100,4137,1,10,1,99,0,4500,0,0,0,0
1162,灵魂祭坛 逃脱,PTT_Name_000197,首相之村 逃脱,101120,101119,28389,1,10,1,99,0,4500,0,0,0,0
1163,灵魂祭坛 逃脱,PTT_Name_000198,硫磺村庄逃脱,101120,101121,28395,1,10,1,99,0,9000,0,0,0,0
1164,灵魂祭坛 逃脱,PTT_Name_000199,戴穆里申讨伐队据点 逃脱,101120,101122,28401,1,10,1,99,0,13500,0,0,0,0
1171,硫磺村庄逃脱,PTT_Name_000200,班迪路娜 逃脱,101121,101100,4137,1,10,1,99,0,4500,0,0,0,0
1172,硫磺村庄逃脱,PTT_Name_000201,首相之村 逃脱,101121,101119,28389,1,10,1,99,0,4500,0,0,0,0
1173,硫磺村庄逃脱,PTT_Name_000202,灵魂祭坛 逃脱,101121,101120,28393,1,10,1,99,0,9000,0,0,0,0
1174,硫磺村庄逃脱,PTT_Name_000203,戴穆里申讨伐队据点 逃脱,101121,101122,28401,1,10,1,99,0,13500,0,0,0,0
1181,戴穆里申讨伐队据点 逃脱,PTT_Name_000204,班迪路娜 逃脱,101122,101100,4137,1,10,1,99,0,4500,0,0,0,0
1182,戴穆里申讨伐队据点 逃脱,PTT_Name_000205,首相之村 逃脱,101122,101119,28389,1,10,1,99,0,4500,0,0,0,0
1183,戴穆里申讨伐队据点 逃脱,PTT_Name_000206,灵魂祭坛 逃脱,101122,101120,28393,1,10,1,99,0,9000,0,0,0,0
1184,戴穆里申讨伐队据点 逃脱,PTT_Name_000207,硫磺村庄逃脱,101122,101121,28395,1,10,1,99,0,13500,0,0,0,0
1191,飓风野营地 逃脱,PTT_Name_000208,班迪路娜 逃脱,101127,101100,4137,1,10,1,99,0,4500,0,0,0,0
1192,飓风野营地 逃脱,PTT_Name_000209,扎屋野营地 逃脱,101127,101128,54040,1,10,1,99,0,4500,0,0,0,0
1193,飓风野营地 逃脱,PTT_Name_000210,肯塔伍露丝逃脱,101127,101129,38866,1,10,1,99,0,9000,0,0,0,0
1194,飓风野营地 逃脱,PTT_Name_000211,绿和团 逃脱,101127,101130,38875,1,10,1,99,0,13500,0,0,0,0
1195,飓风野营地 逃脱,PTT_Name_000212,古丽阿萨野营地 逃脱,101127,101131,38884,1,10,1,99,0,18000,0,0,0,0
1201,扎屋野营地 逃脱,PTT_Name_000213,班迪路娜 逃脱,101128,101100,4137,1,10,1,99,0,4500,0,0,0,0
1202,扎屋野营地 逃脱,PTT_Name_000214,飓风野营地 逃脱,101128,101127,38851,1,10,1,99,0,4500,0,0,0,0
1203,扎屋野营地 逃脱,PTT_Name_000215,肯塔伍露丝逃脱,101128,101129,38866,1,10,1,99,0,9000,0,0,0,0
1204,扎屋野营地 逃脱,PTT_Name_000216,绿和团 逃脱,101128,101130,38875,1,10,1,99,0,13500,0,0,0,0
1205,扎屋野营地 逃脱,PTT_Name_000217,古丽阿萨野营地 逃脱,101128,101131,38884,1,10,1,99,0,18000,0,0,0,0
1211,肯塔伍露丝逃脱,PTT_Name_000218,班迪路娜 逃脱,101129,101100,4137,1,10,1,99,0,9000,0,0,0,0
1212,肯塔伍露丝逃脱,PTT_Name_000219,飓风野营地 逃脱,101129,101127,38851,1,10,1,99,0,9000,0,0,0,0
1213,肯塔伍露丝逃脱,PTT_Name_000220,扎屋野营地 逃脱,101129,101128,54040,1,10,1,99,0,18000,0,0,0,0
1214,肯塔伍露丝逃脱,PTT_Name_000221,绿和团 逃脱,101129,101130,38875,1,10,1,99,0,27000,0,0,0,0
1215,肯塔伍露丝逃脱,PTT_Name_000222,古丽阿萨野营地 逃脱,101129,101131,38884,1,10,1,99,0,36000,0,0,0,0
1221,绿和团 逃脱,PTT_Name_000223,班迪路娜 逃脱,101130,101100,4137,1,10,1,99,0,9000,0,0,0,0
1222,绿和团 逃脱,PTT_Name_000224,飓风野营地 逃脱,101130,101127,38851,1,10,1,99,0,9000,0,0,0,0
1223,绿和团 逃脱,PTT_Name_000225,扎屋野营地 逃脱,101130,101128,54040,1,10,1,99,0,18000,0,0,0,0
1224,绿和团 逃脱,PTT_Name_000226,肯塔伍露丝逃脱,101130,101129,38866,1,10,1,99,0,27000,0,0,0,0
1225,绿和团 逃脱,PTT_Name_000227,古丽阿萨野营地 逃脱,101130,101131,38884,1,10,1,99,0,36000,0,0,0,0
1231,古丽阿萨野营地 逃脱,PTT_Name_000228,班迪路娜 逃脱,101131,101100,4137,1,10,1,99,0,9000,0,0,0,0
1232,古丽阿萨野营地 逃脱,PTT_Name_000229,飓风野营地 逃脱,101131,101127,38851,1,10,1,99,0,9000,0,0,0,0
1233,古丽阿萨野营地 逃脱,PTT_Name_000230,扎屋野营地 逃脱,101131,101128,54040,1,10,1,99,0,18000,0,0,0,0
1234,古丽阿萨野营地 逃脱,PTT_Name_000231,肯塔伍露丝逃脱,101131,101129,38866,1,10,1,99,0,27000,0,0,0,0
1235,古丽阿萨野营地 逃脱,PTT_Name_000232,绿和团 逃脱,101131,101130,38875,1,10,1,99,0,36000,0,0,0,0
1241,塔莱村 逃脱,PTT_Name_000233,班迪路娜 逃脱,101134,101100,4137,1,10,1,99,0,180,0,0,0,0
1242,塔莱村 逃脱,PTT_Name_000234,银河村庄 逃脱,101134,101137,55328,1,10,1,99,0,90,0,0,0,0
1251,银河村庄 逃脱,PTT_Name_000235,班迪路娜 逃脱,101137,101100,4137,1,10,1,99,0,90,0,0,0,0
1252,银河村庄 逃脱,PTT_Name_000236,塔莱村 逃脱,101137,101134,55504,1,10,1,99,0,180,0,0,0,0
1253,银河村庄 逃脱,PTT_Name_000236,藤蔓研究所 逃脱,101137,101102,3104,1,10,1,99,0,180,0,0,0,0
