ID,Content,Type,MaxTime,Data
(Translate_O)持续振动,1,2,2.8,0.00000|-7.14705|-9.14163|10.27922|-2.10526|0.00000|0.00000|2.10526|0.00000|0.00000|41.42167|27.42489|-57.87543|-28.31620|-18.28326|38.58362|0.07317|8.06368|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-48.79008|-27.42489|57.87543|32.52672|18.28326|-38.58362|0.15365|-8.19968|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|51.05487|27.42489|-57.87543|-34.03658|-18.28326|38.58362|0.22053|8.81861|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-51.05487|-27.42489|57.87543|34.03658|18.28326|-38.58362|0.30102|-8.19968|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|48.21555|27.42489|-57.87543|-32.14370|-18.28326|38.58362|0.36790|7.87217|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-51.37347|-27.42489|57.87543|34.24898|18.28326|-38.58362|0.44838|-9.25232|-9.14163|10.27922|-0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|51.32568|27.42489|-57.87543|-34.21712|-18.28326|38.58362|0.51527|7.85624|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-51.32568|-27.42489|57.87543|34.21712|18.28326|-38.58362|0.59575|-9.25232|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|55.50369|27.42489|-54.71754|-37.00246|-18.28326|36.47836|0.66264|9.24891|0.00000|-7.95996|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-55.37073|-27.42489|54.71754|36.91382|18.28326|-36.47836|0.74313|-9.20800|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|53.85108|27.42489|-57.87543|-35.90072|-18.28326|38.58362|0.81001|8.74236|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-56.81049|-27.42489|57.87543|37.87366|18.28326|-38.58362|0.89050|-10.19447|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|51.79122|27.42489|-57.87543|-34.52748|-18.28326|38.58362|0.95738|7.06927|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-45.38238|-27.42489|57.87543|30.25492|18.28326|-38.58362|1.03786|-8.05819|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|47.99580|27.42489|-54.71754|-31.99720|-18.28326|36.47836|1.10475|7.94041|0.00000|-7.95996|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-50.99676|-27.42489|54.71754|33.99784|18.28326|-36.47836|1.18523|-9.05851|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|47.38050|27.42489|-57.87543|-31.58700|-18.28326|38.58362|1.25488|6.73499|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-47.96190|-27.42489|57.87543|33.02723|18.28326|-38.58362|1.33260|-8.19968|-9.14163|10.27922|3.15789|0.00000|0.00000|-3.15789|0.00000|0.00000|55.99578|27.42489|-54.71754|-36.27789|-18.28326|36.47836|1.40225|8.36032|0.00000|-7.95996|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-50.07405|-27.42489|54.71754|33.38270|18.28326|-36.47836|1.47997|-8.33103|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|43.86309|27.42489|-61.03332|-29.24206|-18.28326|40.68888|1.54961|6.29000|0.00000|-10.06522|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-40.80477|-27.42489|61.03332|27.20318|18.28326|-40.68888|1.62733|-7.31159|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|48.31395|27.42489|-57.87543|-32.20930|-18.28326|38.58362|1.69698|8.79306|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-53.90565|-27.42489|57.87543|35.93710|18.28326|-38.58362|1.77470|-9.17549|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|49.49082|27.42489|-57.87543|-32.99388|-18.28326|38.58362|1.84435|7.32145|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-49.72128|-27.42489|57.87543|33.14752|18.28326|-38.58362|1.92207|-9.25231|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|52.53489|27.42489|-57.87543|-35.02326|-18.28326|38.58362|1.99172|8.25932|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-52.53489|-27.42489|57.87543|35.02326|18.28326|-38.58362|2.06944|-9.25231|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|54.19392|27.42489|-57.87543|-36.12928|-18.28326|38.58362|2.13909|8.81233|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-50.81046|-27.42489|57.87543|33.87364|18.28326|-38.58362|2.21681|-8.12449|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|43.74015|27.42489|-57.87543|-29.16010|-18.28326|38.58362|2.28646|6.45556|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-43.52292|-27.42489|57.87543|29.01528|18.28326|-38.58362|2.36418|-8.05208|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|43.44102|27.42489|-57.87543|-28.96068|-18.28326|38.58362|2.43383|6.42826|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-40.72593|-27.42489|57.87543|27.15062|18.28326|-38.58362|2.51155|-7.14705|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|45.23655|27.42489|-57.87543|-30.15770|-18.28326|38.58362|2.58120|7.93180|0.00000|-9.01259|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-45.23655|-27.42489|57.87543|30.15770|18.28326|-38.58362|2.65891|-7.14705|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|46.55100|27.42489|-61.03332|-31.03400|-18.28326|40.68888|2.72856|8.36995|0.00000|-10.06522|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-46.55100|-27.42489|61.03332|31.03400|18.28326|-40.68888|2.80000|-7.14705|-9.14163|10.27922|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)大振动,1,2,0.5,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|214.73688|0.00000|211.57898|-143.15791|0.00000|-141.05266|0.07942|71.57896|0.00000|70.52633|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-461.05280|0.00000|-457.89490|307.36853|0.00000|305.26328|0.14878|-82.10530|0.00000|-82.10531|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|423.15796|0.00000|423.15802|-282.10532|0.00000|-282.10535|0.22708|58.94736|0.00000|58.94736|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-366.31577|0.00000|-363.15787|244.21051|0.00000|242.10524|0.28637|-63.15789|0.00000|-62.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|309.75763|0.00000|307.78577|-206.50508|0.00000|-205.19052|0.35517|40.09465|0.00000|40.49000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-252.91553|0.00000|-254.10156|168.61035|0.00000|169.40105|0.41166|-44.21053|0.00000|-44.21052|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|192.73773|0.00000|195.89560|-128.49182|0.00000|-130.59706|0.45976|20.03538|0.00000|21.08801|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-60.10614|0.00000|-63.26403|40.07076|0.00000|42.17602|0.50000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)微小的振动,1,2,0.3,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.05000|-0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|15.00000|0.00000|0.00000|-10.00000|0.00000|0.00000|0.10000|5.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-30.00000|0.00000|0.00000|20.00000|0.00000|0.00000|0.15000|-5.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|24.00000|0.00000|0.00000|-16.00000|0.00000|0.00000|0.20000|3.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-9.00000|0.00000|0.00000|6.00000|0.00000|0.00000|0.25000|-0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.30000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)脚步,1,2,0.2,0.00000|-18.19474|0.00000|-29.47368|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|122.57487|0.00000|152.61928|-81.71658|0.00000|-95.43039|0.00022|22.66355|0.00000|27.71520|0.00000|0.00000|18.94737|0.00000|0.00000|-18.94737|-112.99065|0.00000|-90.25085|75.32710|0.00000|66.48303|0.06667|-15.00000|0.00000|-15.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|81.00000|0.00000|81.00000|-54.00000|0.00000|-54.00000|0.10000|12.00000|0.00000|12.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-66.00000|0.00000|-66.00000|44.00000|0.00000|44.00000|0.13333|-10.00000|0.00000|-10.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|51.00000|0.00000|51.00000|-34.00000|0.00000|-34.00000|0.16667|7.00000|0.00000|7.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-21.00000|0.00000|-21.00000|14.00000|0.00000|14.00000|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)连续振动01,1,2,1,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|15.98886|0.00000|0.00000|-10.65924|0.05863|0.00000|0.00000|5.32962|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-37.94598|0.00000|0.00000|25.29732|0.11808|0.00000|0.00000|-7.31904|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|45.31440|0.00000|0.00000|-31.61311|0.18192|0.00000|0.00000|6.38225|0.00000|0.00000|-4.21053|0.00000|0.00000|4.21053|0.00000|0.00000|-59.24646|0.00000|0.00000|39.11353|0.23734|0.00000|0.00000|-9.54015|0.00000|0.00000|3.05820|0.00000|0.00000|-3.05820|0.00000|0.00000|62.55106|0.00000|0.00000|-40.40797|0.29827|0.00000|0.00000|9.54474|0.00000|0.00000|0.82001|0.00000|0.00000|-0.82001|0.00000|0.00000|-51.10337|0.00000|0.00000|34.34225|0.35816|0.00000|0.00000|-8.03639|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|45.78384|0.00000|0.00000|-30.52256|0.40624|0.00000|0.00000|7.22489|0.00000|0.00000|-0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-46.89031|0.00000|0.00000|31.96196|0.46269|0.00000|0.00000|-7.70346|0.00000|0.00000|2.10526|0.00000|0.00000|-2.10526|0.00000|0.00000|49.69898|0.00000|0.00000|-32.43090|0.50814|0.00000|0.00000|7.45936|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-41.15712|0.00000|0.00000|27.43808|0.56512|0.00000|0.00000|-6.25968|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|35.67831|0.00000|0.00000|-23.78554|0.62669|0.00000|0.00000|5.63309|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-24.77658|0.00000|0.00000|16.51772|0.68538|0.00000|0.00000|-2.62577|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|15.69147|0.00000|0.00000|-10.46098|0.74937|0.00000|0.00000|2.60472|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-20.22078|0.00000|0.00000|13.48052|0.80409|0.00000|0.00000|-4.13554|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|21.43473|0.00000|0.00000|-14.28982|0.87851|0.00000|0.00000|3.00937|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-22.39233|0.00000|0.00000|14.92822|0.92958|0.00000|0.00000|-4.45474|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|13.36422|0.00000|0.00000|-8.90948|1.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)小打击,1,2,0.2,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|15.00000|0.00000|0.00000|-10.00000|0.00000|0.00000|0.04000|5.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-99999.00000|0.00000|0.00000|299967.00000|0.00000|0.00000|-199978.00000|0.00000|0.00000|0.08000|-5.00000|0.00000|0.00000|-99999.00000|0.00000|0.00000|0.00000|0.00000|0.00000|27.00000|0.00000|0.00000|-18.00000|0.00000|0.00000|0.12000|4.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-21.00000|0.00000|0.00000|14.00000|0.00000|0.00000|0.16000|-3.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|9.00000|0.00000|0.00000|-6.00000|0.00000|0.00000|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)缩小,1,2,0.09,0.00000|0.00000|0.00000|0.00000|0.00000|55.78947|0.00000|0.00000|-55.78947|0.00000|0.00000|-21.05245|0.00000|0.00000|29.47356|0.00000|0.03594|0.00000|-47.36836|0.00000|0.00000|-9.47368|0.00000|0.00000|9.47368|0.00000|0.00000|123.15771|0.00000|0.00000|-85.26304|0.00000|0.09000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)放大,1,2,0.1,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|300.00000|0.00000|0.00000|-200.00000|0.00000|0.05000|0.00000|100.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-300.00000|0.00000|0.00000|200.00000|0.00000|0.10000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)中等振动,1,2,0.3,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|60.00000|0.00000|60.00000|-40.00000|0.00000|-40.00000|0.03750|20.00000|0.00000|20.00000|-0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-120.00000|0.00000|-120.00000|80.00000|0.00000|80.00000|0.07500|-20.00000|0.00000|-20.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|114.00000|0.00000|114.00000|-76.00000|0.00000|-76.00000|0.11250|18.00000|0.00000|18.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-99.00000|0.00000|-99.00000|66.00000|0.00000|66.00000|0.15000|-15.00000|0.00000|-15.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|81.00000|0.00000|81.00000|-54.00000|0.00000|-54.00000|0.18750|12.00000|0.00000|12.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-66.00000|0.00000|-66.00000|44.00000|0.00000|44.00000|0.22500|-10.00000|0.00000|-10.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|45.00000|0.00000|45.00000|-30.00000|0.00000|-30.00000|0.26250|5.00000|0.00000|5.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-15.00000|0.00000|-15.00000|10.00000|0.00000|10.00000|0.30000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)中等打击,1,2,0.2,0.00000|-8.42105|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|71.05260|0.00000|30.00000|-47.36840|0.00000|-20.00000|0.00067|15.26315|0.00000|10.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-75.78944|0.00000|-60.00000|50.52630|0.00000|40.00000|0.06667|-10.00000|0.00000|-10.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|54.00000|0.00000|54.00000|-36.00000|0.00000|-36.00000|0.10000|8.00000|0.00000|8.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-45.00000|0.00000|-45.00000|30.00000|0.00000|30.00000|0.13333|-7.00000|0.00000|-7.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|36.00000|0.00000|36.00000|-24.00000|0.00000|-24.00000|0.16667|5.00000|0.00000|5.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-15.00000|0.00000|-15.00000|10.00000|0.00000|10.00000|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)大振动,1,2,0.3,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|75.00000|0.00000|75.00000|-50.00000|0.00000|-50.00000|0.03750|25.00000|0.00000|25.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-150.00000|0.00000|-150.00000|100.00000|0.00000|100.00000|0.07500|-25.00000|0.00000|-25.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|138.00000|0.00000|138.00000|-92.00000|0.00000|-92.00000|0.11250|21.00000|0.00000|21.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-117.00000|0.00000|-117.00000|78.00000|0.00000|78.00000|0.15000|-18.00000|0.00000|-18.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|99.00000|0.00000|99.00000|-66.00000|0.00000|-66.00000|0.18750|15.00000|0.00000|15.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-81.00000|0.00000|-81.00000|54.00000|0.00000|54.00000|0.22500|-12.00000|0.00000|-12.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|66.00000|0.00000|66.00000|-44.00000|0.00000|-44.00000|0.26250|10.00000|0.00000|10.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-30.00000|0.00000|-30.00000|20.00000|0.00000|20.00000|0.30000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)大打击,1,2,0.2,0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|45.00000|0.00000|45.00000|-30.00000|0.00000|-30.00000|0.03333|15.00000|0.00000|15.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-90.00000|0.00000|-90.00000|60.00000|0.00000|60.00000|0.06667|-15.00000|0.00000|-15.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|81.00000|0.00000|81.00000|-54.00000|0.00000|-54.00000|0.10000|12.00000|0.00000|12.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-66.00000|0.00000|-66.00000|44.00000|0.00000|44.00000|0.13333|-10.00000|0.00000|-10.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|51.00000|0.00000|51.00000|-34.00000|0.00000|-34.00000|0.16667|7.00000|0.00000|7.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-21.00000|0.00000|-21.00000|14.00000|0.00000|14.00000|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)打击1,1,2,0.2,0.00000|-10.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|48.33334|0.00000|0.00000|-28.33334|0.00000|0.00000|0.00130|10.00000|0.00000|0.00000|11.66666|0.00000|0.00000|-11.66666|0.00000|0.00000|99968.33594|0.00000|0.00000|-99974.66406|0.00000|0.00000|0.05203|-8.00000|0.00000|0.00000|-99999.00000|0.00000|0.00000|5.26315|0.00000|0.00000|29.52634|0.00000|0.00000|-21.78949|0.00000|0.00000|0.11754|5.00000|0.00000|0.00000|-1.05264|0.00000|0.00000|1.05264|0.00000|0.00000|-29.10528|0.00000|0.00000|19.05264|0.00000|0.00000|0.16000|-4.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|12.00000|0.00000|0.00000|-8.00000|0.00000|0.00000|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)打击2,1,2,0.2,0.00000|-15.00000|0.00000|0.00000|-17.89474|0.00000|0.00000|17.89474|0.00000|0.00000|54.21052|0.00000|0.00000|-42.10526|0.00000|0.00000|0.00040|15.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-99999.00000|0.00000|0.00000|299928.00000|0.00000|0.00000|-199952.00000|0.00000|0.00000|0.08000|-8.00000|0.00000|0.00000|-99999.00000|0.00000|0.00000|0.00000|0.00000|0.00000|36.00000|0.00000|0.00000|-24.00000|0.00000|0.00000|0.12000|4.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-21.00000|0.00000|0.00000|14.00000|0.00000|0.00000|0.16000|-3.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|9.00000|0.00000|0.00000|-6.00000|0.00000|0.00000|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)打击3,1,2,0.2,0.00000|-25.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|137.60159|0.00000|30.00000|-87.12144|0.00000|-20.00000|0.00416|25.48015|0.00000|10.00000|13.83885|0.00000|0.00000|-13.83885|0.00000|0.00000|-78.76274|0.00000|-60.00000|57.12144|0.00000|40.00000|0.07786|-10.00000|0.00000|-10.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|54.00000|0.00000|54.00000|-36.00000|0.00000|-36.00000|0.11588|8.00000|0.00000|8.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-30.00000|0.00000|-45.00000|20.00000|0.00000|30.00000|0.15458|-2.00000|0.00000|-7.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|9.00000|0.00000|36.00000|-6.00000|0.00000|-24.00000|0.17920|1.00000|0.00000|5.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-3.00000|0.00000|-15.00000|2.00000|0.00000|10.00000|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)打击4,1,2,0.2,0.00000|-32.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|165.68419|0.00000|30.00000|-99.57893|0.00000|-20.00000|0.00402|34.10526|0.00000|10.00000|32.63158|0.00000|0.00000|-32.63158|0.00000|0.00000|-67.05262|0.00000|-60.00000|55.57894|0.00000|40.00000|0.06309|-10.00000|0.00000|-10.00000|0.00000|0.00000|0.00000|-0.00000|0.00000|0.00000|54.00000|0.00000|54.00000|-36.00000|0.00000|-36.00000|0.09933|8.00000|0.00000|8.00000|0.00000|0.00000|0.00000|-0.00000|0.00000|0.00000|-36.00000|0.00000|-45.00000|24.00000|0.00000|30.00000|0.13333|-4.00000|0.00000|-7.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|18.00000|0.00000|36.00000|-12.00000|0.00000|-24.00000|0.16667|2.00000|0.00000|5.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-6.00000|0.00000|-15.00000|4.00000|0.00000|10.00000|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)打击5,1,2,0.2,0.00000|-52.10526|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|279.47366|0.00000|45.00000|-171.57893|0.00000|-30.00000|0.00022|55.78948|0.00000|15.00000|44.21054|0.00000|0.00000|-44.21054|0.00000|0.00000|-123.94734|0.00000|-90.00000|97.36841|0.00000|60.00000|0.06667|-15.00000|0.00000|-15.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|81.00000|0.00000|81.00000|-54.00000|0.00000|-54.00000|0.10000|12.00000|0.00000|12.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-66.00000|0.00000|-66.00000|44.00000|0.00000|44.00000|0.13333|-10.00000|0.00000|-10.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|51.00000|0.00000|51.00000|-34.00000|0.00000|-34.00000|0.16667|7.00000|0.00000|7.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-21.00000|0.00000|-21.00000|14.00000|0.00000|14.00000|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
(Translate_O)打击_上_强,1,2,0.2,0.00000|0.00000|0.00000|60.00000|-2.75247|0.00000|31.57895|2.75247|0.00000|-31.57895|2.39739|0.00000|-135.36508|-2.51575|0.00000|101.94404|0.01319|2.63411|0.00000|-5.00000|0.00000|0.00000|3.52299|0.00000|0.00000|-3.52299|-11.78673|0.00000|67.04598|7.85782|0.00000|-43.52299|0.04989|-1.29480|0.00000|15.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.56274|0.00000|-60.00000|-0.37516|0.00000|40.00000|0.08780|-1.10722|0.00000|-5.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|-2.21547|0.00000|30.00000|1.47698|0.00000|-20.00000|0.12144|-1.84571|0.00000|5.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|3.30387|0.00000|-26.07600|-2.20258|0.00000|17.38400|0.16310|-0.74442|0.00000|-3.69200|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|2.23326|0.00000|11.07600|-1.48884|0.00000|-7.38400|0.20000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|
