TID,Position,String,EngContents,LocalContents,System_Voice,FontColor,FontSize,Comment
10012,12,MSG_SHOP_MEDAL_DIFFERENT,MST_Contents_000634,没有购买物品时所需的勋章.,,"255,255,255",10,名望商店
10013,12,MSG_SHOP_MEDAL_FEW,MST_Contents_000635,购买物品时所需的勋章不足.,,"255,255,255",10,名望商店
10014,12,MSG_STATE_STR_DESC,MST_Contents_000636,说明:增加最小/最大物理攻击度.,,"255,255,255",10,seutet名称提示
10015,12,MSG_STATE_CON_DESC,MST_Contents_000637,说明:增加最大生命值和生命恢复量.,,"255,255,255",10,seutet名称提示
10016,12,MSG_STATE_WIS_DESC,MST_Contents_000638,说明:增加最小/最大魔法攻击度.,,"255,255,255",10,seutet名称提示
10017,12,MSG_STATE_MEN_DESC,MST_Contents_000639,说明:增加最大法力值和法力恢复量.,,"255,255,255",10,seutet名称提示
10018,12,MSG_STATE_AGILITY_DESC,MST_Contents_000640,"说明:增加回血值和命中率,以及致命值.",,"255,255,255",10,seutet名称提示
10019,12,MSG_STATE_LOW,MST_Contents_000641,要点不足.,,"255,255,255",10,seutet关联聊天窗口信息
10020,12,MSG_CHAR_COLOR,MST_Contents_000642,自身角色名称,,"255,255,255",10,头上显示自己的角色名称
10021,12,MSG_CHARPARTY_COLOR,MST_Contents_000643,队伍中的角色名称,,"0,246,255",10,头上显示队伍时的角色名称
10022,12,MSG_CHARUNIONPARTY_COLOR,MST_Contents_000644,大规模队伍中的角色名称,,"250,179,52",10,头上显示大规模队伍时的角色名称
10023,12,MSG_MYCAMPPC_COLOR,MST_Contents_000645,我方阵营PC,,"220,207,185",10,我方阵营PC
10024,12,MSG_MYCAMPNPC_COLOR,MST_Contents_000646,我方阵营NPC(商人等),,"179,206,83",10,我方阵营NPC(商人等)
10025,12,MSG_ENEMYCAMPPC_COLOR,MST_Contents_000647,敌方阵营角色,,"255,255,0",10,敌方阵营角色
10026,12,MSG_ENEMYCAMPNPC_COLOR,MST_Contents_000648,敌方阵营NPC(商人等),,"255,255,0",10,敌方阵营NPC(商人等)
10027,12,MSG_ENTITY_COLOR,MST_Contents_000649,Entity名称属性,,"12,255,0",10,Entity名称属性
10028,12,MSG_DIE_COLOR,MST_Contents_000650,"死亡PC,NPC属性",,"134,126,113",10,"死亡PC,NPC属性"
10029,12,MSG_CHARINFO_NORMAL_COLOR,MST_Contents_000651,角色信息数值属性,,"255,255,255",10,角色信息数值属性
10030,12,MSG_CHARINFO_GETABILITY_COLOR,MST_Contents_000652,角色信息增加数值属性,,"12,255,0",10,角色信息增加数值属性
10031,12,MSG_CHARINFO_DROPABILITY_COLOR,MST_Contents_000653,角色信息减少数值属性,,"255,0,0",10,角色信息减少数值属性
10032,12,MSG_MOB_COLOR1,MST_Contents_000654,对方等级提高8级以上,,"255,0,0",10,根据PC好怪兽等级差异的名称属性
10033,12,MSG_MOB_COLOR2,MST_Contents_000655,对方等级提高3~7级,,"255,146,11",10,根据PC好怪兽等级差异的名称属性
10034,12,MSG_MOB_COLOR3,MST_Contents_000656,对方等级-2~2级之间,,"255,255,0",10,根据PC好怪兽等级差异的名称属性
10035,12,MSG_MOB_COLOR4,MST_Contents_000657,对方等级降低-7~-3级,,"109,197,251",10,根据PC好怪兽等级差异的名称属性
10036,12,MSG_MOB_COLOR5,MST_Contents_000658,对方等级降低-8级,,"196,196,196",10,根据PC好怪兽等级差异的名称属性
10037,12,MSG_PARTY_MATCHING_COLOR1,MST_Contents_000659,地下城匹配UI 不满3级,,"178,178,178",10,在地下城匹配UI中，地下城名称，属性和PC等级比较的属性
10038,12,MSG_PARTY_MATCHING_COLOR2,MST_Contents_000660,地下城匹配UI -3~3级,,"51,153,51",10,在地下城匹配UI中，地下城名称，属性和PC等级比较的属性
10039,12,MSG_PARTY_MATCHING_COLOR3,MST_Contents_000661,地下城匹配UI 超过3级,,"204,51,0",10,在地下城匹配UI中，地下城名称，属性和PC等级比较的属性
10040,12,MSG_GHELLD_COLOR1,MST_Contents_000662,不满十万金币属性,,"246,215,160",10,根据持有的金币数值的属性
10041,12,MSG_GHELLD_COLOR2,MST_Contents_000663,十万以上金币属性,,"0,208,94",10,根据持有的金币数值的属性
10042,12,MSG_GHELLD_COLOR3,MST_Contents_000664,百万以上金币属性,,"0,176,240",10,根据持有的金币数值的属性
10043,12,MSG_GHELLD_COLOR4,MST_Contents_000665,千万以上金币属性,,"228,108,10",10,根据持有的金币数值的属性
10044,12,MSG_GHELLD_COLOR5,MST_Contents_000666,亿以上金币属性,,"250,35,5",10,根据持有的金币数值的属性
10045,12,MSG_COOLTIME_COLOR1,MST_Contents_000667,秒属性,,"255,0,0",10,冷冻时间数字属性
10046,12,MSG_COOLTIME_COLOR2,MST_Contents_000668,分属性,,"237,106,39",10,冷冻时间数字属性
10047,12,MSG_COOLTIME_COLOR3,MST_Contents_000669,小时以上属性,,"255,255,255",10,冷冻时间数字属性
10048,12,MSG_MOB_LOOTING,MST_Contents_000670,距离太远无法获得物品.,,"255,255,255",10,抢夺关联信息
10049,12,MSG_PARTY_DISTRIBUTION_SW_01,MST_Contents_000671,可以根据[依次取得]的分配方式获取.,,"255,255,255",10,队伍分配已变更时
10050,12,MSG_PARTY_DISTRIBUTION_SW_02,MST_Contents_000672,可以根据[随机取得]的分配方式变更.,,"255,255,255",10,队伍分配已变更时
10051,12,MSG_PARTY_DISTRIBUTION_SW_03,MST_Contents_000673,可以根据[自由取得]的分配方式变更.,,"255,255,255",10,队伍分配已变更时
10052,12,MSG_PARTY_DISTRIBUTION_GRADE_UNUSE,MST_Contents_000674,高级物品不能用任何分配方式获得.,,"255,255,255",10,高级物品分配已被禁用时
10053,12,MSG_PARTY_DISTRIBUTION_GRADE_USE_SW_01,MST_Contents_000675,分配基准是根据[高级]变更的.,,"255,255,255",10,高级物品分配等级已变更时
10054,12,MSG_PARTY_DISTRIBUTION_GRADE_USE_SW_02,MST_Contents_000676,分配基准是根据[稀有]变更的.,,"255,255,255",10,高级物品分配等级已变更时
10055,12,MSG_PARTY_DISTRIBUTION_GRADE_USE_SW_03,MST_Contents_000677,分配基准是根据[特别]变更的.,,"255,255,255",10,高级物品分配等级已变更时
10056,12,MSG_PARTY_DISTRIBUTION_GRADE_USE_SW_04,MST_Contents_000678,分配基准是根据[英雄]变更的.,,"255,255,255",10,高级物品分配等级已变更时
10057,12,MSG_GUILD_NOTICE_MODIFY,MST_Contents_000679,公会供给事项变更了.,,"255,255,255",10,公告事项变更完成时
10058,12,MSG_GUILD_MEMBER_BAN_03,MST_Contents_000680,被公会逐出.,,"255,255,255",10,被公会踢出的PC
10059,12,MSG_GUILD_MEMBER_BAN_05,MST_Contents_000681,不能逐出自己.,,"255,255,255",10,打算踢出自己时
10060,12,MSG_GUILD_LEAVE_COMPLETE,MST_Contents_000682,退出公会.,,"255,255,255",10,公会退出窗口中选择[确认]键时
10061,12,MSG_GUILD_CREATE_FAIL_01,MST_Contents_000683,加入公会后无法再创建公会.,,"255,255,255",10,已加入公会的PC选择[创立公会]键时
10062,12,MSG_GUILD_CREATE_FAIL_BLANKNAME,MST_Contents_000684,公会名称必须是两个字以上.,,"255,255,255",10,未输入公会名称选择[创立公会]键时
10063,12,MSG_GUILD_CREATE_IMPOSSIBLE,MST_Contents_000685,不可使用的公会名.,,"255,255,255",10,"公会名称无法使用时,包含特殊文字的情况"
10064,12,MSG_SKILL_USENOTGUILD,MST_Contents_002013,无法使用公会技能.,,"255,255,255",10,无法使用公会技能时
10065,12,MSG_TRADE_M_NOT,MST_Contents_000686,此物品无法交易.,,"255,255,255",10,物品交易限制
10066,12,MSG_TRADE_M_STOREHOUSE,MST_Contents_000687,此物品无法保存.,,"255,255,255",10,物品交易限制
10067,12,MSG_TRADE_M_GUILD_STOREHOUSE,MST_Contents_000688,此物品无法保存在公会仓库.,,"255,255,255",10,物品交易限制
10068,12,MSG_TRADE_M_BREAK,MST_Contents_000689,此物品无法破坏.,,"255,255,255",10,物品交易限制
10069,12,MSG_TRADE_ITEMERROR,MST_Contents_000690,物品信息不正确.,,"255,255,255",10,物品交易限制
10070,12,MSG_TRADE_OPTIONERROR,MST_Contents_000691,此目标拒绝交易.,,"255,255,255",10,检查环境选择权物品交易限制
10071,12,MSG_SHOP_INPUT_MONEY,MST_Contents_000692,请将卖出物品获得的钱存起来.,,"255,255,255",10,物品交易限制
10072,12,MSG_WEAPONLEVEL_MAX,MST_Contents_000693,武器熟练度可以提高./n请和武器教练对话!,,"255,255,255",10,选择阵营后第一次进入时 弹出信息 
10073,12,MSG_WEAPON_LEVELUP,MST_Contents_000694,<TC'238:73:0' Text'[武器等级]'/>提高了.,,"255,255,255",10,武器升级等级完成
10074,12,MSG_WEAPON_EXP,MST_Contents_000695,武器熟练度经验值不足.,,"255,255,255",10,等级上升必要的经验值不足时
10075,12,MSG_WEAPON_EQIP,MST_Contents_000696,必须装备武器.,,"255,255,255",10,没有装备?? ??的武器物品
10076,12,MSG_ITEMBREAK_NOTITEM,MST_Contents_000697,此物品无法分解.,,"255,255,255",10,分解UI
10077,12,MSG_ITEMBREAK_NOGAIN,MST_Contents_000698,分解失败.,,"255,255,255",10,分解UI
10078,12,MSG_ITEMDROP_POSSESSION,MST_Contents_000699,没有获取物品的权限.,,"255,255,255",10,没有获取物品权限的PC，申请抢夺物品时
10079,12,MSG_NPCDIALOG_QUEST_RETURN,MST_Contents_000700,想聊别的.,,"255,255,255",10,在NPC表盘日志窗口中，现在任务时，任务列表底部的返回键时出现的信息
10080,12,MSG_NPC_DISTANCE_MISTAKE,MST_Contents_000701,太远了无法聊天.,,"255,255,255",10,"向NPC邀请对话,不符合对话邀请距离时"
10081,12,MSG_REPAIR_END,MST_Contents_000702,修理完成.,,"255,255,255",10,修理关联信息
10082,12,MSG_CANT_USE_QUICKSLOT,MST_Contents_000703,无法使用快捷栏.,,"255,255,255",10,快捷栏不可使用 信息
10083,12,MSG_SKILL_COOLTIME,MST_Contents_000704,冷却时间未结束.,System_PC_HM_03.ogg|System_PC_HW_03.ogg|0|0|0|0|System_PC_OM_03.ogg|System_PC_OW_03.ogg,"255,255,255",10,"冷冻时间没有结束,使用冷冻时间中的技能时"
10084,12,MSG_CASTING_CANCEL,MST_Contents_000705,取消施法.,System_PC_HM_04.ogg|System_PC_HW_04.ogg|0|0|0|0|System_PC_OM_04.ogg|System_PC_OW_04.ogg,"255,255,255",10,"选定途中PC移动,挑选阵营"
10085,12,MSG_QUEST_REWARDSELECT_REQUEST,MST_Contents_000706,请选择补偿.,,"255,255,255",10,完成有补偿的任务时，没选择补偿就直接点完成时
10086,12,MSG_QUEST_CINEMANEXT,MST_Contents_000707,下一个,,"255,255,255",10,任务电影下一个按键
10087,12,MSG_QUEST_CINEMADONE,MST_Contents_000708,结束聊天,,"255,255,255",10,任务电影故事结束按键
10088,8,MSG_TRADE_READY_CANCEL,MST_Contents_000709,太远了无法交易.,,"255,255,255",10,1:1 交易 -和交易的PC的距离超过10米时点击[交易申请]
10089,8,MSG_TRADE_OVERLAP,MST_Contents_000710,已向他人申请交易.,,"255,255,255",10,1:1 交易 -交易邀请中想其他电脑邀请交易时
10090,8,MSG_TRADE_DOUBLE,MST_Contents_000711,交易邀请中.,,"255,255,255",10,1:1 交易 -相同的PC重复点击[交易邀请]时
10091,8,MSG_TRADE_ANSWER,MST_Contents_000712,交易没有应答.,,"255,255,255",10,1:1 交易 -交易申请后10秒内没有应答时 
10092,8,MSG_TRADE_LOGOUT,MST_Contents_000713,对方没有连接.,,"255,255,255",10,1:1 交易 -交易对象下线的情况
10093,8,MSG_TRADE_REFUSAL,MST_Contents_000714,交易取消.,,"255,255,255",10,1:1 交易 -对方已拒绝/取消交易时
10094,8,MSG_TRADE_ALREADY,MST_Contents_000715,交易中.,,"255,255,255",10,1:1 交易 -正在交易时，给对方第三者想自己发出交易申请时
10095,8,MSG_TRADE_NOTACTION,MST_Contents_000716,对方无法交易.,,"255,255,255",10,1:1 交易 -对方无法交易时
10096,12,MSG_TRADE_MAX,MST_Contents_000717,无法再注册.,,"255,255,255",10,1:1 交易 -在交易窗口已注册8个物品的状态下还想注册时
10097,12,MSG_TRADE_NOTRADEITEM,MST_Contents_000718,此物品无法交易.,,"255,255,255",10,1:1 交易 -注册无法交易的物品时
10098,8,MSG_TRADE_GHELL_OVER,MST_Contents_000719,金额不足.,,"255,255,255",10,1:1 交易 -超过了在库存中储存的金币，在金币注册窗口点击[确认]时
10099,8,MSG_TRADE_EDIT,MST_Contents_000720,存款错误.,,"255,255,255",10,1:1 交易 -在注册编辑箱窗口，数字首次为0时
10100,8,MSG_TRADE_DISTANT,MST_Contents_000721,与对方距离过远取消交易.,,"255,255,255",10,1:1 交易 -和对方距离过远无法交易时
10101,9,MSG_TRADE_AREAERROR,MST_Contents_000722,在此地域无法进行交易.,,"255,255,255",10,1:1 交易 -在无法交易的地域向别的PC申请交易时
10102,1,MSG_TBL_CHARNOTEXIST,MST_Contents_000723,STOREHOUSE_QUANTITY_DIFFERENT,,"255,255,255",10,错误信息
10103,1,MSG_TBL_NOTEXIST,MST_Contents_000724,表不存在.,,"255,255,255",10,错误信息
10104,1,MSG_SQL_DB_INTERNALERROR,MST_Contents_000725,DB错误.,,"255,255,255",10,SQL错误信息
10105,1,MSG_SQL_DB_DSNERROR,MST_Contents_000726,DB DSN信息异常.,,"255,255,255",10,SQL错误信息
10106,1,MSG_COMMON_PCOVERFLOW,MST_Contents_000727,PC个数爆满.,,"255,255,255",10,共同使用的错误信息
10107,1,MSG_COMMON_PCREMAIN,MST_Contents_000728,PC还在存储中.,,"255,255,255",10,共同使用的错误信息
10108,1,MSG_COMMON_PCNOSTRANGE,MST_Contents_000729,PCNo异常.,,"255,255,255",10,共同使用的错误信息
10109,1,MSG_COMMON_FBJSTRANGE,MST_Contents_000730,Fbj异常.,,"255,255,255",10,共同使用的错误信息
10110,1,MSG_COMMON_PCNOTLOGIN,MST_Contents_000731,无法登陆游戏.,,"255,255,255",10,共同使用的错误信息
10111,1,MSG_COMMON_SENDPC,MST_Contents_000732,发送的PC状态异常.,,"255,255,255",10,共同使用的错误信息
10112,1,MSG_COMMON_NOPC,MST_Contents_000733,相关角色不存在.,,"255,255,255",10,共同使用的错误信息
10113,1,MSG_COMMON_NOPCKIND,MST_Contents_000734,相关PC的种类异常.,,"255,255,255",10,共同使用的错误信息
10114,1,MSG_COMMON_NONPC,MST_Contents_000735,目标不存在.,System_PC_HM_05.ogg|System_PC_HW_05.ogg|0|0|0|0|System_PC_OM_05.ogg|System_PC_OW_05.ogg,"255,255,255",10,共同使用的错误信息
10115,1,MSG_COMMON_NOTARGET,MST_Contents_000736,相关目标不存在.,System_PC_HM_05.ogg|System_PC_HW_05.ogg|0|0|0|0|System_PC_OM_05.ogg|System_PC_OW_05.ogg,"255,255,255",10,共同使用的错误信息
10116,1,MSG_COMMON_NOITEM,MST_Contents_000737,相关任务不存在.,System_PC_HM_20.ogg|System_PC_HW_20.ogg|0|0|0|0|System_PC_OM_20.ogg|System_PC_OW_20.ogg,"255,255,255",10,共同使用的错误信息
10117,1,MSG_COMMON_NOTABLE,MST_Contents_000738,相关表不存在.,,"255,255,255",10,共同使用的错误信息
10118,1,MSG_COMMON_NOTENOUGH_GHELLD,MST_Contents_000739,金币不足.,System_PC_HM_06.ogg|System_PC_HW_06.ogg|0|0|0|0|System_PC_OM_06.ogg|System_PC_OW_06.ogg,"255,255,255",10,共同使用的错误信息
10119,12,MSG_COMMON_NOTENOUGH_INVENTORY,MST_Contents_000740,背包里没有空位.,System_PC_HM_07.ogg|System_PC_HW_07.ogg|0|0|0|0|System_PC_OM_07.ogg|System_PC_OW_07.ogg,"255,255,255",10,共同使用的错误信息
10120,12,MSG_COMMON_BUSY_CHARACTER,MST_Contents_000741,目标忙，现在无法执行.,,"255,255,255",10,共同使用的错误信息
10121,12,MSG_COMMON_REALM_NOTSAME,MST_Contents_000742,无法和其他阵营的角色一起进行.,,"255,255,255",10,共同使用的错误信息
10122,1,MSG_COMMON_BLOCKCONTENTS,MST_Contents_000743,相关内容目前无法使用.,,"255,255,255",10,共同使用的错误信息(内容禁用时)
10123,12,MSG_COMMON_NOTFIELD,MST_Contents_000744,别的场地有.,,"255,255,255",10,共同使用的错误信息(队伍成员在别的战场时，同时进入地下城)
10124,1,MSG_LOGIN_LOGOUT,MST_Contents_000745,用户已经离开游戏.,,"255,255,255",10,登录错误信息
10125,1,MSG_LOGIN_PCNOTEXISTID5,MST_Contents_000746,角色不存在!,,"255,255,255",10,登录错误信息
10126,1,MSG_LOGIN_USERNOSLOT,MST_Contents_000747,用户插槽空闲!,,"255,255,255",10,登录错误信息
10127,1,MSG_LOGIN_USERFULLSLOT,MST_Contents_000748,用户插槽爆满!,,"255,255,255",10,登录错误信息
10128,1,MSG_WORLD_NOMAP,MST_Contents_000749,相关地图不存在.,,"255,255,255",10,word错误信息
10129,1,MSG_WORLD_NOSECTOR,MST_Contents_000750,相关区域不存在.,,"255,255,255",10,word错误信息
10130,1,MSG_WORLD_NOMOVESAMESECTOR,MST_Contents_000751,打算向旁边的区域移动.,,"255,255,255",10,word错误信息
10131,1,MSG_INFO_NOQUICKSLOT,MST_Contents_000752,错误的快捷栏信息.,,"255,255,255",10,信息错误信息
10132,1,MSG_PC_NOTUPSTAT,MST_Contents_000753,属性点不足.,,"255,255,255",10,PC错误信息
10133,1,MSG_PC_NOTWLVUP,MST_Contents_000754,武器无法提升.,,"255,255,255",10,PC错误信息
10134,1,MSG_PC_NOTWLVUPEXP,MST_Contents_000755,经验值不足.,,"255,255,255",10,PC错误信息
10135,1,MSG_PC_NOTWLVUPMONEY,MST_Contents_000756,金币不足.,System_PC_HM_06.ogg|System_PC_HW_06.ogg|0|0|0|0|System_PC_OM_06.ogg|System_PC_OW_06.ogg,"255,255,255",10,PC错误信息
10136,1,MSG_PC_NOTWLVUPLIMIT,MST_Contents_000757,武器熟练度最高等级.,,"255,255,255",10,PC错误信息
10137,1,MSG_PC_NOTMAINWEAPONSAME,MST_Contents_000758,变更的主武器是相同样式的.,,"255,255,255",10,PC错误信息
10138,1,MSG_PC_DUPLICATE,MST_Contents_000759,重复登录游戏终止.,,"255,255,255",10,PC错误信息
10139,1,MSG_NPC_NOTEXIT,MST_Contents_000760,目标不存在.,System_PC_HM_05.ogg|System_PC_HW_05.ogg|0|0|0|0|System_PC_OM_05.ogg|System_PC_OW_05.ogg,"255,255,255",10,NPC错误信息
10140,1,MSG_NPC_NOTLOOTING,MST_Contents_000761,没有物品的获取权.,System_PC_HM_08.ogg|System_PC_HW_08.ogg|0|0|0|0|System_PC_OM_08.ogg|System_PC_OW_08.ogg,"255,255,255",10,NPC错误信息
10141,1,MSG_NPC_RACEWAROWN,MST_Contents_000762,已经拥有的Pc.,,"255,255,255",10,NPC错误信息
10142,1,MSG_ITEM_INVENFULL,MST_Contents_000763,道具信息错误.,,"255,255,255",10,物品错误信息
10143,1,MSG_ITEM_INVENTORY,MST_Contents_000764,道具信息错误.,,"255,255,255",10,物品错误信息
10144,12,MSG_ITEM_INVENSLOTERR,MST_Contents_000765,角色信息窗口中，无法变更饰品位置.,,"255,255,255",10,物品错误信息
10145,1,MSG_ITEM_INVENNOTEXIST,MST_Contents_000766,保重不存在物品.,,"255,255,255",10,物品错误信息
10146,1,MSG_ITEM_CHECK,MST_Contents_000767,道具检测失败.,,"255,255,255",10,物品错误信息
10147,1,MSG_ITEM_NULL,MST_Contents_000768,使用空着的道具.,,"255,255,255",10,物品错误信息
10148,1,MSG_ITEM_TYPE,MST_Contents_000769,不存在的道具类型.,,"255,255,255",10,物品错误信息
10149,1,MSG_ITEM_HAVEPC,MST_Contents_000770,所拥有的PC信息异常.,,"255,255,255",10,物品错误信息
10150,1,MSG_ITEM_FULLINVENTORY,MST_Contents_000771,背包里没有空位.,System_PC_HM_07.ogg|System_PC_HW_07.ogg|0|0|0|0|System_PC_OM_07.ogg|System_PC_OW_07.ogg,"255,255,255",10,物品错误信息
10151,1,MSG_ITEM_FULLITEMPOOL,MST_Contents_000772,Item Pool已满.请增加Item的空间.,,"255,255,255",10,物品错误信息
10152,1,MSG_ITEM_POSERROR,MST_Contents_000773,无法移动的地方.,,"255,255,255",10,物品错误信息
10153,1,MSG_ITEM_EQUIPERROR,MST_Contents_000774,无法装备的物品.,,"255,255,255",10,物品错误信息
10154,1,MSG_ITEM_UNEQUIPERROR,MST_Contents_000775,无法去除的装备物品.,,"255,255,255",10,物品错误信息
10155,1,MSG_ITEM_EQIPMENT,MST_Contents_000776,装备道具情报错误.,,"255,255,255",10,物品错误信息
10156,1,MSG_ITEM_NOTGETSERIAL,MST_Contents_000777,Serial信息无法取得.,,"255,255,255",10,物品错误信息
10157,1,MSG_ITEM_USENOTRACE,MST_Contents_000778,无法使用的种族.,,"255,255,255",10,物品错误信息
10158,1,MSG_ITEM_USENOTGEN,MST_Contents_000779,无法使用的性别.,,"255,255,255",10,物品错误信息
10159,1,MSG_ITEM_USENOTLV,MST_Contents_000780,无法使用的等级.,,"255,255,255",10,物品错误信息
10160,1,MSG_ITEM_USENOTSTR,MST_Contents_000781,[力量]不足.,,"255,255,255",10,物品错误信息
10161,1,MSG_ITEM_USENOTCON,MST_Contents_000782,[体力]不足.,,"255,255,255",10,物品错误信息
10162,1,MSG_ITEM_USENOTWIS,MST_Contents_000783,[技能]不足.,,"255,255,255",10,物品错误信息
10163,1,MSG_ITEM_USENOTMEN,MST_Contents_000784,[战斗值]不足.,,"255,255,255",10,物品错误信息
10164,1,MSG_ITEM_USENOTAGI,MST_Contents_000785,[敏捷度]不足.,,"255,255,255",10,物品错误信息
10165,1,MSG_ITEM_USENOTWLV,MST_Contents_000786,无法使用的武器熟练度.,,"255,255,255",10,物品错误信息
10166,1,MSG_ITEM_EQUIPNOTDESTORY,MST_Contents_000787,物品已被破坏，无法装备.,,"255,255,255",10,物品错误信息
10167,1,MSG_ITEM_USENOTCOOLTIME,MST_Contents_000788,目前无法使用.,,"255,255,255",10,物品错误信息
10168,1,MSG_ITEM_BUYNOTGELD,MST_Contents_000789,现金不足.,,"255,255,255",10,物品错误信息
10169,1,MSG_ITEM_REPAIRCOMPLETE,MST_Contents_000790,修理没有完成状态,,"255,255,255",10,物品错误信息
10170,1,MSG_ITEM_REPAIRNOENOUGH,MST_Contents_000791,修理没有完成状态,,"255,255,255",10,物品错误信息
10171,1,MSG_ITEM_REPAIRNOT,MST_Contents_000792,无法修理的物品.,,"255,255,255",10,物品错误信息
10172,1,MSG_ITEM_REPAIRNOFOUND,MST_Contents_000793,无法修理的物品.,,"255,255,255",10,物品错误信息
10173,1,MSG_ITEM_NOTSTACK,MST_Contents_000794,不是Stack物品.,,"255,255,255",10,物品错误信息
10174,1,MSG_ITEM_STACKMINUS,MST_Contents_000795,Stack物品的减少数量超过原本数量.,,"255,255,255",10,物品错误信息
10175,1,MSG_ITEM_SAMESTACK,MST_Contents_000796,Stack种类不同.,,"255,255,255",10,物品错误信息
10176,1,MSG_ITEM_EMPTYSTACK,MST_Contents_000797,不是空的.,,"255,255,255",10,物品错误信息
10177,1,MSG_ITEM_MINSTACK,MST_Contents_000798,以后无法在分享了.,,"255,255,255",10,物品错误信息
10178,1,MSG_ITEM_DIFFSTORAGE,MST_Contents_000799,仓库<->背包无法实行.,,"255,255,255",10,物品错误信息
10179,1,MSG_ITEM_MAXMONEY,MST_Contents_000800,超过最大持有金额.,,"255,255,255",10,物品错误信息
10180,12,MSG_TRADE_MAXMONEY,MST_Contents_000801,对方超过最大持有金额，无法交易.,,"255,255,255",10,物品错误信息
10181,12,MSG_TRADE_MAXMONEY01,MST_Contents_000802,最大所持金额以上，无法交易.,,"255,255,255",10,物品错误信息
10182,1,MSG_ITEM_MAXHAVE,MST_Contents_000803,超过最大所持数额.,,"255,255,255",10,物品错误信息
10183,1,MSG_ITEM_NOTSALE,MST_Contents_000804,无法卖出的物品.,,"255,255,255",10,物品错误信息
10184,1,MSG_ITEM_NOTDESTORY,MST_Contents_000805,无法破坏的物品.,,"255,255,255",10,物品错误信息
10185,1,MSG_ITEM_NOTSTORE,MST_Contents_000806,无法在仓库储存的物品.,,"255,255,255",10,物品错误信息
10186,1,MSG_ITEM_NOTGUILDSTORE,MST_Contents_000807,无法在公会仓库储藏的物品.,,"255,255,255",10,物品错误信息
10187,1,MSG_ITEM_ENCHANTERROR,MST_Contents_000808,试图改造失败,,"255,255,255",10,物品错误信息
10188,1,MSG_ITEM_ENCHANTMATERIAL,MST_Contents_000809,强化材料不足.,,"255,255,255",10,物品错误信息
10189,1,MSG_ITEM_ENCHANTGHELLD,MST_Contents_000810,强化费用不足.,,"255,255,255",10,物品错误信息
10190,12,MSG_ITEM_ENCHANT_UNABLE_ACCEPT_ITEM,MST_Contents_000811,无法进行强化的物品.,,"255,255,255",10,物品错误信息
10191,12,MSG_ITEM_ENCHANT_UNABLE_MAX_ITEM,MST_Contents_000812,再也无法强化.,,"255,255,255",10,物品错误信息
10192,12,MSG_ITEM_ENCHANT_FAIL_STATE_KEEP,MST_Contents_000813,强化失败.物品没右被破坏.,,"255,255,255",10,物品错误信息
10193,12,MSG_ITEM_ENCHANT_FAIL_STATE_RESET,MST_Contents_000814,强化失败.阶段被初始化.,,"255,255,255",10,物品错误信息
10194,12,MSG_ITEM_ENCHANT_FAIL_STATE_DESTORY,MST_Contents_000815,强化失败.物品被破坏.,,"255,255,255",10,物品错误信息
10195,12,MSG_ITEM_ENCHANT_FAIL_STATE_STEPDOWN,MST_Contents_000816,强化失败.强化阶段下跌.,,"255,255,255",10,物品错误信息
10196,12,MSG_ITEM_ENCHANT_SUCCESS,MST_Contents_000817,成功强化.,,"255,255,255",10,物品错误信息
10197,1,MSG_ITEM_BREAKERROR,MST_Contents_000818,分试图分解失败,,"255,255,255",10,物品错误信息
10198,1,MSG_ITEM_BREAKGHELLD,MST_Contents_000819,分解费用不足.,,"255,255,255",10,物品错误信息
10199,1,MSG_ITEM_PRODUCTERROR,MST_Contents_000820,试图生产失败,,"255,255,255",10,物品错误信息
10200,1,MSG_ITEM_PRODUCTMATERIAL,MST_Contents_000821,生产材料不足.,,"255,255,255",10,物品错误信息
10201,1,MSG_ITEM_PRODUCTGHELLD,MST_Contents_000822,生产费用不足.,,"255,255,255",10,物品错误信息
10202,1,MSG_ITEM_PRODUCTLEVEL,MST_Contents_000823,生产熟练度不足.,,"255,255,255",10,物品错误信息
10203,12,MSG_ITEM_PRODUCTSTOP,MST_Contents_000824,生产中断.,,"255,255,255",10,生产途中点击终止键
10204,1,MSG_ITEM_SOCKETPUSHERROR,MST_Contents_000825,请注册准备装备的灵石.,,"255,255,255",10,物品错误信息
10205,1,MSG_ITEM_SOCKETPUSHGHELLD,MST_Contents_000826,装备灵石费用不足.,,"255,255,255",10,物品错误信息
10206,1,MSG_ITEM_SOCKETPOPERROR,MST_Contents_000827,试图制作灵石失败,,"255,255,255",10,物品错误信息
10207,1,MSG_ITEM_SOCKETPOPGHELLD,MST_Contents_000828,制作灵石费用不足.,,"255,255,255",10,物品错误信息
10208,9,MSG_ENCHANT_UNABLE_ACCEPT_ADDSLOT,MST_Contents_000829,不是添加剂中注册的物品.,,"255,255,255",10,不是添加剂中注册的物品时
10209,9,MSG_ITEMSOCKET_UNABLE_ITEM,MST_Contents_000830,无法注册的物品.,,"255,255,255",10,注册契约条例个数为0的物品时
10210,12,MSG_ITEMSOCKET_EQUIP_SUCCESS,MST_Contents_000831,灵石装备成功.,,"255,255,255",10,根据契约条例成功装备灵石时
10211,12,MSG_ITEMSOCKET_EQUIP_FAIL_KEEP,MST_Contents_000832,灵石装备失败，灵石并无破损.,,"255,255,255",10,根据契约条例装备失败时
