TID,Type,LoadType,ContentsLimit,Name,EngName,Channel,MapX,MapY,MapSizeX,MapSizeY,WorldProperty,RebirthTime,Human_Pos,Human_Pos1,Human_Pos2,Human_Invasion,Human_Radius,MoonElf_Pos,MoonElf_Pos1,MoonElf_Pos2,MoonElf_Invasion,MoonElf_Radius,DragonScion_Pos,DragonScion_Pos1,DragonScion_Pos2,DragonScion_Invasion,DragonScion_Radius,Orc_Pos,Orc_Pos1,Orc_Pos2,Orc_Invasion,Orc_Radius,SunFilePath,Desc
4033,4,1,3,火焰祭坛(炼狱),Flame_Altar,0,1,1,512,512,4033,0,293.514|241.403|114.400,293.514|241.403|114.400,293.514|241.403|114.400,,2,293.514|241.403|114.400,293.514|241.403|114.400,293.514|241.403|114.400,,2,293.514|241.403|114.400,293.514|241.403|114.400,293.514|241.403|114.400,,2,293.514|241.403|114.400,293.514|241.403|114.400,293.514|241.403|114.400,,2,sun_roomlight.nif,高级 即时
4040,4,1,3,死亡寺院(普通),Temple_Death,0,1,1,512,512,4040,0,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,sun_roomlight.nif,高级 即时
4041,4,1,3,死亡寺院(困难),Temple_Death,0,1,1,512,512,4040,0,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,sun_roomlight.nif,高级 即时
4042,4,1,3,死亡寺院(极困难),Temple_Death,0,1,1,512,512,4040,0,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,sun_roomlight.nif,高级 即时
4043,4,1,3,死亡寺院(炼狱),Temple_Death,0,1,1,512,512,4043,0,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,407.57|90.56|-9.19,405.57|90.56|-9.19,405.57|88.56|-9.19,,2,sun_roomlight.nif,高级 即时
4050,4,1,3,阿罗汉浮游城(普通),Castle_Arahan,0,1,1,512,512,4050,0,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,sun_roomlight.nif,高级 即时
4051,4,1,3,阿罗汉浮游城(困难),Castle_Arahan,0,1,1,512,512,4050,0,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,sun_roomlight.nif,高级 即时
4052,4,1,3,阿罗汉浮游城(极困难),Castle_Arahan,0,1,1,512,512,4050,0,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,sun_roomlight.nif,高级 即时
4053,4,1,3,阿罗汉浮游城(炼狱),Castle_Arahan,0,1,1,512,512,4053,0,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,21.73|381.75|34.10,19.73|381.75|34.10,21.73|379.75|34.10,,2,sun_roomlight.nif,高级 即时
4060,4,1,3,克拉伍德活体实验室(普通),Laboratory_Kraud,0,1,1,512,512,4060,0,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,sun_roomlight.nif,高级 即时
4061,4,1,3,克拉伍德活体实验室(困难),Laboratory_Kraud,0,1,1,512,512,4060,0,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,sun_roomlight.nif,高级 即时
4062,4,1,3,克拉伍德活体实验室(极困难),Laboratory_Kraud,0,1,1,512,512,4060,0,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,sun_roomlight.nif,高级 即时
4063,4,1,3,克拉伍德活体实验室(炼狱),Laboratory_Kraud,0,1,1,512,512,4063,0,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,445.46|49.83|44.78,443.46|49.83|44.78,445.46|46.83|44.78,,2,sun_roomlight.nif,高级 即时
4070,4,1,3,火龙巢穴(普通),FlameDragon_Lair,0,1,1,512,512,4070,0,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,sun_roomlight.nif,删除 即时
4071,4,1,3,火龙巢穴(困难),FlameDragon_Lair,0,1,1,512,512,4070,0,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,sun_roomlight.nif,删除 即时
4072,4,1,3,火龙巢穴(极困难),FlameDragon_Lair,0,1,1,512,512,4070,0,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,sun_roomlight.nif,删除 即时
4073,4,1,3,火龙巢穴(炼狱),FlameDragon_Lair,0,1,1,512,512,4073,0,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,409.97|73.10|1.45,409.97|73.10|1.45,409.97|73.10|1.45,,2,sun_roomlight.nif,删除 即时
4080,4,1,3,恶鬼峡谷(普通),EvilSpirit_Valley,0,1,1,512,512,4080,0,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,sun_roomlight.nif,高级 即时
4081,4,1,3,恶鬼峡谷(困难),EvilSpirit_Valley,0,1,1,512,512,4080,0,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,sun_roomlight.nif,高级 即时
4082,4,1,3,恶鬼峡谷(极困难),EvilSpirit_Valley,0,1,1,512,512,4080,0,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,sun_roomlight.nif,高级 即时
4083,4,1,3,恶鬼峡谷(炼狱),EvilSpirit_Valley,0,1,1,512,512,4083,0,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,51.60|63.91|-0.23,49.60|63.91|-0.23,51.60|61.91|-0.23,,2,sun_roomlight.nif,高级 即时
4090,4,1,3,黑暗要塞(普通),Dark_Fortress,0,1,1,512,512,4090,0,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,sun_roomlight.nif,高级 即时
4091,4,1,3,黑暗要塞(困难),Dark_Fortress,0,1,1,512,512,4090,0,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,sun_roomlight.nif,高级 即时
4092,4,1,3,黑暗要塞(极困难),Dark_Fortress,0,1,1,512,512,4090,0,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,sun_roomlight.nif,高级 即时
4093,4,1,3,黑暗要塞(炼狱),Dark_Fortress,0,1,1,512,512,4093,0,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,431.22|98.16|-23.47,429.22|98.16|-23.47,431.22|97.16|-23.47,,2,sun_roomlight.nif,高级 即时
4400,4,1,3,普利德米尔饲养场 (普通),Bleedmeel_Farm,0,1,1,512,512,4400,0,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,sun_roomlight.nif,删除 即时
4401,4,1,3,普利德米尔饲养场 (困难),Bleedmeel_Farm,0,1,1,512,512,4400,0,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,sun_roomlight.nif,删除 即时
4402,4,1,3,普利德米尔饲养场 (极困难),Bleedmeel_Farm,0,1,1,512,512,4400,0,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,64.18|21.88|72.82,58.21|21.64|72.82,58.21|21.64|72.82,,2,sun_roomlight.nif,删除 即时
4403,4,1,3,普利德米尔饲养场 (炼狱),Bleedmeel_Farm,0,1,1,512,512,4403,0,92.07|413.61|10.83,92.07|413.61|10.83,92.07|413.61|10.83,,2,92.07|413.61|10.83,92.07|413.61|10.83,92.07|413.61|10.83,,2,92.07|413.61|10.83,92.07|413.61|10.83,92.07|413.61|10.83,,2,92.07|413.61|10.83,92.07|413.61|10.83,92.07|413.61|10.83,,2,sun_roomlight.nif,删除 即时
4410,4,1,3,恩蒂温圣所(普通),Entyon_Sanctum,0,1,1,512,512,4410,0,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,sun_roomlight.nif,删除 即时
4411,4,1,3,恩蒂温圣所(困难),Entyon_Sanctum,0,1,1,512,512,4410,0,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,sun_roomlight.nif,删除 即时
4412,4,1,3,恩蒂温圣所(极困难),Entyon_Sanctum,0,1,1,512,512,4410,0,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,124.86|23.36|6.44,133.16|27.39|5.13,133.16|27.39|5.13,,2,sun_roomlight.nif,删除 即时
4413,4,1,3,恩蒂温圣所(炼狱),Entyon_Sanctum,0,1,1,512,512,4413,0,45.023|134.100|113.526,43.023|132.100|113.526,45.023|134.100|113.526,,2,45.023|134.100|113.526,43.023|132.100|113.526,45.023|134.100|113.526,,2,45.023|134.100|113.526,43.023|132.100|113.526,45.023|134.100|113.526,,2,45.023|134.100|113.526,43.023|132.100|113.526,45.023|134.100|113.526,,2,sun_roomlight.nif,删除 即时
4420,4,1,3,冰冷的洞窟(普通),frozen_cave,0,1,1,512,512,4420,0,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,sun_roomlight.nif,删除 即时
4421,4,1,3,冰冷的洞窟(困难),frozen_cave,0,1,1,512,512,4420,0,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,sun_roomlight.nif,删除 即时
4422,4,1,3,冰冷的洞窟(极困难),frozen_cave,0,1,1,512,512,4420,0,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,476.92|194.51|24.48,480.49|184.84|26.80,480.49|184.84|26.80,,2,sun_roomlight.nif,删除 即时
4423,4,1,3,冰冷的洞窟(炼狱),frozen_cave,0,1,1,512,512,4423,0,94.084|215.510|26.640,94.084|215.510|26.640,94.084|215.510|26.640,,2,94.084|215.510|26.640,94.084|215.510|26.640,94.084|215.510|26.640,,2,94.084|215.510|26.640,94.084|215.510|26.640,94.084|215.510|26.640,,2,94.084|215.510|26.640,94.084|215.510|26.640,94.084|215.510|26.640,,2,sun_roomlight.nif,删除 即时
4430,4,1,3,冰封的狼城(普通),frozenwolf_castle,0,1,1,512,512,4430,0,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,sun_roomlight.nif,删除 即时
4431,4,1,3,冰封的狼城(困难),frozenwolf_castle,0,1,1,512,512,4430,0,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,sun_roomlight.nif,删除 即时
4432,4,1,3,冰封的狼城(极困难),frozenwolf_castle,0,1,1,512,512,4430,0,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,35.59|167.32|137.04,34.76|182.55|137.04,34.76|182.55|137.04,,2,sun_roomlight.nif,删除 即时
4433,4,1,3,冰封的狼城(炼狱),frozenwolf_castle,0,1,1,512,512,4433,0,254.853|32.858|0.351,254.853|32.858|0.351,254.853|32.858|0.351,,2,254.853|32.858|0.351,254.853|32.858|0.351,254.853|32.858|0.351,,2,254.853|32.858|0.351,254.853|32.858|0.351,254.853|32.858|0.351,,2,254.853|32.858|0.351,254.853|32.858|0.351,254.853|32.858|0.351,,2,sun_roomlight.nif,删除 即时
4440,4,1,3,哈比人的乐园 (普通),Harpy_Paradise,0,1,1,512,512,4440,0,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,sun_roomlight.nif,删除 即时
4441,4,1,3,哈比人的乐园 (困难),Harpy_Paradise,0,1,1,512,512,4440,0,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,sun_roomlight.nif,删除 即时
4442,4,1,3,哈比人的乐园 (极困难),Harpy_Paradise,0,1,1,512,512,4440,0,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,sun_roomlight.nif,删除 即时
4443,4,1,3,哈比人的乐园 (炼狱),Harpy_Paradise,0,1,1,512,512,4443,0,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,445.17|420.61|100.53,443.17|420.61|100.53,445.17|418.61|100.53,,2,sun_roomlight.nif,删除 即时
4450,4,1,3,暴风古城(普通),Tempest_Castle,0,1,1,512,512,4450,0,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,sun_roomlight.nif,删除 即时
4451,4,1,3,暴风古城(困难),Tempest_Castle,0,1,1,512,512,4450,0,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,sun_roomlight.nif,删除 即时
4452,4,1,3,暴风古城(极困难),Tempest_Castle,0,1,1,512,512,4450,0,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,sun_roomlight.nif,删除 即时
4453,4,1,3,暴风古城(炼狱),Tempest_Castle,0,1,1,512,512,4453,0,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,471.26|289.84|0.01,468.26|289.84|0.01,471.26|285.84|0.01,,2,sun_roomlight.nif,删除 即时
4460,4,1,3,战士们的圣地(普通),Shrine_Warrior,0,1,1,512,512,4460,0,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,sun_roomlight.nif,删除 即时
4461,4,1,3,战士们的圣地(困难),Shrine_Warrior,0,1,1,512,512,4460,0,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,sun_roomlight.nif,删除 即时
4462,4,1,3,战士们的圣地(极困难),Shrine_Warrior,0,1,1,512,512,4460,0,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,sun_roomlight.nif,删除 即时
4463,4,1,3,战士们的圣地(炼狱),Shrine_Warrior,0,1,1,512,512,4463,0,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,261.73|46.74|41.04,258.73|46.74|41.04,261.73|43.74|41.04,,2,sun_roomlight.nif,删除 即时
4470,4,1,3,红顶火山洞穴 (普通),Redhead_Lavacave,0,1,1,512,512,4470,0,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,sun_roomlight.nif,删除 即时
4471,4,1,3,红顶火山洞穴(困难),Redhead_Lavacave,0,1,1,512,512,4470,0,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,sun_roomlight.nif,删除 即时
4472,4,1,3,红顶火山洞穴(极困难),Redhead_Lavacave,0,1,1,512,512,4470,0,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,sun_roomlight.nif,删除 即时
4473,4,1,3,红顶火山洞穴(炼狱),Redhead_Lavacave,0,1,1,512,512,4473,0,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,214.54|91.68|5.99,212.54|91.68|5.99,214.54|89.68|5.99,,2,sun_roomlight.nif,删除 即时
4480,4,1,3,灰色半兽人村庄 (普通),Gray_Kentauros,0,1,1,512,512,4480,0,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,sun_roomlight.nif,删除 即时
4481,4,1,3,灰色半兽人村庄(困难),Gray_Kentauros,0,1,1,512,512,4480,0,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,sun_roomlight.nif,删除 即时
4482,4,1,3,灰色半兽人村庄(极困难),Gray_Kentauros,0,1,1,512,512,4480,0,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,sun_roomlight.nif,删除 即时
4483,4,1,3,灰色半兽人村庄(炼狱),Gray_Kentauros,0,1,1,512,512,4483,0,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,45.86|86.91|81.11,43.86|86.91|81.11,45.86|83.91|81.11,,2,sun_roomlight.nif,删除 即时
