TID,CharID,Name,BoneList
28,8,TYPE5,Bone_Root|1.000|1.000|1.040|1|Bip01 Pelvis|1.100|1.100|0.950|1|Bip01 Spine|0.950|1.000|1.000|1|Bip01 Spine1|0.950|1.000|1.000|1|Bip01 Spine2|1.100|1.000|1.000|1|Bip01 Neck|1.000|1.100|1.150|1|Bip01 Head|1.010|1.010|1.010|0|e2|1.000|0.980|0.980|0|Bone_Brows|1.000|1.000|0.500|0|Bip01 L Clavicle|0.950|1.200|1.200|1|Bip01 L UpperArm|1.100|1.100|1.100|1|Bip01 L Forearm|1.000|1.100|1.100|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.000|1.200|1.000|0|Bip01 R Clavicle|0.950|1.200|1.200|1|Bip01 R UpperArm|1.100|1.100|1.100|1|Bip01 R Forearm|1.000|1.100|1.100|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.000|1.200|1.000|0|Bone_Bust_L|1.200|1.200|1.200|0|Bone_Bust_R|1.200|1.200|1.200|0|Bip01 L Thigh|1.050|0.980|0.980|1|Bip01 L Calf|1.050|0.950|0.950|1|Bip01 R Thigh|1.050|0.980|0.980|1|Bip01 R Calf|1.050|0.950|0.950|1|
29,8,TYPE6,Bone_Root|1.050|1.050|1.020|0|Bip01 Spine1|1.050|1.200|1.100|1|Bip01 Spine2|1.100|1.200|1.100|1|Bip01 Neck|1.000|1.200|1.300|1|Bip01 Head|1.100|1.030|1.020|1|Bone_Brows|1.000|1.000|2.000|0|Bip01 L Clavicle|1.050|1.200|1.400|1|Bip01 L UpperArm|1.150|1.100|1.200|1|Bip01 L Forearm|1.050|1.300|1.300|1|Bip01 L Hand|1.100|1.100|1.100|0|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.100|1.300|1.000|1|Bone_shoulder_L|1.100|1.300|1.100|0|Bip01 R Clavicle|1.050|1.200|1.400|1|Bip01 R UpperArm|1.150|1.100|1.200|1|Bip01 R Forearm|1.050|1.300|1.300|1|Bip01 R Hand|1.100|1.100|1.100|0|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.100|1.300|1.000|1|Bone_shoulder_R|1.100|1.300|1.100|0|Bone_Bust_L|0.600|0.600|0.600|0|Bone_Bust_R|0.600|0.600|0.600|0|Bip01 L Thigh|1.000|1.100|1.100|1|Bip01 L Calf|1.000|1.200|1.200|0|Bip01 R Thigh|1.000|1.100|1.100|1|Bip01 R Calf|1.000|1.200|1.200|0|
30,8,TYPE7,Bone_Root|1.000|1.000|0.900|1|Bip01 Pelvis|1.050|0.900|0.950|1|Bip01 Spine|1.000|1.000|0.950|1|Bip01 Spine1|0.950|1.000|0.900|1|Bip01 Spine2|0.950|0.950|0.950|1|Bip01 Neck|0.900|1.000|0.950|1|Bip01 Head|1.000|1.000|1.050|1|e2|0.970|1.100|1.000|1|Bone_Brows|1.000|1.000|0.290|0|Bip01 L Clavicle|0.850|1.000|1.000|1|Bip01 L UpperArm|0.950|1.000|1.000|1|Bip01 L Forearm|0.950|1.000|1.000|1|Bip01 L Hand|0.900|0.900|0.800|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|0.960|0.900|0.900|0|Bip01 R Clavicle|0.850|1.000|1.000|1|Bip01 R UpperArm|0.950|1.000|1.000|1|Bip01 R Forearm|0.950|1.000|1.000|1|Bip01 R Hand|0.900|0.900|0.800|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|0.960|0.900|0.900|0|Bone_Bust_L|0.800|0.800|0.800|1|Bone_Bust_R|0.800|0.800|0.800|1|Bip01 L Thigh|0.900|1.000|1.000|1|Bip01 L Calf|0.900|0.900|0.900|0|Bip01 R Thigh|0.900|1.000|1.000|1|Bip01 R Calf|0.900|0.900|0.900|0|
31,8,TYPE8,Bip01 Pelvis|1.100|0.900|1.000|1|Bip01 Spine|1.050|0.900|0.900|1|Bip01 Spine1|1.000|0.950|1.000|1|Bip01 Spine2|1.050|0.900|0.950|1|Bip01 Neck|1.000|1.050|0.900|1|Bip01 Head|1.050|1.030|1.000|1|e2|1.000|0.950|1.000|0|Bone_Brows|1.000|1.000|0.090|0|Bip01 L Clavicle|1.000|0.850|0.900|1|Bip01 L UpperArm|1.050|0.950|0.950|1|Bip01 L Forearm|1.000|1.100|1.100|1|Bip01 L Hand|1.100|1.100|1.100|1|Bip01 Prop_L|1.000|1.000|1.000|1|Bip01 LUpArmTwist|1.000|0.900|0.900|0|Bip01 R Clavicle|1.000|0.850|0.900|1|Bip01 R UpperArm|1.050|0.950|0.950|1|Bip01 R Forearm|1.000|1.100|1.100|1|Bip01 R Hand|1.100|1.100|1.100|1|Bip01 Prop_R|1.000|1.000|1.000|1|Bip01 RUpArmTwist|1.000|0.900|0.900|0|Bip01 L Thigh|0.900|0.900|0.900|1|Bip01 L Calf|1.100|1.100|1.100|1|Bip01 R Thigh|0.900|0.900|0.900|1|Bip01 R Calf|1.100|1.100|1.100|1|
32,3,type1,Bip01 Pelvis|1.000|1.000|1.100|1|Bip01 Spine|1.100|1.000|1.050|1|Bip01 Spine1|1.050|1.000|1.000|1|Bip01 Spine2|1.050|1.000|1.000|1|Bip01 Neck|1.030|1.000|1.000|1|Bip01 L UpperArm|0.980|0.970|0.970|1|Bip01 L Forearm|1.000|0.970|0.950|1|Bip01 L Hand|0.900|1.000|1.000|0|Bip01 R UpperArm|0.980|0.970|0.970|1|Bip01 R Forearm|1.000|0.970|0.950|1|Bip01 R Hand|0.900|1.000|1.000|0|Bip01 R Thigh|1.000|1.000|1.100|0|Bip01 L Thigh|1.000|1.000|1.100|0|
33,3,type2,Bip01 Pelvis|1.050|1.000|1.050|1|Bip01 Spine|1.100|1.000|1.000|1|Bip01 Spine1|1.150|1.000|1.000|1|Bip01 Spine2|1.100|1.000|1.000|1|Bip01 Neck|1.100|1.000|0.950|1|Bip01 L UpperArm|1.000|0.900|0.900|1|Bip01 L Forearm|1.050|1.000|1.000|1|Bip01 L Hand|0.950|1.000|1.000|0|Bip01 R UpperArm|1.000|0.900|0.900|1|Bip01 R Forearm|1.050|1.000|1.000|1|Bip01 R Hand|0.950|1.000|1.000|0|Bip01 R Thigh|1.000|1.000|1.050|0|Bip01 L Thigh|1.000|1.000|1.050|0|
34,3,type3,Bone_Root NonAccum|1.000|1.000|0.955|1|Bip01 Pelvis|1.100|1.000|1.150|1|Bip01 Spine|1.000|1.000|1.100|1|Bip01 Spine1|1.000|1.100|1.100|1|Bip01 Spine2|1.050|1.100|1.100|1|Bip01 Neck|1.050|1.100|1.050|1|Bip01 Head|1.030|1.030|1.000|0|Bone_Ear_R|1.100|1.000|1.000|1|Bone_Ear_L|1.100|1.000|1.000|1|Bip01 L Clavicle|1.050|1.200|1.200|1|Bip01 L UpperArm|1.000|1.000|1.000|1|Bip01 L Forearm|1.000|1.000|1.100|1|Bip01 L Hand|1.100|1.100|1.100|0|Bip01 L ForeTwist|1.000|1.200|1.200|0|Bip01 R Clavicle|1.050|1.200|1.200|1|Bip01 R UpperArm|1.000|1.000|1.000|1|Bip01 R Forearm|1.000|1.000|1.100|1|Bip01 R Hand|1.100|1.100|1.100|0|Bip01 R ForeTwist|1.000|1.200|1.200|0|Bip01 R Thigh|0.950|1.050|1.050|0|Bip01 R Calf|1.000|1.100|1.100|1|Bip01 L Thigh|0.950|1.050|1.050|0|Bip01 L Calf|1.000|1.100|1.100|1|
35,3,type4,Bip01 R Thigh|1.000|1.000|1.050|0|Bip01 L Thigh|1.000|1.000|1.050|0|
36,3,type5,Bone_Root NonAccum|1.000|1.000|0.910|1|Bip01 Pelvis|1.000|1.000|1.200|1|Bip01 Spine|1.100|1.000|1.000|1|Bip01 Spine1|1.100|1.000|1.000|1|Bip01 Spine2|1.100|1.000|1.000|1|Bip01 R Thigh|0.900|1.100|1.100|0|Bip01 L Thigh|0.900|1.100|1.100|0|
37,3,type6,Bip01 Pelvis|1.100|1.000|1.100|1|Bip01 Spine|1.100|1.200|1.200|1|Bip01 Spine1|1.050|1.200|1.200|1|Bip01 Spine2|1.100|1.100|1.100|1|Bip01 Neck|1.100|1.100|1.200|1|Bip01 Head|1.050|1.050|1.000|0|Bone_Eye_up|1.000|1.200|1.000|0|Bone_frown|1.000|1.000|1.200|0|Bip01 L Clavicle|1.050|1.200|1.200|1|Bip01 L UpperArm|1.000|1.100|1.100|1|Bip01 L Hand|1.000|1.100|1.100|0|Bip01 L ForeTwist|1.000|1.300|1.300|1|Bip01 R Clavicle|1.050|1.200|1.200|1|Bip01 R UpperArm|1.000|1.100|1.100|1|Bip01 R Hand|1.000|1.100|1.100|0|Bip01 R ForeTwist|1.000|1.300|1.300|1|Bip01 R Thigh|1.000|1.200|1.200|1|Bip01 R Calf|1.000|1.300|1.300|0|Bip01 L Thigh|1.000|1.200|1.200|1|Bip01 L Calf|1.000|1.300|1.300|0|
38,3,type7,Bone_Root NonAccum|1.000|1.000|0.910|1|Bip01 Pelvis|1.000|1.000|1.100|1|Bip01 Spine2|1.050|1.000|1.100|1|Bip01 Neck|1.000|1.050|1.050|1|Bip01 R Thigh|0.900|1.000|1.050|0|Bip01 L Thigh|0.900|1.000|1.050|0|
39,3,type8,Bone_Root NonAccum|1.000|1.000|0.800|1|Bip01 Pelvis|1.000|1.000|1.000|1|Bip01 Spine|1.000|1.000|1.000|1|Bip01 Spine1|1.000|0.900|0.900|1|Bip01 Spine2|0.950|0.900|0.900|1|Bip01 Neck|0.900|1.000|0.900|1|Bip01 Head|1.000|1.050|1.050|0|Bone_Ear_R|1.200|1.300|1.300|0|Bone_Ear_L|1.200|1.300|1.300|0|Bone_jaw|1.060|1.000|1.000|0|Bone_Eye_up|1.000|1.500|1.000|0|Bip01 L Clavicle|0.800|0.800|0.800|1|Bip01 L UpperArm|0.900|0.900|0.800|0|Bip01 L Forearm|1.000|0.900|0.900|0|Bip01 R Clavicle|0.800|0.800|0.800|1|Bip01 R UpperArm|0.900|0.900|0.800|0|Bip01 R Forearm|1.000|0.900|0.900|0|Bip01 R Thigh|0.800|1.000|1.000|1|Bip01 R Calf|0.800|0.900|0.900|0|Bip01 L Thigh|0.800|1.000|1.000|1|Bip01 L Calf|0.800|0.900|0.900|0|
40,4,type1,
41,4,type2,Bip01 Pelvis|1.050|1.000|1.100|1|Bip01 Spine1|1.000|1.100|1.050|1|Bip01 Spine2|1.100|1.100|1.100|1|Bip01 Neck|1.050|1.000|1.000|1|Bip01 L Clavicle|1.050|1.100|1.100|1|Bip01 L UpperArm|1.000|1.100|1.100|0|Bip01 R Clavicle|1.050|1.100|1.100|1|Bip01 R UpperArm|1.000|1.100|1.100|0|Bone_Rbust|1.100|1.200|1.300|0|Bone_Lbust|1.100|1.200|1.300|0|
42,4,type3,Bone_Root NonAccum|1.000|1.000|0.950|1|Bip01 Pelvis|1.000|1.000|1.200|1|Bip01 Neck|1.100|1.000|1.000|1|Bone_Ear_R|1.100|1.100|1.100|0|Bone_Ear_L|1.100|1.100|1.100|0|Bone_Rbust|1.250|1.500|1.500|1|Bone_Lbust|1.250|1.500|1.500|1|Bip01 R Thigh|0.950|1.000|1.000|1|Bip01 R Calf|0.950|1.000|1.000|1|Bip01 R Foot|0.950|1.000|1.000|1|Bip01 L Thigh|0.950|1.000|1.000|1|Bip01 L Calf|0.950|1.000|1.000|1|Bip01 L Foot|0.950|1.000|1.000|1|
43,4,type4,Bone_Root|1.000|1.000|1.000|1|Bone_Root NonAccum|1.000|1.000|0.760|1|Bip01 Pelvis|0.900|0.900|0.950|1|Bip01 Spine|1.000|0.900|0.900|1|Bip01 Spine1|1.000|0.950|0.900|1|Bip01 Spine2|0.900|0.900|0.850|1|Bip01 Neck|0.850|1.000|0.900|1|Bip01 Head|0.970|1.000|1.000|0|Bone_Ear_R|1.300|1.300|1.300|0|Bone_Ear_L|1.300|1.300|1.300|0|Bone_frown|1.000|1.000|1.000|1|Bone_Eye_up|1.000|1.500|1.000|1|Bone_jaw|1.010|0.880|1.000|0|Bip01 L Clavicle|0.900|0.800|0.900|1|Bip01 L UpperArm|0.850|0.800|0.800|1|Bip01 L Forearm|0.850|1.000|1.000|1|Bip01 L Hand|0.750|0.800|0.800|0|Bip01 L ForeTwist|0.850|0.800|0.800|1|Bip01 R Clavicle|0.900|0.800|0.900|1|Bip01 R UpperArm|0.850|0.800|0.800|1|Bip01 R Forearm|0.850|1.000|1.000|1|Bip01 R Hand|0.750|0.800|0.800|0|Bip01 R ForeTwist|0.850|0.800|0.800|1|Bone_Rbust|0.700|0.700|0.800|1|Bone_Lbust|0.700|0.700|0.800|1|Bone_Armor_BR01|0.700|1.000|1.000|0|Bone_Armor_BL01|0.700|1.000|1.000|0|Bone_Armor_R01|0.750|1.000|1.000|0|Bone_Armor_L01|0.750|1.000|1.000|0|Bip01 R Thigh|0.750|0.800|0.800|1|Bip01 R Calf|0.750|0.800|0.800|1|Bip01 R Foot|0.800|0.700|0.700|0|Bip01 L Thigh|0.750|0.800|0.800|1|Bip01 L Calf|0.750|0.800|0.800|1|Bip01 L Foot|0.800|0.700|0.700|0|
44,4,type5,Bone_Root NonAccum|1.000|1.000|0.950|1|Bip01 Pelvis|1.000|1.000|1.000|1|Bip01 Spine|1.200|1.000|1.100|1|Bip01 Spine1|1.100|1.000|1.100|1|Bip01 Spine2|1.050|1.000|1.100|1|Bip01 Neck|1.100|1.000|1.100|1|Bip01 L Clavicle|1.000|1.100|1.100|0|Bip01 L Forearm|1.000|1.000|1.000|1|Bip01 L Hand|1.100|1.100|1.100|0|Bip01 L ForeTwist|1.000|1.200|1.200|1|Bip01 R Clavicle|1.000|1.100|1.100|0|Bip01 R Forearm|1.000|1.000|1.000|1|Bip01 R Hand|1.100|1.100|1.100|0|Bip01 R ForeTwist|1.000|1.200|1.200|1|Bone_Rbust|0.800|0.800|0.800|0|Bone_Lbust|0.800|0.800|0.800|0|Bip01 R Thigh|0.950|1.000|1.000|1|Bip01 R Calf|0.950|1.100|1.100|0|Bip01 L Thigh|0.950|1.000|1.000|1|Bip01 L Calf|0.950|1.100|1.100|0|
45,4,type6,Bone_Root NonAccum|1.000|1.000|0.820|1|Bone_Armor_BR01|0.800|1.000|1.000|0|Bone_Armor_BL01|0.800|1.000|1.000|0|Bone_Armor_R01|0.800|1.000|1.000|0|Bone_Armor_L01|0.800|1.000|1.000|0|Bip01 R Thigh|0.800|1.000|1.000|1|Bip01 R Calf|0.800|0.900|1.000|1|Bip01 R Foot|0.900|0.900|1.000|1|Bip01 L Thigh|0.800|1.000|1.000|1|Bip01 L Calf|0.800|0.900|1.000|1|Bip01 L Foot|0.900|0.900|1.000|1|
46,4,type7,Bip01 Pelvis|1.000|1.150|1.100|1|Bip01 Spine|1.000|1.200|1.000|1|Bip01 Spine1|1.050|1.200|1.050|1|Bip01 Spine2|1.150|1.100|1.050|1|Bip01 Neck|1.100|1.100|1.100|1|Bip01 L Clavicle|1.050|1.000|1.000|1|Bip01 L UpperArm|1.100|1.100|1.050|0|Bip01 L Forearm|1.000|1.000|1.000|1|Bip01 R Clavicle|1.050|1.000|1.000|1|Bip01 R UpperArm|1.100|1.100|1.050|0|Bip01 R Forearm|1.000|1.000|1.000|1|Bone_Rbust|1.350|1.600|2.000|0|Bone_Lbust|1.350|1.600|2.000|0|Bip01 R Thigh|1.000|1.100|1.100|1|Bip01 L Thigh|1.000|1.100|1.100|1|
47,4,type8,Bip01 Pelvis|1.000|1.000|1.150|1|Bip01 Spine|1.200|1.000|1.000|1|Bip01 Spine1|1.100|1.000|1.000|1|Bip01 Spine2|1.050|1.000|1.000|1|Bip01 Neck|1.100|1.000|1.000|1|Bip01 L Clavicle|0.900|1.000|1.000|1|Bip01 L UpperArm|1.100|1.000|1.000|0|Bip01 R Clavicle|0.900|1.000|1.000|1|Bip01 R UpperArm|1.100|1.000|1.000|0|Bone_Rbust|1.000|1.000|1.300|0|Bone_Lbust|1.000|1.000|1.300|0|
48,5,type1,Bone_Root NonAccum|1.000|0.950|1.000|1|Bip01 Neck|0.900|1.000|1.000|1|Bip01 Head|0.950|0.950|0.950|0|Bip01 R Thigh|0.950|1.000|1.000|0|Bip01 L Thigh|0.950|1.000|1.000|0|
49,5,type2,Bone_Root NonAccum|1.000|0.960|1.000|1|Bip01 Pelvis|1.000|1.000|1.050|1|Bip01 Spine|1.000|1.050|1.000|1|Bip01 Spine1|1.050|1.100|1.050|1|Bip01 Spine2|1.100|1.100|1.100|1|Bip01 Neck|1.000|1.200|1.200|1|Bip01 Head|0.980|0.950|0.950|0|Bone_Brows|1.000|1.000|1.200|0|Bip01 L Clavicle|1.000|1.200|1.100|0|Bip01 R Clavicle|1.000|1.200|1.100|0|Bip01 R Thigh|0.950|1.100|1.000|0|Bip01 R Calf|1.000|1.100|1.100|1|Bip01 L Thigh|0.950|1.100|1.000|0|Bip01 L Calf|1.000|1.100|1.100|1|
50,5,type3,Bone_Root NonAccum|1.000|0.800|1.000|1|Bip01 Pelvis|1.300|1.900|1.800|1|Bip01 Spine|1.400|2.100|2.000|1|Bip01 Spine1|1.300|1.900|1.800|1|Bip01 Spine2|1.200|1.600|1.500|1|Bip01 Neck|1.000|1.500|1.500|1|Bip01 Head|1.150|1.200|1.250|0|bone_jaw|1.100|1.100|1.100|0|Bone_Brows|1.000|1.000|1.200|0|bone_L_ear|1.200|1.100|1.100|0|bone_R_ear|1.200|1.100|1.100|0|Bip01 L Clavicle|1.600|1.600|1.600|1|Bip01 L UpperArm|1.100|1.600|1.600|0|Bip01 L Hand|1.100|1.100|1.100|0|Bip01 L ForeTwist|1.000|1.100|1.100|0|Bip01 R Clavicle|1.600|1.600|1.600|1|Bip01 R UpperArm|1.100|1.600|1.600|0|Bip01 R Hand|1.100|1.100|1.100|0|Bip01 R ForeTwist|1.000|1.100|1.100|0|bone_cape00|0.800|1.000|1.000|0|Bip01 R Thigh|0.800|1.800|1.800|1|Bip01 R Calf|0.800|1.500|1.500|0|Bip01 R Foot|1.000|0.900|1.000|0|Bone07|1.000|1.500|1.500|1|Bone08|1.000|1.500|1.500|1|bone_R_rope00|1.000|1.500|1.500|1|bone_R_rope01|1.000|1.500|1.500|1|Bip01 L Thigh|0.800|1.800|1.800|1|Bip01 L Calf|0.800|1.500|1.500|0|Bip01 L Foot|1.000|0.900|1.000|0|Bone_L_armor|1.000|1.500|1.500|1|Bone_R_armor|1.000|1.500|1.500|1|Bone10|1.000|1.500|1.500|1|Bone01|0.800|1.500|1.500|1|Bone02|0.800|1.500|1.500|1|Bone11|0.800|1.500|1.500|1|Bone04|0.800|1.500|1.500|1|Bone05|0.800|1.500|1.500|1|bone_back_armor00|0.800|1.500|1.500|1|bone_back_armor01|0.800|1.500|1.500|1|bone_front_armor00|0.800|1.500|1.500|1|bone_front_armor01|0.800|1.500|1.500|1|
51,5,type4,Bip01 Head|0.950|0.950|0.930|0|Bip01 L Clavicle|1.000|1.100|1.100|0|Bip01 R Clavicle|1.000|1.100|1.100|0|
52,5,type5,Bone_Root NonAccum|1.000|0.850|1.000|1|Bip01 Pelvis|1.000|1.000|1.000|1|Bip01 Spine|1.000|1.000|1.000|1|Bip01 Spine1|0.950|1.100|1.000|1|Bip01 Spine2|0.950|1.100|1.000|1|Bip01 Neck|0.950|1.100|1.000|1|Bip01 Head|0.950|0.950|0.950|0|Bip01 L ForeTwist|1.000|1.200|1.200|0|Bip01 R ForeTwist|1.000|1.200|1.200|0|Bip01 R Thigh|0.850|1.000|1.000|0|Bip01 R Calf|1.000|1.100|1.100|0|Bip01 L Thigh|0.850|1.000|1.000|0|Bip01 L Calf|1.000|1.100|1.100|0|
53,5,type6,Bone_Root NonAccum|1.000|0.945|1.000|1|Bip01 Pelvis|1.000|1.000|1.050|1|Bip01 Spine|1.000|1.100|1.100|1|Bip01 Spine1|1.000|1.100|1.100|1|Bip01 Spine2|1.000|1.100|1.100|1|Bip01 Neck|1.000|1.200|1.100|1|Bip01 Head|1.000|1.000|0.980|0|Bip01 L Clavicle|1.050|1.200|1.200|0|Bip01 L ForeTwist|1.000|1.100|1.100|0|Bip01 R Clavicle|1.050|1.200|1.200|0|Bip01 R ForeTwist|1.000|1.100|1.100|0|Bip01 R Thigh|0.950|1.100|1.100|0|Bip01 R Calf|1.000|1.100|1.100|0|Bip01 L Thigh|0.950|1.100|1.100|0|Bip01 L Calf|1.000|1.100|1.100|0|
54,5,type7,Bone_Root NonAccum|1.000|0.975|1.000|1|Bip01 Pelvis|1.030|1.000|1.000|0|Bip01 Neck|0.800|1.000|1.000|1|Bip01 Head|0.980|0.950|0.950|0|Bip01 R Thigh|0.950|1.000|1.000|0|Bip01 L Thigh|0.950|1.000|1.000|0|
55,5,type8,Bip01 Pelvis|1.000|0.950|1.000|1|Bip01 Spine|1.050|0.900|0.900|1|Bip01 Spine1|1.000|0.900|0.900|1|Bip01 Spine2|0.900|0.900|0.900|1|Bip01 Neck|1.000|0.950|0.950|1|Bip01 Head|0.950|0.950|0.950|0|Bip01 L Clavicle|1.000|0.900|0.900|0|Bip01 L Hand|1.100|1.000|1.000|0|Bip01 R Clavicle|1.000|0.900|0.900|0|Bip01 R Hand|1.100|1.000|1.000|0|Bip01 R Thigh|1.000|0.900|0.900|0|Bip01 L Thigh|1.000|0.900|0.900|0|
56,6,type1,
57,6,type2,Bone_Root NonAccum|1.000|1.000|0.870|1|Bip01 Spine|1.000|1.000|1.000|1|Bip01 Spine1|1.000|1.000|1.000|1|Bip01 Spine2|1.000|1.000|1.000|1|Bip01 Neck|0.900|0.900|0.950|1|Bip01 Head|1.030|1.050|1.050|0|Bip01 L Clavicle|0.950|1.000|1.000|1|Bip01 R Clavicle|0.950|1.000|1.000|1|Bone_L_bust|1.100|1.200|1.500|0|Bone_Manteau01|0.850|1.000|1.000|0|Bone_R_bust|1.100|1.200|1.500|0|Bip01 L Thigh|0.850|1.000|1.100|1|Bip01 L Calf|0.850|1.000|0.950|1|Bip01 R Thigh|0.850|1.000|1.100|1|Bip01 R Calf|0.850|1.000|0.950|1|Bone_L_Armor|1.410|1.000|1.000|0|Bone_F_Armor01|0.850|1.000|1.000|0|Bone_B_Armor01|0.850|1.000|1.000|0|Bone_R_Armor|1.410|1.000|1.000|0|Bone_R_Armor01|0.850|1.000|1.000|0|Bone_R_Armor05|2.600|1.000|1.000|0|
58,6,type3,Bip01 Pelvis|1.100|1.100|1.100|1|Bip01 Spine2|1.050|1.050|1.050|1|Bip01 Neck|1.050|1.050|1.050|1|Bip01 Head|1.050|1.100|1.000|0|Bip01 L Clavicle|1.100|1.200|1.200|1|Bip01 L UpperArm|1.100|1.100|1.100|0|Bip01 R Clavicle|1.100|1.200|1.200|1|Bip01 R UpperArm|1.100|1.100|1.100|0|
59,6,type4,Bone_Root NonAccum|1.000|1.000|0.900|1|Bip01 Pelvis|1.000|1.000|1.100|1|Bip01 Neck|0.900|1.050|1.050|1|Bip01 L Clavicle|1.000|1.100|1.100|1|Bip01 L UpperArm|1.000|1.200|1.200|0|Bip01 R Clavicle|1.000|1.100|1.100|1|Bip01 R UpperArm|1.000|1.200|1.200|0|Bone_L_bust|1.000|1.100|1.200|0|Bone_R_bust|1.000|1.100|1.200|0|Bip01 L Thigh|0.900|1.000|1.000|0|Bip01 R Thigh|0.900|1.000|1.000|0|Bone_F_Armor04|0.900|1.000|1.000|0|Bone_F_Armor01|0.900|1.000|1.000|0|Bone_B_Armor01|0.900|1.000|1.000|0|Bone_R_Armor01|0.900|1.000|1.000|0|
60,6,type5,
61,6,type6,Bone_Root NonAccum|1.000|1.000|1.100|1|Bip01 Pelvis|1.000|1.000|1.050|1|Bip01 L Clavicle|1.100|1.000|1.000|0|Bip01 R Clavicle|1.100|1.000|1.000|0|Bip01 L Thigh|1.100|1.000|1.000|0|Bip01 R Thigh|1.100|1.000|1.000|0|
62,6,type7,Bip01 Pelvis|1.000|1.000|1.100|1|Bip01 Spine|1.100|1.000|1.000|1|Bip01 Spine1|1.100|1.000|1.000|1|Bip01 Spine2|1.050|1.000|1.000|1|Bip01 L Clavicle|1.100|1.000|1.000|0|Bip01 R Clavicle|1.100|1.000|1.000|0|Bone_L_bust|1.100|1.200|1.300|1|Bone_R_bust|1.100|1.200|1.300|1|
63,6,type8,Bone_Root NonAccum|1.000|1.000|0.800|1|Bip01 Pelvis|0.900|0.900|0.950|1|Bip01 Spine|0.900|0.800|0.900|1|Bip01 Spine1|0.900|0.800|0.900|1|Bip01 Spine2|0.900|0.800|0.900|1|Bip01 Neck|0.750|0.800|0.900|1|Bip01 Head|1.000|1.030|1.030|0|Bone_L_Ear|1.200|1.100|1.100|0|Bone_R_Ear|1.200|1.100|1.100|0|Bip01 L Clavicle|0.800|0.800|0.800|1|Bip01 L UpperArm|0.950|0.950|0.800|1|Bip01 L Forearm|0.900|0.800|0.800|0|Bip01 L ForeTwist|1.000|0.850|0.850|0|Bip01 R Clavicle|0.800|0.800|0.800|1|Bip01 R UpperArm|0.950|0.950|0.800|1|Bip01 R Forearm|0.900|0.800|0.800|0|Bip01 R ForeTwist|1.000|0.850|0.850|0|Bone_L_bust|0.800|0.800|0.800|0|Bone_Manteau01|0.800|1.000|1.000|0|Bone_R_bust|0.800|0.800|0.800|0|Bip01 L Thigh|0.800|0.950|0.950|1|Bip01 L Calf|0.800|0.800|0.800|0|Bip01 R Thigh|0.800|0.950|0.950|1|Bip01 R Calf|0.800|0.800|0.800|0|Bone_F_Armor04|0.800|1.000|1.000|0|Bone_F_Armor01|0.800|1.000|1.000|0|Bone_B_Armor01|0.800|1.000|1.000|0|Bone_R_Armor01|0.800|1.000|1.000|0|
64,106,13,Bip01 Spine|1.000|2.000|1.000|0|
